id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,"changes, state, adjust","[""Clock"", ""Calendar"", ""Thermostat"", ""Heartbeat"", ""Timer"", ""Schedule"", ""Alarm"", ""Compass"", ""Guide"", ""Sensor"", ""Meter"", ""Navigator"", ""Switch"", ""Dashboard"", ""Controller"", ""Indicator"", ""Monitor"", ""Pattern"", ""Rhythm"", ""Cycle""]","[""hands movement, time, setting"", ""events, date, update"", ""temperature fluctuations, set point, calibration"", ""rhythm, pulse, regulate"", ""alarms, display, settings"", ""updates, status, modify"", ""snooze, on/off, set"", ""direction, bearing, calibration"", ""updates, route, redirect"", ""readings, calibration, sensitivity"", ""readings, display, calibration"", ""reroutes, location, recalculates"", ""Flip, Position, Toggle"", ""updates, display, settings"", ""inputs, status, calibrate"", ""readings, display, calibration"", ""updates, display, calibrate"", ""variations, configuration, adaptation"", ""beats, tempo, sync"", ""phases, stage, regulate""]",,success
2,Biosphere,"[""Library""]",1,"biology, biodiversity, ecosystem","[""Garden"", ""Neighborhood"", ""Library"", ""Community"", ""Family"", ""School"", ""City"", ""Forest"", ""Ocean"", ""Planet"", ""Network"", ""Habitat"", ""Ecosystem"", ""Biomass"", ""Web"", ""Cluster"", ""System"", ""Community"", ""Habitat"", ""World""]","[""botany, variety of plants, garden environment"", ""residents, community, infrastructure"", ""books, genres, catalog"", ""residents, variety of residents, neighborhood"", ""relations, , "", ""curriculum, student body, classrooms"", ""demographics, cultural diversity, infrastructure"", ""trees, wildlife, habitat"", ""marine life, aquatic species, coral reef"", ""geology, geodiversity, landscape"", ""nodes, diverse connections, sub-network"", ""organisms, species, environment"", ""organisms, species, habitat"", ""organic matter, varied species, environmental system"", ""content, variety of websites, network"", ""node, , "", ""components, variety, subsystem"", ""residents, variety of residents, neighborhood"", ""organisms, species, environment"", ""population, cultures, society""]",,success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,"oxygen, the lungs, breathing muscles","[""Pump"", ""Filter"", ""Bellows"", ""Fan"", ""Pumpkin"", ""Bell"", ""Fan"", ""Filter"", ""Pump"", ""Bellows"", ""Fan"", ""Filter"", ""Pumpkin"", ""Bell"", ""Fan"", ""Filter"", ""Pump"", ""Bellows"", ""Fan"", ""Filter""]","[""fluid, pump chamber, motor"", ""clean water, filter membrane, pump"", ""air, bellows bag, handles"", ""air, blades, motor"", ""nutrients, the pulp, the vines"", ""sound waves, the clapper, the ringer"", ""air, blades, motor"", ""clean water, filter membrane, pump"", ""fluid, pump chamber, motor"", ""air, bellows bag, handles"", ""air, blades, motor"", ""clean water, filter membrane, pump"", ""nutrients, the pulp, the vines"", ""sound waves, the clapper, the ringer"", ""air, blades, motor"", ""clean water, filter membrane, pump"", ""fluid, pump chamber, motor"", ""air, bellows bag, handles"", ""air, blades, motor"", ""clean water, filter membrane, pump""]",,success
4,Spread of Pathogens,"[""Spread of Fire""]",1,"pathogen, crowd, Prevention and control measures","[""Virus"", ""Flu"", ""Germ"", ""Bacteria"", ""Infection"", ""Contagion"", ""Cough"", ""Sneezing"", ""Crowd"", ""Handshake"", ""Touch"", ""Fever"", ""Sneezes"", ""Hugs"", ""Shared"", ""Clothes"", ""Coughing"", ""Touching"", ""Sneezing"", ""Germs""]","[""Malware, Network, Firewall"", ""virus, public gathering, vaccination"", ""Germ, Host, Immune System"", ""bacteria, agar plate, antibiotics"", ""bacteria, host, treatment"", ""disease, population, quarantine"", ""virus, public place, mask"", ""germ, people nearby, covering mouth"", ""contagious individual, large group, crowd management"", ""germ, people, soap"", ""germ, skin contact, hand washing"", ""virus, host, medication"", ""germ, gathering, tissue"", ""germ, people, personal space"", ""virus, network, firewall"", ""stain, fabric, laundry detergent"", ""virus, public place, mask"", ""germ, people, hand washing"", ""germ, people nearby, covering mouth"", ""germ, host, immunity""]",,success
5,Gene editing,"[""kirigami""]",1,"Gene, CRISPR-Cas9 Technology, edited gene","[""Editor"", ""Blueprint"", ""Map"", ""Recipe"", ""Toolbox"", ""Guidebook"", ""Switch"", ""Filter"", ""Clipboard"", ""Marker"", ""Puzzle"", ""Controller"", ""Planner"", ""Adjuster"", ""Filter"", ""Blueprint"", ""Editor"", ""Map"", ""Recipe"", ""Toolbox""]","[""Text, Editing Tool, Revised Text"", ""Building Plan, Pencil, Revised Blueprint"", ""Location, Cartography Tool, Updated Location"", ""Ingredient, Cooking Method, Modified Ingredient"", ""Tool, Hammer, Modified tool"", ""Destination, Map, Updated Route"", ""Circuit, Tool, Flipped Switch"", ""Water, Filter Mesh, Filtered Water"", ""Text, Eraser, Edited Text"", ""Ink, Eraser, Corrected Mark"", ""Puzzle Piece, Puzzle Tool, Completed Puzzle"", ""Circuit, Control Panel, Modified Signal"", ""Event, Pencil, Revised Plan"", ""Object, Tool, Adjusted Object"", ""Water, Filter Mesh, Filtered Water"", ""Building Plan, Pencil, Revised Blueprint"", ""Text, Editing Tool, Revised Text"", ""Location, Cartography Tool, Updated Location"", ""Ingredient, Cooking Method, Modified Ingredient"", ""Tool, Hammer, Modified tool""]",,success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,"water, processing facility, plumbing system","[""Rain"", ""Recycling"", ""Circulation"", ""Cycle"", ""Flow"", ""Evaporation"", ""Precipitation"", ""Reservoir"", ""Stream"", ""Cloud"", ""Drain"", ""Filter"", ""Pipeline"", ""Drainage"", ""Sprinkler"", ""Reservoir"", ""Faucet"", ""Drainpipe"", ""Spray"", ""Cycle""]","[""raindrop, cloud, storm drain"", ""materials, recycling plant, collection system"", ""blood, heart, blood vessels"", ""fuel, pit stop, route"", ""fluid, pump, pipeline"", ""liquid, heat source, vapor pathway"", ""rain, cloud, watershed"", ""stored water, pumping station, outlet pipes"", ""flow, dam, channel"", ""droplets, storm system, cirrus channel"", ""wastewater, sewage treatment, drainage"", ""fluid, housing, piping"", ""oil, refinery, pipeline network"", ""wastewater, sewage treatment, drainpipes"", ""water spray, pump station, hose network"", ""stored water, pumping station, outlet pipes"", ""water flow, water treatment, pipes"", ""wastewater, sewage treatment, drainage"", ""liquid, , "", ""fuel, pit stop, route""]",,success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,"cell, dna, cell organelle, cytoplasm","[""Copy"", ""Split"", ""Clone"", ""Seed"", ""Map"", ""Mirror"", ""Duplicate"", ""Break"", ""Build"", ""Cycle"", ""Layer"", ""Pattern"", ""Branch"", ""Pair"", ""Segment"", ""Mirror"", ""Spawn"", ""Divide"", ""Splitter"", ""Reproduce""]","[""document, text, paragraph, formatting"", ""object, content, component, substance"", ""original, blueprint, component, environment"", ""seed coat, embryo, endosperm, seed kernel"", ""city, legend, landmark, territory"", ""mirror frame, reflection, mirror component, glass"", ""original document, content, sections, formatting"", ""object, content, component, material"", ""building, blueprint, room, interior"", ""vehicle, rider, component, fuel"", ""layer, data, sub-layer, layer content"", ""template, design, element, background"", ""tree, blueprint, branch component, sap"", ""item, shared trait, component, common substance"", ""segment, data, sub-segment, segment content"", ""mirror frame, reflection, mirror component, glass"", ""egg, genetic material, yolk, albumen"", ""object, content, component, material"", ""input signal, data stream, component, medium"", ""parent, genetic blueprint, organ, body""]",,success
8,Origin of Life,"[""Chemical Reactions""]",1,"cell, evolution, natural selection","[""Seed"", ""Spark"", ""Blueprint"", ""Recipe"", ""Foundation"", ""Starter"", ""Trigger"", ""Pattern"", ""Key"", ""Origin"", ""Sparkle"", ""Seedling"", ""Blueprint"", ""Root"", ""Kickoff"", ""Genesis"", ""Spark"", ""Nucleus"", ""Inception"", ""Beginning""]","[""sprout, growth, pruning"", ""ember, spread, oxygen supply"", ""room, revision, design optimization"", ""dish, modification, taste test"", ""brick, construction, quality control"", ""batteries, upgrades, optimization"", ""mechanism, process, activation"", ""unit, iteration, filter"", ""teeth, shaping, use"", ""starting point, development, filtering process"", ""facet, tarnish, refraction"", ""sprout, growth, pruning"", ""room, revision, design optimization"", ""root hair, growth, pruning"", ""team, game plan, player selection"", ""Adam, Creation, God's Will"", ""ember, spread, oxygen supply"", ""proton, radioactive decay, strong nuclear force"", ""idea, development, refining"", ""starting point, growth, refining process""]",,success
9,The Genetic Code,"[""The Writing System""]",1,"dna sequence, RNA, Ribosome, protein","[""Blueprint"", ""Recipe"", ""Map"", ""Code"", ""Language"", ""Formula"", ""Pattern"", ""Guide"", ""Script"", ""Chart"", ""Diagram"", ""Formula"", ""Manual"", ""Schema"", ""Plan"", ""Recipe"", ""Map"", ""Guide"", ""Blueprint"", ""Language""]","[""architectural plan, building instructions, construction site, finished building"", ""Ingredients List, Recipe Instructions, Kitchen Appliance, Final Dish"", ""Legend, Key, Cartographer, Destination"", ""Blueprint, Messenger, Translator, Output"", ""Alphabet, Messenger, Translator, Sentence"", ""variables, input values, calculator, result"", ""template, blueprint, weaver, fabric"", ""Instructions, Messenger, Translator, Final Product"", ""Script Text, Script Interpreter, Script Executor, Executable Code"", ""Data Points, Legend, Plotter, Graph"", ""Blueprint, Instructions, Assembler, Final Product"", ""variables, input values, calculator, result"", ""Instructions, Messenger, Translator, Product"", ""Data Structure, Data Format, Compiler, Output"", ""Blueprint, Instructions, Construction Site, Final Product"", ""Ingredients List, Recipe Instructions, Kitchen Appliance, Final Dish"", ""Legend, Key, Cartographer, Destination"", ""Instructions, Messenger, Translator, Final Product"", ""architectural plan, building instructions, construction site, finished building"", ""Alphabet, Messenger, Translator, Sentence""]",,success
10,Ecosystem,"[""Machines""]",1,"biology, ecosystem, Survive, reproduce","[""Garden"", ""Neighborhood"", ""Family"", ""School"", ""Community"", ""Forest"", ""Aquarium"", ""City"", ""Hive"", ""Terrarium"", ""Park"", ""Farm"", ""Zoo"", ""Pool"", ""Nest"", ""Market"", ""Workshop"", ""Aquifer"", ""Terrace"", ""Oasis""]","[""botany, garden, thrive, grow"", ""residents, community, thrive, grow"", ""relationships, household, thrive, grow"", ""curriculum, classroom, learn, graduate"", ""sociology, neighborhood, thrive, grow"", ""trees, habitat, grow, regenerate"", ""marine life, aquatic environment, thrive, breed"", ""infrastructure, community, thrive, grow"", ""colony, hive structure, forage, brood"", ""plants, environment, thrive, grow"", ""flora and fauna, park environment, thrive, grow"", ""crops, fields, yield, harvest"", ""animals, enclosures, thrive, breed"", ""chemistry, pool, sustain, refill"", ""structure, nest, shelter, brood"", ""economics, market, Profit, Grow"", ""machinery, workshop, function, produce"", ""geology, watershed, recharge, refill"", ""architecture, garden, thrive, expand"", ""flora, habitat, thrive, regenerate""]",,success
