target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
commerce,,market,gpt-4.1-mini,targetonly,baseline,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
commerce,,Market,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
jacket,,coat,meta-llama-3-1-8b-instruct,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
game,,Board game,meta-llama-3-1-8b-instruct,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,3,3,3.0,3,2,3,2.6667,3.0,3.0,3.0,3.0,2.8889
journey,,Trip,qwen3-14b,withsub,embedding,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Fiction,,Story,gpt-4.1-nano,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
commerce,,Marketplace,gpt-4.1-nano,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
commerce,,Market,gpt-4.1-nano,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
commerce,,market,gpt-4.1-mini,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Glacier,,Ice sheet,gemini-2.5-flash-lite,targetonly,embedding,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Neuroevolutionary Algorithms,,Evolutionary Programming,llama-3.1-405b-instruct,targetonly,embedding,stage2_targetonly,gpt_deepseek,gpt_deepseek,all_agree,all_agree,3,3,3,3.0,2,3,3,2.6667,3.0,3.0,3.0,3.0,2.8889
Polymer Structure,,Chain,gpt-4.1-mini,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,3,3,3.0,3,2,3,2.6667,3.0,3.0,3.0,3.0,2.8889
Group Theory,,Symmetry operations,gemini-2.5-flash-lite,withsub,baseline,stage2_withsub,gpt_deepseek,gpt_deepseek,all_agree,all_agree,3,3,3,3.0,2,3,3,2.6667,3.0,3.0,3.0,3.0,2.8889
Artificial Intelligence,,Human brain,gpt-oss-120b,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,3,3,3.0,3,2,3,2.6667,3.0,3.0,3.0,3.0,2.8889
Group Theory,,Symmetry operations,gemini-2.5-flash-lite,withsub,embedding,stage2_withsub,gpt_deepseek,gpt_deepseek,all_agree,all_agree,3,3,3,3.0,2,3,3,2.6667,3.0,3.0,3.0,3.0,2.8889
Fiction,,Story,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Encryption,,Cipher,meta-llama-3-1-8b-instruct,withsub,embedding,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Drama,,Play,meta-llama-3-1-8b-instruct,targetonly,baseline,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Spread of Pathogens,,Contagion,gemini-2.5-flash-lite,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
battle,,Combat,meta-llama-3-1-8b-instruct,targetonly,embedding,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Conservation of Charge Flow,,Water Flow,llama-3.1-405b-instruct,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,3,3,3.0,3,2,3,2.6667,3.0,3.0,3.0,3.0,2.8889
weapon,,Sword,gemini-2.5-flash-lite,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Spread of Pathogens,,Contagion,gpt-4.1-nano,withsub,embedding,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
journey,,Trip,qwen3-14b,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Drama,,Theater,meta-llama-3-1-8b-instruct,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Fluctuation-dissipation theorem,,Thermal noise,grok-4-fast,withsub,embedding,stage2_withsub,gpt_deepseek,gpt_deepseek,all_agree,all_agree,3,3,3,3.0,2,3,3,2.6667,3.0,3.0,3.0,3.0,2.8889
Nuclear Fission,,Chain Reaction,qwen3-14b,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
ship,,boat,gpt-oss-20b,targetonly,embedding,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Drama,,Play,gpt-4.1-mini,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
1984,,Big Brother,gpt-4.1-mini,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Two-dimensional Electron Gas,,Fermi Gas,meta-llama-3-1-8b-instruct,withsub,rerank,stage2_withsub,gpt_deepseek,gpt_deepseek,all_agree,all_agree,3,3,3,3.0,2,3,3,2.6667,3.0,3.0,3.0,3.0,2.8889
Spread of Pathogens,,Contagion,gpt-4.1-nano,targetonly,embedding,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
commerce,,business,retrieval-based,baseline1_embedding_top3,baseline1_embedding_top3,stage1,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.8889
Alveoli,,honeycomb,gpt-oss-120b,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
Isotope Dating,,Hourglass Sand,deepseek-r1,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
Photosynthesis,,Solar panel,qwen3-14b,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
Database,,Library,qwen3-32b,targetonly,embedding,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
Earth's Atmosphere,,Protective blanket,grok-4-fast,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
Blood sugar regulation,,Thermostat,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
High Molecular Polymers,,Lego chain,grok-4-fast,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
DNA Double Helix Structure,,Twisted ladder,gemini-2.5-flash-lite,targetonly,baseline,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
Genetic Mutation,,Typo,gpt-oss-20b,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
chemical element,,building block,gpt-oss-120b,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
DNA Double Helix Structure,,Twisted ladder,deepseek-r1,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
Molecular Synthesis,,Lego Building,deepseek-r1,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
Polymer Synthesis,,Lego bricks,gpt-oss-20b,withsub,rerank,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.7778000000000005
