id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,"changes, state, adjust","[""Sundial"", ""Metronome"", ""Thermostat"", ""Pendulum"", ""Heartbeat"", ""Calendar"", ""Traffic light"", ""Clock radio"", ""Tide cycle"", ""Plant growth"", ""Sleep cycle"", ""Computer clock"", ""Heart monitor"", ""Moon phases"", ""Sunrise alarm"", ""Plant blooming"", ""Daily planner"", ""Weather cycle"", ""Biological rhythm"", ""Circadian cycle""]","[""shadows, time, calibration"", ""tempo, time signature, tuning"", ""temperature, setting, regulate"", ""oscillations, position, swing"", ""beats, rhythm, rate"", ""dates, month, update"", ""signal changes, light state, timing adjustment"", ""tuning, display, dial"", ""phases, level, adaptation"", ""seasons, growth stage, adaptation"", ""phases, stage, regulate"", ""updates, mode, calibrate"", ""fluctuations, condition, calibrate"", ""phases, phase, transition"", ""light, brightness, settings"", ""seasons, growth stage, adaptation"", ""schedule updates, current task, reschedule"", ""seasons, weather conditions, adaptation"", ""oscillations, phase, synchronise"", ""phases, stage, adapt""]","The biological clock regulates internal processes through cyclical changes, maintaining a state, and adjusting to external cues. Analogies should reflect systems with inherent rhythms, adaptability, and state transitions.",success
2,Biosphere,"[""Library""]",1,"biology, biodiversity, ecosystem","[""jungle"", ""rainforest"", ""aquarium"", ""coral reef"", ""ecosystem"", ""web of life"", ""biome"", ""greenhouse"", ""food chain"", ""microcosm"", ""nature reserve"", ""planet"", ""community"", ""network"", ""habitat"", ""biosphere 2"", ""orchard"", ""wetland"", ""terrestrial system"", ""living system""]","[""botany, wildlife, habitat"", ""botany, flora and fauna, ecological community"", ""fish, various fish species, water environment"", ""marine life, species variety, reef structure"", ""organisms, species, environment"", ""organism, variety, habitat"", ""ecology, species variety, environment"", ""botany, plant variety, garden"", ""producers, species, habitat"", ""miniature, variety, environment"", ""wildlife, species variety, habitat"", ""geology, landforms, atmosphere"", ""demographics, diversity, infrastructure"", ""hardware, diversity, infrastructure"", ""wildlife, species variety, environment"", ""mini-ecosystem, controlled environment, closed system"", ""horticulture, crop variety, agroecosystem"", ""hydrology, vegetation, habitat"", ""geology, landforms, ecoregion"", ""physiology, diversity, organism""]","The biosphere encompasses all living organisms and their interactions within ecosystems, emphasizing interconnectedness, biodiversity, and biological systems. Analogies should reflect complex, interdependent systems with diverse components, ecological balance, or layered relationships.",success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,"oxygen, the lungs, breathing muscles","[""Ventilation system"", ""Bellows"", ""Piston"", ""Pipeline"", ""Filter"", ""Wind instrument"", ""Tree branches"", ""Vacuum cleaner"", ""Sponge"", ""Fan"", ""Chimney"", ""Balloon"", ""Straw"", ""Aquarium bubbler"", ""Air compressor"", ""Coffee filter"", ""Wind turbine"", ""Syringe"", ""Lungfish"", ""Marketplace""]","[""air, ventilation unit, fans"", ""air, bellows chamber, handle"", ""fuel, cylinders, piston rings"", ""water, water tank, pump"", ""water, filter membrane, pump"", ""air, soundbox, embouchure"", ""water, roots, pumping system"", ""dust, dust bag, motor"", ""water, pores, currents"", ""air, fan blades, motor"", ""heat, fireplace, draft"", ""air, balloon, hands"", ""liquid, filter, suction"", ""oxygen bubbles, bubbler, pump"", ""compressed air, air tank, electric motor"", ""coffee, filter, pumping action"", ""electricity, generator, turbine blades"", ""fluid, barrel, plunger"", ""water, gills, fins"", ""capital, bank, transportation system""]","The respiratory system's primary function is to facilitate gas exchange (oxygen in, carbon dioxide out) through the lungs and breathing muscles. Analogies should reflect systems or mechanisms that involve intake, filtration, movement, or exchange of substances. Sub-concepts like oxygen (transport/resource), lungs (structure/function), and breathing muscles (mechanical action) guide the selection of relatable analogies.",success
4,Spread of Pathogens,"[""Spread of Fire""]",1,"pathogen, crowd, Prevention and control measures","[""Wildfire spread"", ""Computer virus"", ""Stadium rush"", ""Beehive activity"", ""Subway rush hour"", ""Forest fire"", ""Rumor spread"", ""Traffic jam"", ""Dam structure"", ""Vaccine effect"", ""Firewall system"", ""Mosquito swarm"", ""Snowball rolling"", ""Chain reaction"", ""Water spill"", ""Bird flock"", ""School of fish"", ""Ink in water"", ""Smoke dispersion"", ""Chain letter""]","[""ember, dry underbrush, firebreaks"", ""virus, network, firewall and antivirus software"", ""intruder, fans, security protocols"", ""pest, colony, hive maintenance"", ""commuter, rush hour crowd, crowd control measures"", ""spark, dry underbrush, firebreaks"", ""rumor, social network, damage control"", ""car, traffic, traffic management"", ""water, water flow, dam walls and gates"", ""virus, population, immunization"", ""malware, network, firewall configuration"", ""mosquito, swarm, insect repellent"", ""snowball, hill, barriers"", ""spark, dominoes, firebreaks"", ""water, people nearby, containment and cleanup"", ""bird, flock, flocking behavior"", ""predator, school, schooling behavior"", ""ink, water, containment walls"", ""smoke, room, ventilation system"", ""virus, network, firewall""]","The spread of pathogens involves transmission through populations, influenced by proximity (crowd) and interventions (prevention). Analogies should reflect mechanisms of transmission, collective behavior, and containment strategies.",success
5,Gene editing,"[""kirigami""]",1,"Gene, CRISPR-Cas9 Technology, edited gene","[""Text Editor"", ""Surgical Scalpel"", ""Genetic Blueprint"", ""Library Card Catalog"", ""DNA Toolbox"", ""Recipe Book"", ""Molecular Scissors"", ""Genetic Code"", ""Biological Software"", ""Genetic Puzzle"", ""DNA Ladder"", ""Genetic Map"", ""Molecular Glue"", ""Genetic Alphabet"", ""Biological Code Editor"", ""DNA Typewriter"", ""Genetic Symphony"", ""Molecular Stapler"", ""Genetic Spreadsheet"", ""DNA Sculpting""]","[""Document, Editing Software, edited text"", ""Tissue, Scalpel, repaired tissue"", ""Blueprint Component, Editing Tool, Revised Blueprint"", ""Book, Cataloging System, checked out book"", ""Tool, Pliers, assembled component"", ""Ingredient, Cooking Method, Modified Recipe"", ""Blade, Sharpness, Cutting Edge"", ""Nucleotide, Translation Process, Mutated Codon"", ""Code, Compiler, patched program"", ""Puzzle Piece, Puzzle Solver, Completed Puzzle Section"", ""Rung, Ladder Material, Reconfigured Rung"", ""Locus, Mapping Technique, Linked Trait"", ""Molecule, Adhesive Agent, Bonded Molecule"", ""Letter, Spell Checker, Edited Word"", ""Code, Editor Software, edited code"", ""Keyboard, Typing Mechanism, Typed Text"", ""Instrument, Conductor, Harmonized Melody"", ""Page, Stapling Mechanism, Bound Pages"", ""Cell, Editing Software, Edited Cell Value"", ""Clay, Sculpting Tool, reshaped sculpture""]","Gene editing involves modifying an organism's DNA using tools like CRISPR-Cas9 to alter genes. Analogies should reflect precision, targeted modification, and the relationship between tools (e.g., CRISPR) and outcomes (edited genes). The analogies focus on concepts involving precise editing, structural manipulation, and functional transformation.",success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,"water, processing facility, plumbing system","[""Water Treatment Plant"", ""Recycling Center"", ""Food Processing Plant"", ""Chemical Plant"", ""Power Plant"", ""Paper Mill"", ""Brewery"", ""Distillery"", ""Textile Factory"", ""Coffee Roastery"", ""City Water System"", ""Home Plumbing"", ""Irrigation System"", ""Drainage System"", ""Sprinkler System"", ""HVAC System"", ""Aqueducts"", ""Fountain System"", ""Garden Hose"", ""Rainwater Harvesting""]","[""water supply, treatment plant, distribution network"", ""raw materials, sorting facility, conveyor belt"", ""raw material, factory, conveyor belt"", ""chemical, refinery, pipeline"", ""electricity, power plant, power grid"", ""pulp, mill, conveyor belt"", ""beer, brewery, keg system"", ""alcohol, distillation plant, pipework"", ""raw material, factory, assembly line"", ""coffee beans, roastery, piping system"", ""tap water, water treatment plant, pipes and fixtures"", ""water, water treatment plant, pipes and fixtures"", ""water supply, water treatment plant, irrigation pipes"", ""wastewater, treatment plant, sewer system"", ""water supply, water pump, sprinkler pipes"", ""air, air handling unit, ductwork"", ""water flow, water treatment plant, distribution pipes"", ""water, pump house, pipes and tubes"", ""water, hose nozzle, hose pipe"", ""rainwater, collection tank, distribution pipes""]","The Water Cycle involves the continuous movement and transformation of water through evaporation, condensation, precipitation, and collection. The sub-concepts ""processing facility"" and ""plumbing system"" suggest analogies that emphasize systematic processing, movement, and distribution of water. Analogies will focus on systems that manage, transform, or circulate water or similar substances in structured ways.",success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,"cell, dna, cell organelle, cytoplasm","[""Splitting a company"", ""Copying a document"", ""Dividing a cake"", ""Planting seeds"", ""Making identical twins"", ""Copying a recipe"", ""Distributing supplies"", ""Building a house"", ""Folding paper"", ""Cloning a pet"", ""Splitting a team"", ""Printing pages"", ""Dividing a budget"", ""Growing plants"", ""Making copies"", ""Splitting a library"", ""Copying a song"", ""Dividing a room"", ""Planting a garden"", ""Splitting a book""]","[""company, business plan, department, workforce"", ""document, text, image, paper"", ""cake, recipe, topping, filling"", ""seed, seed embryo, seed coat, soil"", ""twin, genetic blueprint, identical feature, shared trait"", ""recipe, ingredients, cooking tools, kitchen environment"", ""warehouse, blueprint, equipment, storage space"", ""house, blueprint, plumbing, drywall"", ""paper, crease, folded section, paper pulp"", ""pet, dna, pet features, pet characteristics"", ""team, game plan, team member, team environment"", ""page, ink, printer head, paper"", ""account, budget plan, expense category, funds"", ""seed, genetic code, root system, nutrient-rich soil"", ""paper, ink, printer, toner"", ""book, catalog, shelf, aisle"", ""file, data, metadata, format"", ""room, blueprint, furniture, space"", ""seed, seed type, garden feature, soil"", ""book, text, chapter, content""]","Cell division is the process by which a parent cell divides into two or more daughter cells. It involves the replication of DNA and the distribution of cellular components. To create analogies, I need to think of processes or systems that involve replication, division, or distribution of components. The sub-concepts (cell, DNA, cell organelle, cytoplasm) suggest focusing on replication, distribution, and structural components.",success
8,Origin of Life,"[""Chemical Reactions""]",1,"cell, evolution, natural selection","[""Seed germination"", ""Lego bricks"", ""Ecosystem development"", ""Computer code evolution"", ""Cultural evolution"", ""Manufacturing assembly line"", ""Language development"", ""Software updates"", ""Forest growth"", ""City development"", ""Recipe evolution"", ""Music composition"", ""River formation"", ""Fire spreading"", ""Baking a cake"", ""Bird flocking behavior"", ""Ant colony growth"", ""Mountain formation"", ""Book writing"", ""Traffic pattern formation""]","[""seed, growth, environmental adaptation"", ""brick, construction, design"", ""organism, adaptation, environmental pressures"", ""module, update, debugging"", ""society, cultural change, social influence"", ""workstation, quality control, product testing"", ""word, language change, cultural selection"", ""module, iteration, optimization"", ""tree, growth, pruning"", ""neighborhood, growth, urban planning"", ""ingredient, recipe modification, taste testing"", ""note, improvisation, audience feedback"", ""pool, meandering, erosion"", ""ember, spreading, containment"", ""pan, recipe modification, quality control"", ""flock, adaptation, predation pressure"", ""colony, expansion, resource competition"", ""rock layer, erosion, weathering"", ""chapter, revision, editorial review"", ""vehicle, pattern change, traffic flow""]","The Origin of Life involves the emergence of cells, evolutionary processes, and natural selection. Analogies should reflect systems where simple components form complex structures, adapt over time, or undergo selection mechanisms. Examples include building blocks (cells), iterative development (evolution), and competitive filtering (natural selection).",success
9,The Genetic Code,"[""The Writing System""]",1,"dna sequence, RNA, Ribosome, protein","[""Recipe"", ""Blueprint"", ""Library"", ""Codebook"", ""Instruction manual"", ""Messenger"", ""Courier"", ""Transcript"", ""Factory"", ""Assembly line"", ""Machine"", ""Assembler"", ""Tool"", ""Worker"", ""Enzyme"", ""Product"", ""Language"", ""Script"", ""Program"", ""Dictionary""]","[""ingredients, instructions, chef, dish"", ""building plan, instruction manual, construction site, building material"", ""book catalog, book title, librarian, book"", ""ciphertext, message, decoder, decoded message"", ""blueprint, translator, assembly line, final product"", ""Message, Signal, Receiver, Response"", ""address, package, delivery truck, parcel"", ""manuscript, voice recording, printer, book"", ""blueprint, instructions, assembly line, product"", ""blueprint, instructions, assembly station, final product"", ""blueprint, circuit diagram, assembly line, product"", ""machine code, microcode, CPU, program"", ""blueprint, instruction manual, workbench, product"", ""blueprint, messenger, foreman, product"", ""substrate, cofactor, enzyme complex, product"", ""blueprint, instructions, assembly line, product"", ""sentence, message, translator, meaning"", ""script lines, voiceover, director, actor"", ""source code, compiler, processor, executable"", ""word, sentence, translator, meaning""]","The Genetic Code is a system that translates DNA sequences into proteins via RNA and ribosomes. Analogies should reflect its informational structure (DNA/RNA), translation process (ribosomes), and functional output (proteins). The selected analogies emphasize instruction sets, communication, manufacturing, and functional tools to mirror these biological processes.",success
10,Ecosystem,"[""Machines""]",1,"biology, ecosystem, Survive, reproduce","[""City"", ""Machine"", ""Family"", ""Economy"", ""Library"", ""Garden"", ""School"", ""Team"", ""Community"", ""Computer"", ""Forest"", ""Marketplace"", ""Circus"", ""Symphony"", ""Network"", ""Jungle"", ""Aquarium"", ""Farm"", ""Zoo"", ""Campus""]","[""infrastructure, city, thrive, grow"", ""mechanics, system, function, replicate"", ""genetics, household, thrive, multiply"", ""industry, market, thrive, expand"", ""literature, library, circulate, replicate"", ""botany, garden, thrive, bloom"", ""curriculum, school community, graduate, mentor"", ""chemistry, organization, thrive, multiply"", ""demographics, neighborhood, thrive, grow"", ""hardware, network, boot, replicate"", ""botany, forest, thrive, regenerate"", ""economics, marketplace, compete, expand"", ""acrobatics, big top, juggle, perform"", ""music theory, orchestra, harmonize, compose"", ""hardware, network, connect, replicate"", ""wildlife, jungle, thrive, flourish"", ""marine life, aquatic environment, thrive, breed"", ""livestock, farm, thrive, breed"", ""animal care, enclosure, feed, breed"", ""curriculum, campus community, graduate, mentor""]","An ecosystem is a complex system where living organisms interact with each other and their environment to survive and reproduce. To create analogies, I need to think of other complex systems where components interact to achieve a common goal or maintain balance. These analogies should be familiar concepts that mirror the interdependence and functionality of an ecosystem.",success
