target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
Nasal cavity,,Filter,gpt-4.1-nano,withsub,rerank,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
Atmosphere,,Greenhouse,meta-llama-3-1-70b-instruct,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
The Theorem of Conservation of Charge Flow,,Fluid Dynamics,llama-3.1-405b-instruct,targetonly,embedding,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
The Theorem of Conservation of Charge Flow,,Water Flow,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
Gas Diffusion,,Perfume spreading,qwen3-32b,withsub,rerank,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
KNN Algorithm,,Neighborhood,qwen3-14b,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
The Theorem of Conservation of Charge Flow,,Water Flow,qwen3-14b,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
Internet Security,,Firewall,meta-llama-3-1-70b-instruct,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,all_agree,gemini_deepseek,3.0,3.0,2.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
Chiral Molecules,,Chiral key,gpt-oss-20b,targetonly,embedding,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
Lattice,,Grid,qwen3-14b,withsub,rerank,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
The Theorem of Conservation of Charge Flow,,Water flow,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
The Theorem of Conservation of Charge Flow,,Water,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
The Theorem of Conservation of Charge Flow,,Network Flow,meta-llama-3-1-70b-instruct,withsub,embedding,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,3,3,3,3.0,2.8889
Ensemble Learning Algorithms,,Expert Panel,meta-llama-3-1-8b-instruct,withsub,rerank,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,2,3,2.6667,2.7778000000000005
Cellular Structure,,Factory,gpt-4.1-nano,withsub,baseline,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,2,3,2.6667,2.7778000000000005
