example_id,model,target_concept,source_concept,predicted_properties,ground_truth_properties,num_predicted,num_ground_truth,num_matched,precision,recall,f1_score,reasoning,elapsed_time,error
210,gpt-oss-20b,Westernization Movement,Reform Movement of 1898,"[""Industrial Revolution"", ""Cultural assimilation"", ""Technology adoption"", ""Political reform"", ""Global influence"", ""Economic development""]","[""technology"", ""self-improvement"", ""Li Hongzhang"", ""Landlord Class Westernization School"", ""feudal ruler self-help movement""]",6.0,5.0,0.0,0.0,0.0,0.0,"The Westernization Movement refers to the widespread adoption of Western ideas, technologies, and institutions by non‑Western societies, particularly during the 19th and early 20th centuries. Its impact was driven by both external pressures—such as colonization, trade competition, and diplomatic encounters—and internal ambitions to modernize and industrialize. Key manifestations included the import of Western political systems, legal codes, educational curricula, and industrial processes, as well as the diffusion of scientific and cultural norms. The movement reshaped economies, social hierarchies, and national identities, often leading to significant cultural hybridization and, at times, resistance or backlash. Understanding its mechanisms and outcomes is essential for analyzing global modernization trajectories and post‑colonial state formation.",0.24,
281,gpt-oss-20b,household,government,"[""shared residence"", ""family unit"", ""domestic tasks"", ""resource sharing"", ""address"", ""economic unit"", ""consumption patterns"", ""home environment"", ""ownership"", ""social network""]","[""household"", ""house"", ""father"", ""servant"", ""father"", ""father"", ""housekeeper""]",10.0,5.0,0.0,0.0,0.0,0.0,"A household refers to the persons who live together in a shared dwelling and who collectively manage resources, domestic tasks, and consumption patterns. Key attributes therefore involve aspects of shared space, social relationships, economic behavior, and legal or ownership considerations. The reasoning focuses on identifying concise, high‑level descriptors that capture these aspects in a way that can be applied across various contexts such as sociology, economics, and urban planning.",0.19,
34,gpt-oss-20b,Cell division,the replicator,"[""Mitosis"", ""Meiosis"", ""G1 phase"", ""S phase"", ""G2 phase"", ""M phase"", ""DNA replication"", ""Spindle apparatus"", ""Chromosome condensation"", ""Cytokinesis"", ""Cell cycle checkpoints"", ""Diploid daughter cells"", ""Haploid gametes""]","[""cell"", ""cell organelle"", ""molecular""]",13.0,3.0,0.0,0.0,0.0,0.0,"Cell division is the process by which a parent cell replicates its genetic material and splits into two daughter cells. Key motions include the phases of the cell cycle (G1, S, G2, M), chromosome duplication, spindle fiber formation, and the final separation of cytoplasm (cytokinesis). Two main types—mitosis yields genetically identical diploid cells for growth and repair; meiosis produces haploid gametes for sexual reproduction. Throughout, checkpoints monitor DNA integrity, ensuring accurate division. Abnormalities can lead to disease, such as cancer.",57.06,
211,gpt-oss-20b,Westernization Movement,The Revolution of 1911,"[""Industrial Revolution"", ""Cultural assimilation"", ""Technology adoption"", ""Political reform"", ""Global influence"", ""Economic development""]","[""technology"", ""self-improvement"", ""Li Hongzhang"", ""Landlord Class Westernization School"", ""feudal ruler self-help movement""]",6.0,5.0,0.0,0.0,0.0,0.0,"The Westernization Movement refers to the widespread adoption of Western ideas, technologies, and institutions by non‑Western societies, particularly during the 19th and early 20th centuries. Its impact was driven by both external pressures—such as colonization, trade competition, and diplomatic encounters—and internal ambitions to modernize and industrialize. Key manifestations included the import of Western political systems, legal codes, educational curricula, and industrial processes, as well as the diffusion of scientific and cultural norms. The movement reshaped economies, social hierarchies, and national identities, often leading to significant cultural hybridization and, at times, resistance or backlash. Understanding its mechanisms and outcomes is essential for analyzing global modernization trajectories and post‑colonial state formation.",0.22,
94,gpt-oss-20b,Electrochemical Reaction,Power Generation,"[""Redox"", ""Electron Transfer"", ""Cell Potential"", ""Nernst Equation"", ""Current Generation"", ""Ion Transport"", ""Electrode Material"", ""Thermodynamics"", ""Kinetics""]","[""electron transfer"", ""conductor"", ""electronic""]",9.0,3.0,1.0,0.111,0.333,0.167,"An electrochemical reaction is a process where chemical energy is converted to electrical energy or vice versa through the transfer of electrons at electrode surfaces. It involves simultaneous oxidation (electron loss) at the anode and reduction (electron gain) at the cathode. The driving force is the difference in potential between the two electrodes, which can be quantified by the cell potential (Ecell). The reaction is governed by thermodynamics (ΔG = −nFE) and kinetics (rate of electron transfer), and its behavior can be described by the Nernst equation. Key aspects include the role of ion transport through the electrolyte, the generation of current, the conservation of mass, and the importance of electrode materials and surface area in determining reaction efficiency.",7.05,
85,gpt-oss-20b,Limit Modification System,Firewall,"[""dynamic limits"", ""policy enforcement"", ""rule-based"", ""metrics monitoring"", ""configurable thresholds"", ""audit trail"", ""adaptive control""]","[""prokaryotes"", ""exogenous DNA"", ""restriction enzyme"", ""cut off"", ""degradation""]",7.0,5.0,0.0,0.0,0.0,0.0,"A Limit Modification System is a framework designed to let an application or infrastructure dynamically adjust boundary constraints—such as resource quotas, pricing caps, data usage thresholds, or operational limits—at run‑time. It typically comprises a policy engine that accepts new rules or limit values, a monitoring layer that tracks the system’s state and enforces the updated constraints, and an audit trail to record every change for compliance and debugging purposes. By decoupling the limits from static configuration and coupling them to dynamic policies, the system can respond to varying workloads, usage patterns, or regulatory requirements without service disruption.",10.13,
330,gpt-oss-20b,Article,River,"[""Peer-reviewed"", ""Abstract"", ""Methodology"", ""Results"", ""Discussion"", ""References""]","[""article"", ""Word"", ""beginning"", ""end""]",6.0,4.0,0.0,0.0,0.0,0.0,"An academic article is a structured document that presents original research findings. It typically undergoes peer review to ensure validity and is composed of standardized sections such as an abstract, introduction, methods, results, discussion, and references. Key attributes include the presence of a title, authorship details, abstract summarizing the work, citations to prior literature, and adherence to formatting guidelines of the target journal or conference.",50.19,
95,gpt-oss-20b,Crystals,Architecture,"[""crystalline lattice"", ""periodic structure"", ""anisotropy"", ""cleavage planes"", ""regular facets"", ""high hardness"", ""symmetry"", ""optical birefringence"", ""thermal conductivity""]","[""atom"", ""atomic arrangement"", ""chemical bond"", ""Crystal structure""]",9.0,4.0,0.0,0.0,0.0,0.0,"Crystals are solids in which the constituent atoms, ions, or molecules arrange themselves in an orderly, repeating lattice that extends in all three spatial dimensions. Key properties stem directly from this periodicity and symmetry: the structure of the lattice determines mechanical characteristics (hardness, cleavage planes), optical behavior (refractive index, birefringence, anisotropy), and thermal and electronic transport (thermal conductivity, electrical conductivity). The symmetry elements (rotational axes, mirror planes, inversion centers) categorize crystals into one of 230 space‑group families, which in turn influence the physical properties and the observable external morphology. Because the lattice is so regular, crystallographic methods can accurately predict these properties, making the crystalline state a foundational concept in solid‑state physics, materials science, and geology.",7.55,
267,gpt-oss-20b,money,time,"[""Medium of exchange"", ""Store of value"", ""Unit of account"", ""Divisible"", ""Portable"", ""Limited supply"", ""Recognized"", ""Acceptable"", ""Stable value"", ""Currency""]","[""money"", ""allocate"", ""budget"", ""effective"", ""cheap"", ""expensive""]",10.0,6.0,0.0,0.0,0.0,0.0,"Money is an economic tool that facilitates exchange by serving as a medium of exchange, a store of value, and a unit of account. For these roles to be effective, money must possess several key properties: it must be widely recognized and accepted, easily portable to enable transactions across distances, and divisible to accommodate varying transaction sizes. Additionally, a limited or controlled supply helps maintain value, and relative stability prevents volatile loss of purchasing power. These attributes together ensure that money can reliably function within an economy.",10.74,
127,gpt-oss-20b,Deep Learning,The Brain,"[""Neural Networks"", ""Backpropagation"", ""Gradient Descent"", ""Large Datasets"", ""Deep Architectures""]","[""Model"", ""data"", ""study"", ""output""]",5.0,4.0,0.0,0.0,0.0,0.0,"Deep learning is a subset of machine learning that focuses on algorithms inspired by the structure and function of the brain – artificial neural networks. It emphasizes hierarchical feature extraction, enabling automatic learning of representations from raw data. Deep learning models are typically trained with backpropagation and stochastic gradient descent, requiring large amounts of data and computational resources. They have achieved state‑of‑the‑art performance across vision, speech, natural language processing, and other domains.",8.97,
10,gpt-oss-20b,Ecosystem,Machines,"[""biological diversity"", ""energy flow"", ""nutrient cycling"", ""biotic interactions"", ""ecosystem services"", ""resilience"", ""productivity"", ""structure""]","[""biology"", ""ecosystem"", ""Survive"", ""reproduce""]",8.0,4.0,0.0,0.0,0.0,0.0,"To identify the core attributes of an ecosystem, we break down the concept into its functional and structural components. An ecosystem is defined by the interactions between living organisms (biotic factors) and the non‑living environment (abiotic factors). Key properties emerge from these interactions: the diversity of life forms, the flow of energy through food webs, the cycling of nutrients, and the reciprocal relationships among organisms. Additionally, ecosystems provide essential services, exhibit resilience to disturbances, and maintain a balance of productivity and structure. These elements capture the essence of an ecosystem in a concise, one‑to‑three‑word format.",1.31,
362,gpt-oss-20b,Sound Wave Propagation,Water Wave Propagation,"[""Frequency"", ""Wavelength"", ""Amplitude"", ""Speed"", ""Medium"", ""Reflection"", ""Absorption"", ""Transmission"", ""Intensity"", ""Phase""]","[""sound wave"", ""Sound source"", ""Acoustic medium""]",10.0,3.0,0.0,0.0,0.0,0.0,"Sound wave propagation involves the transfer of mechanical energy through a medium by longitudinal pressure variations. Key aspects include the wave’s frequency and wavelength, which determine pitch and character; amplitude, which reflects loudness; and speed, which depends on the medium’s density and elastic properties (e.g., speed of sound). Propagation is also affected by the medium itself (air, water, solids), as well as boundary interactions such as reflection, absorption, and transmission at interfaces. Intensity and phase describe energy flow and relative timing, while harmonics and dispersion capture the spectral content and frequency‑dependent behavior of the wave.",25.15,
