id,target,gold_source,all_golden_sources,predicted_rank_1,gold_rank,num_golden_found,found_golden_sources,golden_ranks,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
1,biological clock,clock,['clock'],clock,1,1,['clock'],[1],"['clock', 'Biological Evolution', 'Time Machine', 'Evolution', 'Operating System', 'day and night cycle', 'bacterial mutation', 'electronic scale automatically adjusts', 'ecosystem', 'Human Body', 'Ecosystem', 'natural selection', 'life', 'pendulum motion', 'time', 'wrinkles', 'tidal phenomena', 'The Brain', 'laboratory', 'Regulator']","[0.48712645249191855, 0.47258515172959614, 0.43059939410135045, 0.4076919901660487, 0.3911230083303261, 0.3871497983109723, 0.38208982959985355, 0.36542422250767226, 0.35914725945843845, 0.3587471072421493, 0.3558090039180267, 0.3479364416160937, 0.3435159418596386, 0.3377935190256154, 0.33190535111989977, 0.32047960117095253, 0.3109860464906109, 0.3047785945713325, 0.3014580453548782, 0.28801318881167426]",name_properties,"biological clock. changes, state, adjust","The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.","changes, state, adjust"
2,Biosphere,Library,['Library'],Ecosystem,-1,0,[],[],"['Ecosystem', 'ecosystem', 'Biological Evolution', 'forest', 'Evolution', 'Desert', 'life', 'Greenhouse', 'universe', 'respiration', 'Human Body', 'laboratory', 'Circular Economy', 'natural selection', 'society', 'The Real World', 'Skin System', 'Healing', 'Operating System', 'planet']","[0.7418590999269108, 0.6007669919742821, 0.4638204068010873, 0.4445596144726811, 0.42633242493365187, 0.4150127395118114, 0.3823596897029331, 0.36761000464130833, 0.3582016525422266, 0.3567504697411238, 0.35413694405485285, 0.3487523821421806, 0.34600840142716655, 0.33710718198760803, 0.33616094788705225, 0.33382516277476104, 0.31956569288446135, 0.3155598567221976, 0.3099694555896337, 0.3055790316157388]",name_properties,"Biosphere. biology, biodiversity, ecosystem","The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.","biology, biodiversity, ecosystem"
3,Respiratory system,engine,"['engine', 'Air handling system', 'air circulation ducts']",respiration,8,3,"['engine', 'Air handling system', 'air circulation ducts']","[8, 12, 10]","['respiration', 'Human Body', 'the skeletal system', 'Heart', 'Ecosystem', 'Human Hands', 'lubrication system', 'engine', 'The Nervous System', 'air circulation ducts', 'resonance cavity', 'Air handling system', 'Machines', 'sounds', 'Disease', 'ecosystem', 'Evolution', 'Plants', 'sound system', 'Car']","[0.5764752325929036, 0.47648715565002875, 0.43306456720514486, 0.3415179021612346, 0.3382684254227963, 0.3365092251830905, 0.32729304724105834, 0.32432304202130413, 0.32126067855379886, 0.3202414955952678, 0.3148112941113094, 0.31445752296839724, 0.31396107684556673, 0.31384252667379275, 0.3133761638259532, 0.3100660648892558, 0.3089748134300613, 0.29252627538900766, 0.2916970347241351, 0.290072603221134]",name_properties,"Respiratory system. oxygen, the lungs, breathing muscles","The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.","oxygen, the lungs, breathing muscles"
4,Spread of Pathogens,Spread of Fire,['Spread of Fire'],Crowd,3,1,['Spread of Fire'],[3],"['Crowd', 'Disease', 'Spread of Fire', 'Population Movement', 'illness', 'Diseases', 'Immunity', 'crime', 'bacterial mutation', 'society', 'code', 'Firewall', 'Group Behavior', 'Urban Entropy Increase', 'Vehicle Traffic', 'Drug Treatment', 'Occupation', 'Information Flow', 'Urban Evolution', 'Social Circle']","[0.5004318027902642, 0.4793824850400381, 0.45867965641749764, 0.38252189034386685, 0.36765063073765114, 0.3617070570187034, 0.3421089726360608, 0.3169366111345312, 0.3036626010023131, 0.2990932736645365, 0.29722651992058746, 0.29595934003039326, 0.2937454402273437, 0.29070763008612094, 0.2906162543332107, 0.29003951018571117, 0.2876094743503477, 0.2865033227046939, 0.2860916636905996, 0.28222794286297653]",name_properties,"Spread of Pathogens. pathogen, crowd, Prevention and control measures","The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.","pathogen, crowd, Prevention and control measures"
5,Gene editing,kirigami,['kirigami'],bacterial mutation,-1,0,[],[],"['bacterial mutation', 'Evolution', 'edit', 'Computer Code', 'Drug Treatment', 'Brave New World', 'program', 'Program Error', 'Computer Processor', 'natural selection', 'Disease', 'Operating System', 'Gourmet', 'innovation', 'Robotic Movement', 'Biological Evolution', 'code', 'Pedigree Trees', 'Planting', 'Printing']","[0.37028951890678424, 0.33509802705274594, 0.32366636667921933, 0.2780244546430536, 0.2741549624053703, 0.2633710064163226, 0.2587110148945635, 0.2484760811188206, 0.2449387881332152, 0.24386595625129226, 0.24132954287515718, 0.2384770000048173, 0.2366011993938735, 0.23392228613247246, 0.23242753560574902, 0.23240186891898418, 0.2264064034783057, 0.22353387049094867, 0.2225787725931856, 0.2180913798848869]",name_properties,"Gene editing. Gene, CRISPR-Cas9 Technology, edited gene","Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.","Gene, CRISPR-Cas9 Technology, edited gene"
6,Water Cycle,Circular Economy,"['Circular Economy', 'Transportation Systems']",Water pipe system,18,1,['Circular Economy'],[18],"['Water pipe system', 'heat transfer', 'Wave Propagation', 'Conservation of Water Flow', 'River', 'Factory', 'Air handling system', ""the factory's production line"", 'Urban Transportation', 'Machines', 'Rental Housing', 'lubrication system', 'Factory System', 'air circulation ducts', 'tidal phenomena', 'Water Wave Propagation', 'City', 'Circular Economy', 'Construction Work', 'Urban']","[0.5916190137100978, 0.5028007694325445, 0.482079630244822, 0.4666999882002233, 0.4600242240125322, 0.4556749936635489, 0.45461099317899273, 0.40842583575839897, 0.39159704559233643, 0.3908300106932613, 0.3872695961931386, 0.38137868909590283, 0.36630961094634207, 0.3610310786243869, 0.358503497056795, 0.3530575303082323, 0.35274494368086273, 0.3522746993860296, 0.35102232746648343, 0.35061501191759015]",name_properties,"Water Cycle. water, processing facility, plumbing system","The water cycle is a natural phenomenon that describes the constant movement of water on Earth's surface, both above and below it. This complex biogeochemical cycle involves various physical processes such as evaporation, transpiration, condensation, and precipitation, and plays a crucial role in shaping the Earth's climate and ecosystems. The water cycle affects the global distribution of water, and its exchange of energy leads to temperature changes, making it a critical component of the planet's climate system. Additionally, the purification and transport of water across the globe via the water cycle help support the growth and maintenance of life on Earth. While the water cycle is a natural process, it is essential to understand how it connects to human-made systems, such as water processing facilities and plumbing systems, to ensure sustainable access to clean and safe water.","water, processing facility, plumbing system"
7,Cell division,the factory's production line,"[""the factory's production line"", 'the replicator']",bacterial mutation,3,1,"[""the factory's production line""]",[3],"['bacterial mutation', 'Evolution', 'Factory', 'code', 'laboratory', 'program', 'atom', 'Computer Code', 'line', 'Bookshelf', 'Factory System', 'Ecosystem', 'Machines', 'Baking', 'Building Structure', 'Heart', 'communication networks', 'illness', ""the factory's production line"", 'crime']","[0.4198763794884079, 0.38982162502523554, 0.3532265843241797, 0.3488514903081905, 0.33874256471262626, 0.33658689754149085, 0.33428559664908536, 0.3288865288527392, 0.3267328036192604, 0.3242380762646605, 0.3211839878400648, 0.3205327124935215, 0.3203420359493705, 0.3198447733889175, 0.31809440378444104, 0.3170836616213697, 0.31587890058222645, 0.31251115769985593, 0.3055883396374762, 0.3047521614953453]",name_properties,"Cell division. cell, dna, cell organelle, cytoplasm","Cell division is a complex process that plays a critical role in maintaining the proper functioning of an organism. It involves the replication and separation of DNA, as well as the splitting of cell organelles and cytoplasm, and ultimately results in the creation of daughter cells. In eukaryotes, cell division occurs through two distinct mechanisms - mitosis, which produces genetically identical daughter cells, and meiosis, which results in haploid gametes for sexual reproduction. Prokaryotes undergo a simpler type of division called binary fission, in which their genetic material is equally divided into two daughter cells. Whether in unicellular microorganisms like amoeba or multicellular organisms like the human body, cell division is a fundamental process that allows for growth, repair, and reproduction. At its core, the primary concern of cell division is the maintenance of the original cell's genome, ensuring consistency of genetic information from one generation to the next.","cell, dna, cell organelle, cytoplasm"
8,Origin of Life,Chemical Reactions,['Chemical Reactions'],Evolution,-1,0,[],[],"['Evolution', 'natural selection', 'Biological Evolution', 'life', 'bacterial mutation', 'Ecosystem', 'respiration', 'Desert', 'company', 'ecosystem', 'laboratory', 'Plants', 'Human Body', 'atom', 'wrinkles', 'ideas', 'Ancient Rome', 'innovation', 'Baking', 'Christianity']","[0.558037739920583, 0.4657118309846001, 0.44416049663262747, 0.38493627450570717, 0.38207900270168355, 0.3691483975112249, 0.3279158364350783, 0.3258128691014876, 0.3085308661175969, 0.29916103411828376, 0.2959663405004527, 0.2861249687531428, 0.2803889870803067, 0.2750584799638867, 0.27416130963245167, 0.27294853472166475, 0.27125279447855444, 0.26913303524974275, 0.26665676847856196, 0.2648476613702064]",name_properties,"Origin of Life. cell, evolution, natural selection","The origin of life is a fascinating and complex topic in biology. Abiogenesis, or the process of life arising from non-living matter, is thought to involve various stages including the formation of a habitable planet, prebiotic synthesis of organic molecules, molecular self-replication, self-assembly, and the emergence of cell membranes. Many theories propose different stages in this process. Life is based on the chemistry of carbon and water, with four main key families of chemicals that include lipids, carbohydrates, amino acids, and nucleic acids. Researchers believe that current life descends from an RNA world, although other self-replicating molecules may have preceded RNA. Various external sources of energy such as lightning, radiation, and atmospheric entries of micro-meteorites may have triggered chemical reactions. In addition, a genomics approach has sought to characterise the last universal common ancestor (LUCA) of modern organisms to better understand the origins of life, identifying 355 genes that appear to be common to all life. Finally, fossil evidence from the Earth informs most studies of abiogenesis, with the earliest undisputed evidence of life on Earth dating back to at least 3.5 billion years ago. The study of abiogenesis remains essential to understanding the evolution of life on our planet and the natural selection that has occurred.","cell, evolution, natural selection"
9,The Genetic Code,The Writing System,['The Writing System'],Computer Code,-1,0,[],[],"['Computer Code', 'bacterial mutation', 'code', 'Deciphering the Code', 'The Neural Network of Computers', 'Factory', 'Machines', 'Program Error', 'Evolution', 'Neural Networks', 'The Brain', 'Translation', 'Factory System', 'Human Body', ""the factory's production line"", 'Recipes', 'Ecosystem', 'communication networks', 'Baking', 'Computer Processor']","[0.48032263855657154, 0.40312704213309597, 0.3784629243712665, 0.37259977554814383, 0.33858820458705985, 0.3192789834131202, 0.31427013340952215, 0.31042641852122155, 0.30169299812077366, 0.29901863377451166, 0.2979797389330827, 0.293203845159627, 0.29002324930631496, 0.2888107329900253, 0.2818297421781701, 0.27972681187826554, 0.2754695309936074, 0.2735610040769846, 0.27337063028114833, 0.272070663959028]",name_properties,"The Genetic Code. dna sequence, RNA, Ribosome, protein","The genetic code is a fundamental aspect of living cells, dictating how information encoded in DNA or RNA is translated into proteins. Ribosomes play a key role in this process, linking amino acids together in a specific order as directed by messenger RNA (mRNA). The genetic code is universal among all organisms and is presented in a simple table with 64 entries, with each codon specifying which amino acid will be added during protein biosynthesis. While most genes follow a standard genetic code, some variants exist, such as in mitochondria. Understanding the genetic code is crucial in unraveling the secrets of life and finding potential treatments for various diseases.","dna sequence, RNA, Ribosome, protein"
10,Ecosystem,Machines,['Machines'],Ecosystem,18,1,['Machines'],[18],"['Ecosystem', 'ecosystem', 'Evolution', 'Biological Evolution', 'forest', 'natural selection', 'Desert', 'bacterial mutation', 'respiration', 'Greenhouse', 'Circular Economy', 'Skin System', 'Plants', 'life', 'Operating System', 'The Hunt', 'Tree', 'Machines', 'The Real World', 'competition']","[0.701627501382578, 0.5790877595526487, 0.49960909527789277, 0.4768491057338192, 0.45912394996171435, 0.42794024282092713, 0.42447257903691393, 0.4170143213246658, 0.39968969891001677, 0.3706674858609089, 0.3461685776699205, 0.3458366009313073, 0.34467960898863126, 0.33937848356107925, 0.338250144545701, 0.33552403735938985, 0.32379049512669184, 0.3227012344799185, 0.3216304238857843, 0.31659390045897895]",name_properties,"Ecosystem. biology, ecosystem, Survive, reproduce","An ecosystem is a complex biological community made up of plants, animals, and microorganisms interacting with each other and their physical environment. It is a delicate balance that is maintained through the continuous cycling of nutrients and energy. The survival and reproduction of each species within an ecosystem are intertwined with one another. Each organism has its unique place in the food chain, and by consuming and being consumed, they play a crucial role in the movement of matter and energy through the system. However, ecosystems are not static, and they are continually changing through external and internal factors such as climate, decomposition, disturbance, and succession. Ecosystem services, such as clean water and air, pollination of crops, and aesthetic beauty, are essential to human survival and are heavily impacted by human activities such as pollution, habitat fragmentation, and deforestation. The collapse of an ecosystem can have devastating effects on all organisms within the system, including humans. Thus ecosystem restoration is crucial to maintaining the delicate balance of these biological communities, which in turn supports the sustainability of life on earth.","biology, ecosystem, Survive, reproduce"
