id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,"changes, state, adjust","[""alarm clock"", ""metronome"", ""thermostat"", ""calendar"", ""traffic light"", ""season cycle"", ""heartbeat"", ""computer timer"", ""school timetable"", ""daily agenda"", ""sunrise"", ""lunar phases"", ""pulsar"", ""garden watering"", ""oil change schedule"", ""fitness tracker"", ""movie premiere schedule"", ""train schedule"", ""stock market opening"", ""garden pruning cycle""]","[""settings, mode, reset"", ""tempo, beat, timing"", ""temperature fluctuations, set point, calibration"", ""events, date, update"", ""phases, color, timing"", ""phases, period, transition"", ""rhythm, pulse, regulate"", ""updates, mode, reset"", ""class rotation, period, revision"", ""appointments, tasks, reschedule"", ""dawn, daybreak, awaken"", ""phases, illumination, cycle"", ""emission, rotation, period"", ""water flow, soil moisture, watering schedule"", ""maintenance, condition, update"", ""updates, status, calibrate"", ""updates, status, reschedule"", ""delays, timetable, reschedule"", ""fluctuations, trends, adaptation"", ""seasonal changes, , ""]","A biological clock governs timing, responds to cues, and can be reset—similar to everyday systems that regulate cycles, adjust based on feedback, and signal state changes. Selecting familiar mechanisms that track, adjust, or signal periodic events provides intuitive analogies.",success
2,Biosphere,"[""Library""]",1,"biology, biodiversity, ecosystem","[""human body"", ""city"", ""computer network"", ""garden"", ""orchestra"", ""economy"", ""library"", ""school"", ""solar system"", ""ecosystem services"", ""traffic system"", ""forest canopy"", ""clothing layers"", ""social media"", ""circuit board"", ""puzzle"", ""team sport"", ""river watershed"", ""ecosystem mosaic"", ""planetary quilt""]","[""physiology, organs, organ systems"", ""demographics, cultural diversity, infrastructure"", ""hardware, software diversity, network architecture"", ""botany, plant varieties, garden environment"", ""instruments, sections, harmony"", ""industry, market diversity, market system"", ""books, genres, catalog"", ""curriculum, student body, campus"", ""planets, moons, orbits"", ""organisms, , "", ""vehicles, routes, infrastructure"", ""botany, species variety, food web"", ""fabric, styles, layers"", ""user profiles, online communities, network"", ""electronics, components, circuit"", ""pieces, patterns, board"", ""players, positions, team"", ""aquatic life, species variety, water cycle"", ""organism types, habitat variety, environmental patches"", ""fabric type, pattern variety, quilt layers""]","The biosphere is a planetary‑scale community of living organisms and their environments, linked together in a self‑regulating network. Good analogies are familiar systems that likewise consist of many interacting parts, maintain balance, and support overall function. By comparing the biosphere to things like a human body, a city, a computer network, or an orchestra, we can convey its complexity, interdependence, and dynamic equilibrium using concepts most people already understand.",success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,"oxygen, the lungs, breathing muscles","[""Air conditioner"", ""Car engine"", ""Bellows"", ""Tree roots"", ""Traffic system"", ""Water filter"", ""Pump"", ""Ventilator"", ""Siphon"", ""Exchange market"", ""Yoga breathing"", ""Scuba gear"", ""Fireplace"", ""Wind instrument"", ""Sponge"", ""Balloon"", ""Relay race"", ""Heat exchanger"", ""Subway system"", ""Kitchen stove""]","[""cool air, evaporator coils, compressor"", ""fuel, cylinders, pistons"", ""air, bellows bag, handles"", ""nutrients, root hairs, osmotic pressure"", ""vehicles, intersections, traffic signals"", ""clean water, filter membrane, pump"", ""fluid, pump chamber, motor"", ""airflow, machine, pumps"", ""liquid, reservoir, pump"", ""valuable goods, trading floor, brokers"", ""air, diaphragm, intercostal muscles"", ""air supply, scuba tank, regulator valve"", ""airflow, hearth, bellows"", ""air, bellows, player's embouchure"", ""water, pores, osculum"", ""air, balloon interior, pumping action"", ""baton, runners, legs"", ""heat, exchanger coils, pumps"", ""passengers, stations, trains"", ""fuel, burner, ignition""]","The respiratory system can be likened to everyday mechanisms that move, filter, and exchange substances—air, gases, or fluids—through coordinated structures. Analogies that involve pumping, filtering, or transporting media help convey how lungs take in oxygen, expel carbon dioxide, and work with muscles to drive the flow, making the concept accessible to non‑specialists.",success
4,Spread of Pathogens,"[""Spread of Fire""]",1,"pathogen, crowd, Prevention and control measures","[""Forest fire"", ""Computer virus"", ""Rumor cascade"", ""Water leak"", ""Traffic jam"", ""Wildfire ember"", ""Chain reaction"", ""Social media trend"", ""Domino effect"", ""Invasive species"", ""Contagious laughter"", ""Mold growth"", ""Economic recession"", ""Waterborne flood"", ""Electrical short"", ""Garden weeds"", ""Fireworks display"", ""Snowball rolling"", ""Ink diffusion"", ""Epidemic meme""]","[""spark, dry underbrush, firebreaks"", ""Malware, Network, Firewall"", ""rumor, social network, fact-checking"", ""water, surrounding area, Insulation and repair"", ""vehicle, highway, traffic management"", ""ember, dry leaves, firebreaks"", ""catalyst, reactants, inhibitors"", ""meme, network, Content moderation"", ""domino, domino line, stopping mechanism"", ""invasive species, ecosystem, mitigation strategies"", ""joke, audience, resistance to laughter"", ""spores, damp environment, ventilation and cleaning"", ""Financial shock, Market, Monetary policies"", ""contaminant, flood zone, Levees and floodwalls"", ""electric current, conductive material, insulation"", ""weed, garden, weeding methods"", ""spark, audience, safety precautions"", ""snowball, hill, obstacles"", ""ink, water, containment"", ""meme, social network, Content moderation""]","The spread of pathogens resembles any process where something moves through a network of hosts or nodes, grows rapidly under favorable conditions, and can be slowed or halted by barriers or interventions. Good analogies capture the ideas of a contagious agent, a medium that connects many individuals (crowds), and the possibility of preventive measures that disrupt transmission.",success
5,Gene editing,"[""kirigami""]",1,"Gene, CRISPR-Cas9 Technology, edited gene","[""Text editing"", ""Software patch"", ""Blueprint revision"", ""Tailor fitting"", ""Photo retouching"", ""Map redrawing"", ""Car tuning"", ""Puzzle solving"", ""Recipe alteration"", ""Library cataloging"", ""Garden pruning"", ""House remodeling"", ""Music remixing"", ""Language translation"", ""Circuit reprogramming"", ""Book proofreading"", ""Film editing"", ""Code refactoring"", ""Model sculpting"", ""Chess move""]","[""Text, Editing Tool, revised text"", ""Code, Patch Tool, Updated Code"", ""Blueprint, Pencil, Revised blueprint"", ""Fabric, Sewing Machine, altered garment"", ""Photo, Editing Software, retouched photo"", ""Location, Eraser Tool, Revised Boundary"", ""Engine, Tuning software, Modified engine"", ""Puzzle piece, Tool, Completed puzzle"", ""Ingredient, Editing tool, altered recipe"", ""Book, Cataloging System, Updated catalog entry"", ""Plant, Pruning Shears, pruned branch"", ""House, Power Tool, Renovated Room"", ""Song, Remixing Software, remixed track"", ""Text, Translation Algorithm, Translated text"", ""Circuit, Reprogramming Tool, rewired circuit"", ""Text, Correction Tool, revised text"", ""Scene, Editing Software, Final Cut"", ""Code, Refactoring Tool, refactored code"", ""Model, Sculpting Tool, Modified Model"", ""Piece, Move Strategy, Captured Piece""]","Analogies should map the idea of precisely altering a component within a larger system—like cutting, copying, or correcting—to everyday activities that involve similar targeted, purposeful changes.",success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,"water, processing facility, plumbing system","[""Recycling plant"", ""HVAC system"", ""Blood circulation"", ""Coffee maker"", ""Car engine"", ""Sewer network"", ""Thermostat cycle"", ""Solar panels"", ""Kitchen sink"", ""Rain garden"", ""Ocean currents"", ""Heat pump"", ""Fuel refinery"", ""Manufacturing line"", ""Air conditioner"", ""Garden irrigation"", ""Fuel injection"", ""Cloud computing"", ""Steam engine"", ""Laundry cycle""]","[""recyclable materials, sorting facility, conveyor belt"", ""air, heating/cooling unit, ductwork"", ""blood, heart, blood vessels"", ""coffee, brewer, tubes"", ""fuel, refinery, fuel line"", ""wastewater, treatment plant, sewer pipes"", ""air, heating/cooling unit, ductwork"", ""sunlight, inverter, wiring"", ""tap water, water filter, drain pipes"", ""rainwater, garden bed, drainage system"", ""ocean water, oceanic upwelling zone, ocean current pathway"", ""refrigerant, heat exchanger, ductwork"", ""fuel, refinery, pipeline"", ""raw material, factory, assembly line"", ""coolant, compressor, ductwork"", ""water supply, water pump, irrigation pipes"", ""fuel, fuel pump, fuel line"", ""data, server, network infrastructure"", ""steam, boiler, pipes"", ""clothes, washing machine, drain pipe""]","The water cycle moves water through stages of evaporation, condensation, precipitation, and collection, analogous to how engineered systems transport, transform, and recycle fluids or energy. By comparing each stage to familiar processes in everyday technology, infrastructure, and biology, learners can map the abstract natural sequence onto concrete mechanisms they already understand, reinforcing the concepts of continuous flow, transformation, and reuse.",success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,"cell, dna, cell organelle, cytoplasm","[""Pizza slice"", ""File copy"", ""Blueprint copy"", ""Train split"", ""Book print"", ""Software fork"", ""Twin birth"", ""Lego set"", ""Paper tear"", ""Branch split"", ""Mirror image"", ""Photocopy"", ""Key duplicate"", ""Popcorn pop"", ""Plant bud"", ""Binary star"", ""Chocolate break"", ""Rabbit clone"", ""Forked road"", ""Banana split""]","[""pizza, toppings, crust, sauce"", ""file, file contents, file component, file metadata"", ""building, blueprint, room, interior"", ""train car, cargo, train component, train interior"", ""book, text, page, ink"", ""software project, source code, software module, runtime environment"", ""twin, genetic material, placenta, amniotic fluid"", ""Lego set, instruction manual, Lego piece, box"", ""paper, text, ink, pulp"", ""branch, trunk, twig, sap"", ""object, reflection, component, background"", ""document, text, image, paper"", ""key, teeth, key cuts, key material"", ""kernel, seed, germ, starch"", ""bud, genetic blueprint, leaf structure, sap"", ""star, stellar core, stellar component, stellar plasma"", ""chocolate bar, recipe, nuts, caramel"", ""rabbit, genetic blueprint, rabbit organ, rabbit body fluid"", ""road, directional signs, road features, road surface"", ""banana, pit, topping, ice cream""]","I selected familiar everyday actions and objects that involve copying, splitting, or creating two similar parts, because these capture the core ideas of DNA replication, organelle distribution, and the physical separation that occur during cell division.",success
8,Origin of Life,"[""Chemical Reactions""]",1,"cell, evolution, natural selection","[""baking cake"", ""seed sprouting"", ""river delta"", ""lego construction"", ""music remix"", ""computer boot"", ""city growth"", ""fire spreading"", ""jigsaw puzzle"", ""virus infection"", ""soil compost"", ""rainforest succession"", ""language evolution"", ""rock weathering"", ""social networking"", ""garden landscaping"", ""crystal formation"", ""investment market"", ""software updates"", ""origami folding""]","[""cake mixture, recipe development, taste testing"", ""seed, growth, environmental adaptation"", ""tributary, sedimentation, erosion"", ""individual brick, construction process, design refinement"", ""track, remixing, curation"", ""hardware, software updates, system optimization"", ""neighborhood, expansion, zoning regulations"", ""ember, spread, fuel adaptation"", ""puzzle piece, assembly process, piece fitting"", ""host cell, mutation, immune response"", ""clump, decomposition, nutrient filtering"", ""tree, forest growth, species competition"", ""word, language change, linguistic drift"", ""rock fragment, erosion process, environmental pressure"", ""profile, growth, popularity"", ""plant, growth, pruning"", ""crystal lattice, crystal growth, environmental pressure"", ""company, market trend, competition"", ""program, version history, patch fixes"", ""paper, design, folding technique""]","To help non‑experts grasp the emergence of life, I chose familiar processes that involve simple ingredients combining, self‑organizing, and improving over time. Analogies span cooking, building, ecosystems, and technological development, each reflecting how basic parts can form a cell‑like unit, undergo variation, and be shaped by selection.",success
9,The Genetic Code,"[""The Writing System""]",1,"dna sequence, RNA, Ribosome, protein","[""language translation"", ""recipe book"", ""blueprint"", ""computer code"", ""musical score"", ""assembly instructions"", ""Morse code"", ""encryption key"", ""traffic signals"", ""barcode"", ""knitting pattern"", ""map legend"", ""software compiler"", ""instruction manual"", ""genetic program"", ""smartphone app"", ""Lego guide"", ""factory floor"", ""phone keypad"", ""QR code""]","[""text, intermediate representation, translator, translated text"", ""ingredients list, recipe instructions, kitchen appliance, final dish"", ""architectural plans, instructions, construction site, building"", ""binary code, input data, compiler, executable file"", ""sheet music, conductor's notes, orchestra, harmony"", ""blueprint, instruction manual, assembly line, final product"", ""message, transmission signal, decoder, decoded message"", ""plaintext, ciphertext, decryption device, decrypted message"", ""road signs, traffic updates, intersection, vehicle"", ""barcode number, scanner, checkout machine, product"", ""yarn colors, pattern instructions, knitting needles, finished fabric"", ""Cartographic Symbols, Map Key, Scale Indicator, Geographic Feature"", ""source code, intermediate representation, runtime environment, executable"", ""blueprint, instructions, assembly line, final product"", ""source code, program instructions, compiler, executable"", ""source code, data transmission, compiler, executable file"", ""Instruction Manual, Blueprint, Assembly Line, Finished Model"", ""Blueprints, Work Order, Assembly Line, Finished Product"", ""phone number, keypad input, phone processor, message output"", ""Data Matrix, Scanner, Decoder, Output""]","The genetic code functions as a set of instructions that translate a nucleotide sequence (DNA/RNA) into functional products (proteins). Good analogies therefore involve systems where a symbolic language is read, interpreted, and turned into concrete actions or structures. I chose familiar examples from everyday life, technology, and the arts that exhibit clear encoding‑decoding, instruction‑execution, or blueprint‑building relationships, each expressed in one to three words.",success
10,Ecosystem,"[""Machines""]",1,"biology, ecosystem, Survive, reproduce","[""City"", ""Computer network"", ""Market economy"", ""Orchestra"", ""Garden"", ""Solar system"", ""Game board"", ""Human body"", ""Traffic system"", ""Social network"", ""Kitchen"", ""Sports team"", ""Library"", ""Beehive"", ""Classroom"", ""Factory"", ""Puzzle"", ""Internet"", ""Supply chain"", ""Bank""]","[""infrastructure, community, thrive, grow"", ""infrastructure, network, function, replicate"", ""industry, market, profit, grow"", ""music, orchestra, harmonize, perform"", ""botany, garden, thrive, grow"", ""astronomy, solar system, Orbit, Evolve"", ""Game Pieces, Game Board, Stay in the Game, Duplicate Game Pieces"", ""physiology, organism, homeostasis, regeneration"", ""vehicles, road network, function, expand"", ""demographics, community, thrive, grow"", ""food, kitchen, nourish, cook"", ""player skills, team, win, recruit"", ""cataloging, collection, maintain, update"", ""colony, hive, thrive, swarm"", ""curriculum, class, learn, graduate"", ""machinery, factory floor, Operate, Manufacture"", ""pieces, puzzle board, fit together, complete picture"", ""network infrastructure, world wide web, stay online, generate content"", ""industry, network, operate, expand"", ""finance, bank, thrive, grow""]","I selected analogies that involve multiple interacting parts that depend on one another, exchange resources, and maintain overall balance—key features of an ecosystem. Cities, computer networks, market economies, orchestras, gardens, solar systems, game boards, human bodies, traffic systems, and social networks all illustrate these dynamics in familiar, everyday contexts, providing intuitive parallels for understanding biological ecosystems.",success
