target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
Body of Knowledge,,Knowledge base,gpt-oss-120b,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_gemini,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,2.0,3.0,2.6667,2.7778000000000005
Capacitor,,Water bucket,gpt-oss-120b,targetonly,rerank,stage2_targetonly,none_agree,gpt_gemini,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,2.0,3.0,3.0,2.6667,2.7778000000000005
commerce,,Market,qwen3-14b,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_gemini,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,2.0,3.0,2.6667,2.7778000000000005
Feature Engineering,,Cooking recipe,qwen3-14b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gemini_deepseek,gpt_gemini,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,2.0,2.6667,2.7778000000000005
Drama,,Play,meta-llama-3-1-8b-instruct,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_gemini,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,2.0,3.0,2.6667,2.7778000000000005
husbandry,,Animal husbandry,meta-llama-3-1-8b-instruct,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_gemini,gpt_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,2.0,3.0,2.6667,2.7778000000000005
The Genetic Code,,language translation,gpt-oss-120b,withsub,baseline,stage2_withsub,none_agree,gpt_gemini,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,2.0,3.0,3.0,2.6667,2.7778000000000005
Earth's Atmosphere,,Protective blanket,grok-4-fast,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Nasal cavity,,Filter,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Atmosphere,,Protective blanket,grok-4-fast,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gpt_gemini,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
