id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,,"[""Clock"", ""Calendar"", ""Thermostat"", ""Heartbeat"", ""Timer"", ""Schedule"", ""Alarm"", ""Compass"", ""Guide"", ""Sensor"", ""Navigator"", ""Heartbeat"", ""Calendar"", ""Alarm"", ""Schedule"", ""Thermostat"", ""Timer"", ""Clock"", ""Sensor"", ""Navigator""]",[],,success
2,Biosphere,"[""Library""]",1,,"[""Garden"", ""Aquarium"", ""Neighborhood"", ""Ecosystem"", ""Community"", ""Habitat"", ""Terrarium"", ""Farm"", ""Park"", ""Nest"", ""Forest"", ""Zoo"", ""Aquifer"", ""Cave"", ""Oasis"", ""Pond"", ""Hive"", ""Terrace"", ""Biotope"", ""Web""]",[],,success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,,"[""Lungs"", ""Filter"", ""Pump"", ""Filter"", ""Fan"", ""Valve"", ""Door"", ""Pump"", ""Filter"", ""Fan"", ""Door"", ""Pump"", ""Filter"", ""Fan"", ""Valve"", ""Door"", ""Pump"", ""Filter"", ""Fan"", ""Valve""]",[],,success
4,Spread of Pathogens,"[""Spread of Fire""]",1,,"[""Virus"", ""Fire"", ""Rumor"", ""Water"", ""Breeze"", ""Spark"", ""Leak"", ""Spread"", ""Chain"", ""Wave"", ""Contagion"", ""Infection"", ""Flame"", ""Drop"", ""Ripple"", ""Firework"", ""Leakage"", ""Cascade"", ""Invasion"", ""Spread""]",[],,success
5,Gene editing,"[""kirigami""]",1,,"[""Copy"", ""Edit"", ""Blueprint"", ""Map"", ""Recipe"", ""Guide"", ""Fix"", ""Update"", ""Replace"", ""Adjust"", ""Modify"", ""Tweak"", ""Patch"", ""Swap"", ""Rearrange"", ""Tune"", ""Refit"", ""Recode"", ""Rebuild"", ""Customize""]",[],,success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,,"[""Rain"", ""Cycle"", ""Boil"", ""Cloud"", ""Stream"", ""Evaporation"", ""Precipitation"", ""Snow"", ""Puddle"", ""River"", ""Clouds"", ""Drizzle"", ""Splash"", ""Fountain"", ""Rainfall"", ""Snowmelt"", ""Spray"", ""Streamflow"", ""Dew"", ""Waterfall""]",[],,success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,,"[""Reproduction"", ""Splitting"", ""Copying"", ""Growing"", ""Multiplying"", ""Duplication"", ""Partition"", ""Division"", ""Replication"", ""Splitting in half"", ""Clone"", ""Break apart"", ""Divide"", ""Split"", ""Reproduce"", ""Fragment"", ""Copy"", ""Multiply"", ""Segmentation"", ""Replication""]",[],,success
8,Origin of Life,"[""Chemical Reactions""]",1,,"[""Seed"", ""Blueprint"", ""Spark"", ""Recipe"", ""Foundation"", ""Start-up"", ""First step"", ""Key piece"", ""Initial spark"", ""Building block"", ""Origin story"", ""Root"", ""Genesis"", ""Inception"", ""Kickoff"", ""Birth"", ""Source"", ""Beginning"", ""Inauguration"", ""Dawn""]",[],,success
9,The Genetic Code,"[""The Writing System""]",1,,"[""Alphabet"", ""Blueprint"", ""Recipe"", ""Map"", ""Code"", ""Language"", ""Formula"", ""Pattern"", ""Guide"", ""Chart"", ""Dictionary"", ""Schema"", ""Script"", ""Diagram"", ""Manual"", ""Formula"", ""Map"", ""Recipe"", ""Blueprint"", ""Language""]",[],,success
10,Ecosystem,"[""Machines""]",1,,"[""Neighborhood"", ""Family"", ""Team"", ""Garden"", ""City"", ""Forest"", ""School"", ""Zoo"", ""Aquarium"", ""Workshop"", ""Village"", ""Park"", ""Kitchen"", ""Library"", ""Market"", ""Farm"", ""Workshop"", ""Stream"", ""Network"", ""System""]",[],,success
11,Nervous System,"[""Circuits""]",1,,"[""Router"", ""Mailman"", ""Traffic"", ""Wiring"", ""Switchboard"", ""Signal"", ""Conductor"", ""Pathway"", ""Controller"", ""Network"", ""Sensor"", ""Switch"", ""Message"", ""Circuit"", ""Guide"", ""Connector"", ""Flow"", ""Bridge"", ""Navigator"", ""Messenger""]",[],,success
12,Immune System,"[""Army"", ""Reactor""]",2,,"[""Security"", ""Firewall"", ""Guard"", ""Police"", ""Alarm"", ""Shield"", ""Detective"", ""Barrier"", ""Alarm System"", ""Security Guard"", ""Firewall"", ""Patrol"", ""Lock"", ""Watchdog"", ""Barrier"", ""Sensor"", ""Alarm Bell"", ""Security Camera"", ""Guard Dog"", ""Lockdown""]",[],,success
13,Cell Membranes,"[""Walls""]",1,,"[""Door"", ""Fence"", ""Wall"", ""Filter"", ""Gate"", ""Border"", ""Shield"", ""Barrier"", ""Guard"", ""Wallpaper"", ""Curtain"", ""Borderline"", ""Envelope"", ""Partition"", ""Screen"", ""Fencepost"", ""Checkpoint"", ""Sealing"", ""Boundary"", ""Wrapper""]",[],,success
14,Protein folding,"[""a three-dimensional puzzle""]",1,,"[""Origami"", ""Clothing"", ""Puzzle"", ""Balloon"", ""Map"", ""Jigsaw"", ""Necklace"", ""Ribbon"", ""Puzzle piece"", ""Tangle"", ""Thread"", ""Maze"", ""Chain"", ""Puzzle box"", ""Origami crane"", ""Knots"", ""Puzzle cube"", ""Cloth"", ""Tangle"", ""Loom""]",[],,success
15,Photosynthesis,"[""Power Generation"", ""Solar Panels""]",2,,"[""Sunlight"", ""Kitchen"", ""Factory"", ""Battery"", ""Chef"", ""Greenhouse"", ""Power plant"", ""Solar panel"", ""Water cycle"", ""Plant"", ""Sunbeam"", ""Photos"", ""Energy"", ""Leaves"", ""Sunlight"", ""Chlorophyll"", ""Sunlight"", ""Photos"", ""Sunlight"", ""Green""]",[],,success
16,Platelets,"[""Construction Workers""]",1,,"[""Mailman"", ""Firefighter"", ""Construction"", ""Security"", ""First Aid"", ""Cleanup"", ""Repair"", ""Messenger"", ""Guard"", ""Helper"", ""Responder"", ""Collector"", ""Messenger"", ""Supporter"", ""Responder"", ""Collector"", ""Helper"", ""Guard"", ""First Aid"", ""Firefighter""]",[],,success
17,Genome,"[""Operating System""]",1,,"[""Blueprint"", ""Recipe"", ""Library"", ""Map"", ""Code"", ""Manual"", ""Archive"", ""Folder"", ""Chart"", ""Guide"", ""Pattern"", ""Script"", ""Notebook"", ""Diagram"", ""Playlist"", ""Recipe book"", ""Blueprints"", ""Catalog"", ""Folder"", ""Library""]",[],,success
18,Brain,"[""Computer Processor""]",1,,"[""Computer"", ""Switchboard"", ""Library"", ""Control Tower"", ""Engine"", ""Map"", ""Clock"", ""Filter"", ""Manager"", ""Router"", ""Memory"", ""Blueprint"", ""Conductor"", ""Sensor"", ""Dashboard"", ""Switch"", ""Coordinator"", ""Processor"", ""Guide"", ""Brainstorm""]",[],,success
19,Nucleus,"[""CPU"", ""Bookshelf""]",2,,"[""Brain"", ""Control"", ""Center"", ""Boss"", ""Head"", ""Core"", ""Hub"", ""Command"", ""Nerve"", ""Seed"", ""Shell"", ""Nerve"", ""Controller"", ""Heart"", ""Main"", ""Nucleus"", ""Brainstem"", ""Kernel"", ""Generator"", ""Centerpiece""]",[],,success
20,Biological Evolution,"[""Urban Evolution""]",1,,"[""Growth"", ""Selection"", ""Change"", ""Development"", ""Adaptation"", ""Variation"", ""Survival"", ""Mutation"", ""Progress"", ""Evolutionary Tree"", ""Natural Selection"", ""Inheritance"", ""Reproduction"", ""Mutation"", ""Speciation"", ""Gradual Change"", ""Gene Pool"", ""Fossil Record"", ""Adaptation"", ""Survivor""]",[],,success
21,DNA Replication,"[""Printers Print Documents""]",1,,"[""Blueprint"", ""Recipe"", ""Copying"", ""Mirror"", ""Assembly"", ""Guidebook"", ""Photocopy"", ""Pattern"", ""Blueprint"", ""Template"", ""Map"", ""Mirror"", ""Clone"", ""Recipe"", ""Guide"", ""Copy"", ""Pattern"", ""Mirror"", ""Template"", ""Blueprint""]",[],,success
