example_id,model,target_concept,source_concept,predicted_source_properties_raw,ground_truth_source_properties_raw,predicted_source_properties,ground_truth_source_properties,num_correct,total,accuracy,reasoning,elapsed_time
210,gpt-oss-20b,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Westernization Movement of late Qing was a multi‑faceted drive to adopt Western technology and ideas, promote personal and national self‑improvement, and elevate the role of leading officials such as Li Hongzhang. In these efforts key aspects overlapped those of the Reform Movement of 1898, which was the formal attempt by the Qing court to modernize governance, industry, and education within the framework of imperial authority. The mapping below matches each property of the Westernization Movement to an analogous or identical property in the Reform Movement:

1. **technology**  → *industrial modernization* – both movements prioritized the adoption of Western industrial techniques and machinery.  
2. **self‑improvement**  → *self‑strengthening (自强)* – the idea that the nation could elevate itself through education, discipline, and reform.  
3. **Li Hongzhang**  → *Li Hongzhang* – he was a principal actor in both the informal Westernization drive and the formal 1898 reforms.  
4. **Landlord Class Westernization School**  → *educational reform* – the establishment of new curricula and institutions to teach Western sciences and administration.  
5. **feudal ruler self‑help movement**  → *imperial self‑strengthening* – the 1898 Reform Movement was essentially an attempt by the Qing emperor to overhaul the state while retaining feudal authority.

These correspondences capture the conceptual overlap between the two movements, allowing each property of the Westernization Movement to be tied to a property of the Reform Movement of 1898.",0.22
210,gpt-oss-120b,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Westernization Movement’s properties describe a late‑Qing push to adopt Western technology, promote self‑improvement, involve notable officials such as Li Hongzhang, organize around elite “Westernization Schools,” and reflect a self‑help effort by feudal rulers.  
The Reform Movement of 1898 (the Hundred‑Days’ Reform) shares parallel elements: it advocated the import of modern technology, a drive to improve the nation through education and institutional reform, was spearheaded by reformist officials (most prominently Kang Youwei and Liang Qichao, who play a similar role to Li Hongzhang), was led by a cadre of elite scholar‑officials that can be likened to a “Westernization School,” and represented a self‑initiated modernization attempt by the Qing court itself.  

Thus each target property can be matched with a corresponding property or theme from the 1898 reform movement.",0.23
210,gpt-4.1-mini,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Westernization Movement was a self-strengthening effort in late Qing China focusing on adopting Western technology and methods to strengthen the state, led by figures like Li Hongzhang and supported by the Landlord Class Westernization School. It was essentially a feudal ruler's self-help movement to modernize China without fundamentally changing its political structure. The Reform Movement of 1898, also known as the Hundred Days' Reform, was a later attempt at modernization that sought broader institutional reforms, including political and educational changes, but it also involved adopting Western ideas and technology. Both movements aimed at self-improvement and modernization under the Qing dynasty, though the Westernization Movement was more focused on technology and practical reforms, while the Reform Movement was more comprehensive and reformist in nature. Therefore, the properties of technology, self-improvement, leadership by prominent reformers, and the feudal self-help nature can be mapped between the two movements.",0.27
210,gpt-4.1-nano,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Westernization Movement was a late 19th-century effort in China to adopt Western technology, ideas, and reforms, often led by reform-minded officials like Li Hongzhang. It involved modernization efforts in industry, military, and education, and was associated with self-improvement and reform initiatives aimed at strengthening China against Western powers. The Reform Movement of 1898, also known as the Hundred Days' Reform, was a specific attempt to modernize China's political, educational, and military systems by adopting Western ideas and practices. Both movements aimed at reforming China by embracing Western knowledge and technology, and involved prominent reformers and educational initiatives. Therefore, the properties of the Westernization Movement such as ""technology,"" ""self-improvement,"" ""Li Hongzhang,"" and ""feudal ruler self-help movement"" can be mapped to similar properties in the Reform Movement of 1898, which also focused on modernization, Western learning, and reformist leadership.",0.27
210,grok-4-fast,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Westernization Movement (Self-Strengthening Movement) and the Reform Movement of 1898 were both Qing dynasty efforts to modernize China in response to Western imperialism, but the former emphasized practical adoption of technology under conservative leadership, while the latter was a more radical, short-lived push for broader institutional reforms. To map properties: ""technology"" corresponds to the 1898 emphasis on Western science and education; ""self-improvement"" aligns with the overall goal of national revitalization; ""Li Hongzhang"" maps to key reform leaders like Kang Youwei; ""Landlord Class Westernization School"" parallels the intellectual and official reform advocates; ""feudal ruler self-help movement"" reflects the emperor-led initiative to preserve the dynasty through change.",0.2
210,gemini-2.5-flash-lite,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Westernization Movement and the Reform Movement of 1898 were both significant reform efforts in Chinese history, driven by a desire to modernize and strengthen the nation in the face of internal and external pressures. Both movements involved key figures who advocated for change, and both aimed at self-strengthening and adopting Western advancements. The Westernization Movement, led by figures like Li Hongzhang, focused on adopting Western technology and military methods, often supported by the existing ruling class (Landlord Class Westernization School). The Reform Movement of 1898, while also seeking self-improvement and modernization, was more radical in its aims and ultimately failed due to conservative opposition. The concept of ""feudal ruler self-help movement"" can be applied to both as they were initiated by the ruling elite to preserve their power through reform.",0.46
210,meta-llama-3-1-70b-instruct,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Reform Movement of 1898 and the Westernization Movement share similarities in their goals and key figures. Both movements aimed to modernize and strengthen China through the adoption of Western ideas and technologies. Li Hongzhang, a prominent figure in the Westernization Movement, can be compared to Kang Youwei, a leading figure in the Reform Movement of 1898. Both leaders sought to implement reforms and modernize their respective countries. The Landlord Class Westernization School, a faction within the Westernization Movement, can be compared to the reformist group within the Reform Movement of 1898, which also consisted of intellectuals and officials who sought to implement reforms. The feudal ruler self-help movement aspect of the Westernization Movement can be compared to the imperial court's efforts to reform and modernize during the Reform Movement of 1898.",0.23
210,meta-llama-3-1-8b-instruct,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Westernization Movement and the Reform Movement of 1898 share similarities in their goals and ideologies. The Reform Movement of 1898 aimed to modernize China through the adoption of Western technology and institutions, which is similar to the Westernization Movement's focus on self-improvement and the adoption of Western technology. Additionally, both movements involved the influence of key figures, such as Li Hongzhang, who played a significant role in the Reform Movement of 1898.",0.2
210,deepseek-r1,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Westernization Movement (Self-Strengthening Movement) and the Reform Movement of 1898 both aimed to modernize China but differed in scope and approach. To map properties:  
1. **Technology**: The Westernization Movement focused on adopting Western military and industrial technology. The Reform Movement also emphasized modernization but included broader institutional reforms, so ""industrial and military modernization"" aligns.  
2. **Self-improvement**: The Westernization Movement's ""self-strengthening"" corresponds to the Reform Movement's push for systemic improvements, like ""political and educational reforms.""  
3. **Li Hongzhang**: As a key leader, he maps to Kang Youwei, a central figure in the Reform Movement.  
4. **Landlord Class Westernization School**: This conservative faction parallels the Reform Movement's ""Reformist Faction,"" which advocated institutional changes.  
5. **Feudal ruler self-help movement**: The Westernization Movement's top-down approach mirrors the Reform Movement's ""imperial-led modernization decrees"" under Emperor Guangxu.",0.22
210,qwen3-14b,Westernization Movement,Reform Movement of 1898,[],"[""politics"", ""reform"", ""Kang Youwei"", ""bourgeois reformers"", ""bourgeois reform movement""]",[],"[""bourgeois reform movement"", ""bourgeois reformers"", ""kang youwei"", ""politics"", ""reform""]",0,5,0.0,"The Westernization Movement and the Reform Movement of 1898 both aimed at modernization and self-improvement. Li Hongzhang was a key figure in the Westernization Movement, while the Reform Movement had figures like Kang Youwei. The Landlord Class Westernization School corresponds to the reformers in the Reform Movement. The feudal ruler self-help movement maps to the emperor's initiative in the Reform Movement.",0.19
