id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
1,biological clock,clock,clock,1,"['clock', 'Biological Evolution', 'day and night cycle', 'Evolution', 'pendulum motion', 'time', 'natural selection', 'Human Body', 'signal', 'CPU', 'The Brain', 'bacterial mutation', 'tidal phenomena', 'life', 'line', 'mind', 'code', 'memory', 'the replicator', 'Time Machine']","[0.49136018738630227, 0.47589610767583446, 0.3936191940616038, 0.3281419060887988, 0.32565643960243146, 0.3151437012581766, 0.30861568362970504, 0.30740345548762343, 0.3067033257663012, 0.3066874163709188, 0.2910382589215284, 0.29057548247509335, 0.2894669785231758, 0.2858918894454777, 0.2857422957566206, 0.28319130558028194, 0.2762195764723925, 0.27416652745087117, 0.27285836863824575, 0.2722335783146407]",name_only,biological clock,"The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.",
2,Biosphere,Library,Ecosystem,-1,"['Ecosystem', 'ecosystem', 'planet', 'Skin System', 'Greenhouse', 'universe', 'Biological Evolution', 'Human Body', 'Circular Economy', 'Social Circle', 'forest', 'society', 'life', 'cocoon', 'Plants', 'Greenhouses', 'Reactor', 'Operating System', 'The Brain', 'Urban Evolution']","[0.6453215926812707, 0.6065388894039665, 0.46558085562816415, 0.4000654062165173, 0.38622197835516553, 0.3801286107920663, 0.3756146179828955, 0.36369655322339156, 0.35188934054764753, 0.35148296390779254, 0.34095061824093814, 0.3401213703189545, 0.3194413112612947, 0.3155681808213207, 0.314803710731143, 0.3133905153517338, 0.3030910214325257, 0.29698700105391546, 0.28732041433990574, 0.28024214079268966]",name_only,Biosphere,"The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.",
3,Respiratory system,engine,respiration,-1,"['respiration', 'Air handling system', 'Skin System', 'The Nervous System', 'the skeletal system', 'Transportation Systems', 'air circulation ducts', 'Human Body', 'Water pipe system', 'lubrication system', 'Ecosystem', 'air filter', 'sound system', 'Plants', 'resonance cavity', 'Operating System', 'Reactor', 'ecosystem', 'electromagnetic emission system', 'Heart']","[0.554154793327069, 0.5168399641721831, 0.4631586709299693, 0.4239718826408395, 0.4175805033323854, 0.39350733924136855, 0.3803171605226328, 0.3783126423859492, 0.3723276217466377, 0.3663819025841001, 0.3420405757562138, 0.34115565860753444, 0.33682733198294995, 0.32039014805949045, 0.31986907662558434, 0.31637038448622906, 0.3035074741156917, 0.292031578445238, 0.2830962817246674, 0.2820907976861438]",name_only,Respiratory system,"The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.",
4,Spread of Pathogens,Spread of Fire,Spread of Fire,1,"['Spread of Fire', 'Population Movement', 'Diseases', 'Disease', 'Information Flow', 'Wave Propagation', 'communication networks', 'Group Behavior', 'Immunity', 'Transportation Systems', 'Skin System', 'Biological Evolution', 'bacterial mutation', 'Molecular Symmetry', 'Maps', 'Plants', 'Planting', 'Bridge', 'Evolution', 'Urban Evolution']","[0.5955428766925186, 0.45249758696122866, 0.4337501226452757, 0.4118776273200153, 0.3409985875476296, 0.30270609504489365, 0.30242197161068385, 0.2865191474162185, 0.2837797745285846, 0.28007339239225326, 0.2795103585661781, 0.27763886633293067, 0.2757312083114417, 0.27253331431656697, 0.2722703347521778, 0.27073656489815145, 0.2597703847611964, 0.2562621196202367, 0.25375336513484337, 0.2530062505148827]",name_only,Spread of Pathogens,"The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.",
5,Gene editing,kirigami,edit,-1,"['edit', 'bacterial mutation', 'Evolution', 'natural selection', 'Biological Evolution', 'Computer Code', 'Molecular Symmetry', 'Translation', 'engine', 'Cooking', 'Planting', 'Drug Treatment', 'Baking', 'innovation', 'atom', 'Program Error', 'Typo', 'Power Generation', 'Pedigree Trees', 'ideas']","[0.43237660272293776, 0.43146920715928, 0.35242258895554546, 0.33788331633515395, 0.31494962610098076, 0.2969849888992651, 0.2882856129855383, 0.2767215357432916, 0.27591358429478435, 0.27498923448366763, 0.2733543434948187, 0.267867301586071, 0.2674405774035817, 0.2660882807511382, 0.26569291689791996, 0.26566321733533815, 0.2609896019858524, 0.25939173545344085, 0.259033376061771, 0.25862022138083235]",name_only,Gene editing,"Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.",
6,Water Cycle,Circular Economy,Conservation of Water Flow,4,"['Conservation of Water Flow', 'Ecosystem', 'Water pipe system', 'Circular Economy', 'River', 'Water Wave Propagation', 'day and night cycle', 'tidal phenomena', 'ecosystem', 'Transportation Systems', 'Dust Storm', 'Skin System', 'Wind Power', 'Vortex', 'Information Flow', 'Urban Transportation', 'Supply Chain', 'Wave Propagation', 'Desert', 'Chemical Reactions']","[0.4992103700499719, 0.42485863458965956, 0.40906304165153284, 0.3952453019496315, 0.3801765658914658, 0.3732787262027573, 0.35420130076897904, 0.3461656651116011, 0.34371126573956196, 0.32935846432083193, 0.32540117002361924, 0.3218262705892287, 0.32076606275007347, 0.31627900509805, 0.3126387080486103, 0.30901460079416443, 0.30635201005560064, 0.30377420557887025, 0.30260395281355, 0.2999450264736454]",name_only,Water Cycle,"The water cycle is a natural phenomenon that describes the constant movement of water on Earth's surface, both above and below it. This complex biogeochemical cycle involves various physical processes such as evaporation, transpiration, condensation, and precipitation, and plays a crucial role in shaping the Earth's climate and ecosystems. The water cycle affects the global distribution of water, and its exchange of energy leads to temperature changes, making it a critical component of the planet's climate system. Additionally, the purification and transport of water across the globe via the water cycle help support the growth and maintenance of life on Earth. While the water cycle is a natural process, it is essential to understand how it connects to human-made systems, such as water processing facilities and plumbing systems, to ensure sustainable access to clean and safe water.",
7,Cell division,the factory's production line,Plants,14,"['Plants', 'Disassembly', 'Evolution', 'Healing', 'line', 'Molecular Symmetry', 'Biological Evolution', 'Planting', 'Skin System', 'Chemical Reactions', 'Disease', 'Building Structure', 'bacterial mutation', ""the factory's production line"", 'Origami', 'marriage', 'respiration', 'Baking', 'business', 'Computer Code']","[0.3335018488565, 0.3330304505518721, 0.3206217346436051, 0.3088923679256689, 0.3062085327250994, 0.3060015796506895, 0.30076447757229985, 0.29521222723838725, 0.28593297099479575, 0.2836665382791063, 0.2835215847907537, 0.2821604806937, 0.27793314156952403, 0.2756855982217295, 0.27323607428302865, 0.27163652110862646, 0.27094032943392043, 0.2707798287871326, 0.26587235933457154, 0.2654239763415621]",name_only,Cell division,"Cell division is a complex process that plays a critical role in maintaining the proper functioning of an organism. It involves the replication and separation of DNA, as well as the splitting of cell organelles and cytoplasm, and ultimately results in the creation of daughter cells. In eukaryotes, cell division occurs through two distinct mechanisms - mitosis, which produces genetically identical daughter cells, and meiosis, which results in haploid gametes for sexual reproduction. Prokaryotes undergo a simpler type of division called binary fission, in which their genetic material is equally divided into two daughter cells. Whether in unicellular microorganisms like amoeba or multicellular organisms like the human body, cell division is a fundamental process that allows for growth, repair, and reproduction. At its core, the primary concern of cell division is the maintenance of the original cell's genome, ensuring consistency of genetic information from one generation to the next.",
8,Origin of Life,Chemical Reactions,Biological Evolution,-1,"['Biological Evolution', 'Evolution', 'life', 'Human Body', 'Ancient Greece', 'Foundation Series', 'planet', 'Skin System', 'The Long Journey', 'The Discovery of America', 'The Brain', 'Human Relationships', 'Ancient Rome', 'Urban Evolution', 'Ancient Western Asia', 'The Discovery of India', 'Families', 'Plants', 'Christianity', 'Population Movement']","[0.4391340768414584, 0.39656972707933213, 0.37027781157816725, 0.2985318873994488, 0.2981673930905986, 0.267497149849545, 0.26306570694664366, 0.26302559544095705, 0.2629642133833733, 0.26140059151765005, 0.26014350329129055, 0.26002988209792566, 0.25679300057587734, 0.25440196434165285, 0.2538877758511392, 0.250976782271595, 0.2422993873024263, 0.23758382089274577, 0.23621221285200433, 0.23450403290516916]",name_only,Origin of Life,"The origin of life is a fascinating and complex topic in biology. Abiogenesis, or the process of life arising from non-living matter, is thought to involve various stages including the formation of a habitable planet, prebiotic synthesis of organic molecules, molecular self-replication, self-assembly, and the emergence of cell membranes. Many theories propose different stages in this process. Life is based on the chemistry of carbon and water, with four main key families of chemicals that include lipids, carbohydrates, amino acids, and nucleic acids. Researchers believe that current life descends from an RNA world, although other self-replicating molecules may have preceded RNA. Various external sources of energy such as lightning, radiation, and atmospheric entries of micro-meteorites may have triggered chemical reactions. In addition, a genomics approach has sought to characterise the last universal common ancestor (LUCA) of modern organisms to better understand the origins of life, identifying 355 genes that appear to be common to all life. Finally, fossil evidence from the Earth informs most studies of abiogenesis, with the earliest undisputed evidence of life on Earth dating back to at least 3.5 billion years ago. The study of abiogenesis remains essential to understanding the evolution of life on our planet and the natural selection that has occurred.",
9,The Genetic Code,The Writing System,Computer Code,5,"['Computer Code', 'Deciphering the Code', 'code', 'bacterial mutation', 'The Writing System', 'Molecular Symmetry', 'Biological Evolution', 'The Nervous System', 'The Brain', 'Evolution', 'The Neural Network of Computers', 'Program Error', 'Human Body', 'Alphabet', 'Translation', 'The Puzzle', 'Neural Networks', 'Pedigree Trees', 'Computer Processor', 'Factory System']","[0.5536865804342233, 0.5366959720473433, 0.40390183810673713, 0.3509960184397438, 0.3368003869262469, 0.3294500926871252, 0.32065645680205035, 0.30326411681405135, 0.3023932352613557, 0.29200144482008006, 0.2859046571254663, 0.2836115597063046, 0.2834081074776516, 0.2802276347073822, 0.2655112911879983, 0.26248591852413905, 0.261250704905685, 0.25923320312169784, 0.24653268276447035, 0.24223843464858885]",name_only,The Genetic Code,"The genetic code is a fundamental aspect of living cells, dictating how information encoded in DNA or RNA is translated into proteins. Ribosomes play a key role in this process, linking amino acids together in a specific order as directed by messenger RNA (mRNA). The genetic code is universal among all organisms and is presented in a simple table with 64 entries, with each codon specifying which amino acid will be added during protein biosynthesis. While most genes follow a standard genetic code, some variants exist, such as in mitochondria. Understanding the genetic code is crucial in unraveling the secrets of life and finding potential treatments for various diseases.",
10,Ecosystem,Machines,Ecosystem,-1,"['Ecosystem', 'ecosystem', 'Reactor', 'Circular Economy', 'Skin System', 'planet', 'Greenhouse', 'Operating System', 'Evolution', 'forest', 'society', 'Plants', 'Supply Chain', 'Social Circle', 'Families', 'Crowd', 'Desert', 'Tree', 'universe', 'Democracy']","[0.9999992229715593, 0.8636560896955353, 0.41239093236377483, 0.4118527835113782, 0.40045730400782653, 0.3743004653327036, 0.37396785518352826, 0.37051193383755204, 0.36659365805951194, 0.35706626566279986, 0.34283435675526464, 0.3401833546283778, 0.326025118876885, 0.320013144312963, 0.31941836993923706, 0.31113209807670045, 0.30775984547708257, 0.30212417089888877, 0.2984268882911201, 0.29608158882472846]",name_only,Ecosystem,"An ecosystem is a complex biological community made up of plants, animals, and microorganisms interacting with each other and their physical environment. It is a delicate balance that is maintained through the continuous cycling of nutrients and energy. The survival and reproduction of each species within an ecosystem are intertwined with one another. Each organism has its unique place in the food chain, and by consuming and being consumed, they play a crucial role in the movement of matter and energy through the system. However, ecosystems are not static, and they are continually changing through external and internal factors such as climate, decomposition, disturbance, and succession. Ecosystem services, such as clean water and air, pollination of crops, and aesthetic beauty, are essential to human survival and are heavily impacted by human activities such as pollution, habitat fragmentation, and deforestation. The collapse of an ecosystem can have devastating effects on all organisms within the system, including humans. Thus ecosystem restoration is crucial to maintaining the delicate balance of these biological communities, which in turn supports the sustainability of life on earth.",
