id,target,gold_source,all_golden_sources,predicted_rank_1,gold_rank,num_golden_found,found_golden_sources,golden_ranks,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties,baseline
1,biological clock,clock,['clock'],clock,1,1,['clock'],[1],"['clock', 'Biological Evolution', 'Time Machine']","[0.48744014145121656, 0.4727238510932971, 0.4306400696824657]",name_properties,"biological clock. changes, state, adjust","The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.","changes, state, adjust",embedding_top3
2,Biosphere,Library,['Library'],Ecosystem,-1,0,[],[],"['Ecosystem', 'ecosystem', 'Biological Evolution']","[0.7418378212352338, 0.6007781199547637, 0.46377804815524853]",name_properties,"Biosphere. biology, biodiversity, ecosystem","The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.","biology, biodiversity, ecosystem",embedding_top3
3,Respiratory system,engine,"['engine', 'Air handling system', 'air circulation ducts']",respiration,-1,0,[],[],"['respiration', 'Human Body', 'the skeletal system']","[0.5764765716606284, 0.4765361332478554, 0.43307016629604506]",name_properties,"Respiratory system. oxygen, the lungs, breathing muscles","The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.","oxygen, the lungs, breathing muscles",embedding_top3
4,Spread of Pathogens,Spread of Fire,['Spread of Fire'],Crowd,3,1,['Spread of Fire'],[3],"['Crowd', 'Disease', 'Spread of Fire']","[0.5004493275992501, 0.47933010292152944, 0.45851273707939155]",name_properties,"Spread of Pathogens. pathogen, crowd, Prevention and control measures","The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.","pathogen, crowd, Prevention and control measures",embedding_top3
5,Gene editing,kirigami,['kirigami'],bacterial mutation,-1,0,[],[],"['bacterial mutation', 'Evolution', 'edit']","[0.37029149403542694, 0.3350655099294726, 0.32366894978253125]",name_properties,"Gene editing. Gene, CRISPR-Cas9 Technology, edited gene","Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.","Gene, CRISPR-Cas9 Technology, edited gene",embedding_top3
6,Water Cycle,Circular Economy,"['Circular Economy', 'Transportation Systems']",Water pipe system,-1,0,[],[],"['Water pipe system', 'heat transfer', 'Wave Propagation']","[0.5916055120684496, 0.502794460109827, 0.4821650997729001]",name_properties,"Water Cycle. water, processing facility, plumbing system","The water cycle is a natural phenomenon that describes the constant movement of water on Earth's surface, both above and below it. This complex biogeochemical cycle involves various physical processes such as evaporation, transpiration, condensation, and precipitation, and plays a crucial role in shaping the Earth's climate and ecosystems. The water cycle affects the global distribution of water, and its exchange of energy leads to temperature changes, making it a critical component of the planet's climate system. Additionally, the purification and transport of water across the globe via the water cycle help support the growth and maintenance of life on Earth. While the water cycle is a natural process, it is essential to understand how it connects to human-made systems, such as water processing facilities and plumbing systems, to ensure sustainable access to clean and safe water.","water, processing facility, plumbing system",embedding_top3
7,Cell division,the factory's production line,"[""the factory's production line"", 'the replicator']",bacterial mutation,3,1,"[""the factory's production line""]",[3],"['bacterial mutation', 'Evolution', 'Factory']","[0.4198763794884079, 0.3897270763185784, 0.3532265843241797]",name_properties,"Cell division. cell, dna, cell organelle, cytoplasm","Cell division is a complex process that plays a critical role in maintaining the proper functioning of an organism. It involves the replication and separation of DNA, as well as the splitting of cell organelles and cytoplasm, and ultimately results in the creation of daughter cells. In eukaryotes, cell division occurs through two distinct mechanisms - mitosis, which produces genetically identical daughter cells, and meiosis, which results in haploid gametes for sexual reproduction. Prokaryotes undergo a simpler type of division called binary fission, in which their genetic material is equally divided into two daughter cells. Whether in unicellular microorganisms like amoeba or multicellular organisms like the human body, cell division is a fundamental process that allows for growth, repair, and reproduction. At its core, the primary concern of cell division is the maintenance of the original cell's genome, ensuring consistency of genetic information from one generation to the next.","cell, dna, cell organelle, cytoplasm",embedding_top3
8,Origin of Life,Chemical Reactions,['Chemical Reactions'],Evolution,-1,0,[],[],"['Evolution', 'natural selection', 'Biological Evolution']","[0.5579170868490219, 0.4656315271606663, 0.44403189085045663]",name_properties,"Origin of Life. cell, evolution, natural selection","The origin of life is a fascinating and complex topic in biology. Abiogenesis, or the process of life arising from non-living matter, is thought to involve various stages including the formation of a habitable planet, prebiotic synthesis of organic molecules, molecular self-replication, self-assembly, and the emergence of cell membranes. Many theories propose different stages in this process. Life is based on the chemistry of carbon and water, with four main key families of chemicals that include lipids, carbohydrates, amino acids, and nucleic acids. Researchers believe that current life descends from an RNA world, although other self-replicating molecules may have preceded RNA. Various external sources of energy such as lightning, radiation, and atmospheric entries of micro-meteorites may have triggered chemical reactions. In addition, a genomics approach has sought to characterise the last universal common ancestor (LUCA) of modern organisms to better understand the origins of life, identifying 355 genes that appear to be common to all life. Finally, fossil evidence from the Earth informs most studies of abiogenesis, with the earliest undisputed evidence of life on Earth dating back to at least 3.5 billion years ago. The study of abiogenesis remains essential to understanding the evolution of life on our planet and the natural selection that has occurred.","cell, evolution, natural selection",embedding_top3
9,The Genetic Code,The Writing System,['The Writing System'],Computer Code,-1,0,[],[],"['Computer Code', 'bacterial mutation', 'code']","[0.4803627968780575, 0.40312704213309597, 0.3784769660101187]",name_properties,"The Genetic Code. dna sequence, RNA, Ribosome, protein","The genetic code is a fundamental aspect of living cells, dictating how information encoded in DNA or RNA is translated into proteins. Ribosomes play a key role in this process, linking amino acids together in a specific order as directed by messenger RNA (mRNA). The genetic code is universal among all organisms and is presented in a simple table with 64 entries, with each codon specifying which amino acid will be added during protein biosynthesis. While most genes follow a standard genetic code, some variants exist, such as in mitochondria. Understanding the genetic code is crucial in unraveling the secrets of life and finding potential treatments for various diseases.","dna sequence, RNA, Ribosome, protein",embedding_top3
10,Ecosystem,Machines,['Machines'],Ecosystem,-1,0,[],[],"['Ecosystem', 'ecosystem', 'Evolution']","[0.7016101301818126, 0.5796713962919063, 0.5002941763809785]",name_properties,"Ecosystem. biology, ecosystem, Survive, reproduce","An ecosystem is a complex biological community made up of plants, animals, and microorganisms interacting with each other and their physical environment. It is a delicate balance that is maintained through the continuous cycling of nutrients and energy. The survival and reproduction of each species within an ecosystem are intertwined with one another. Each organism has its unique place in the food chain, and by consuming and being consumed, they play a crucial role in the movement of matter and energy through the system. However, ecosystems are not static, and they are continually changing through external and internal factors such as climate, decomposition, disturbance, and succession. Ecosystem services, such as clean water and air, pollination of crops, and aesthetic beauty, are essential to human survival and are heavily impacted by human activities such as pollution, habitat fragmentation, and deforestation. The collapse of an ecosystem can have devastating effects on all organisms within the system, including humans. Thus ecosystem restoration is crucial to maintaining the delicate balance of these biological communities, which in turn supports the sustainability of life on earth.","biology, ecosystem, Survive, reproduce",embedding_top3
