target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
Electrochemical Reaction,,Circuit,gpt-4.1-mini,withsub,rerank,stage2_withsub,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
Encryption,,Cipher,gpt-4.1-nano,withsub,rerank,stage2_withsub,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
Electrochemical Reaction,,Battery,gpt-4.1-nano,withsub,rerank,stage2_withsub,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
Active Fault,,Earthquake Fault,meta-llama-3-1-8b-instruct,targetonly,embedding,stage2_targetonly,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
Chiral Molecules,,Handedness,gpt-4.1-nano,withsub,rerank,stage2_withsub,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
Amphiphile,,Soap,gpt-4.1-nano,withsub,rerank,stage2_withsub,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
Cloud Computing,,Utility Company,meta-llama-3-1-70b-instruct,withsub,rerank,stage2_withsub,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
The Swarm,,Ant colonies,meta-llama-3-1-70b-instruct,withsub,rerank,stage2_withsub,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
Amphiphile,,Soap,meta-llama-3-1-70b-instruct,withsub,rerank,stage2_withsub,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
Amphiphile,,Soap,meta-llama-3-1-70b-instruct,withsub,baseline,stage2_withsub,all_agree,all_agree,all_agree,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,3,3.0,3.0
