record_id,original_index,system_a,system_b,system_a_domain,system_b_domain,ground_truth,record_formatted,prediction_gpt_5_1,prediction_gpt_5_1_reasoning,prediction_gpt_4_1_mini,prediction_gpt_4_1_mini_reasoning,prediction_llama_3_1_405b_instruct,prediction_llama_3_1_405b_instruct_reasoning
30,29,The Process of History,Biological Evolution,History,Biology,DUMMY_LABEL,"System A: The Process of History
    System B: Biological Evolution
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,SIMILARITY,"The analogy between the process of history and biological evolution primarily highlights the resemblance in how both systems develop and change over time through cumulative processes. Both involve gradual transformations, adaptation, and the emergence of complexity through successive stages. The analogy emphasizes the shared pattern of development and change rather than focusing on specific causal mechanisms, structural components, or functional roles. Therefore, the dominant relational pattern is the general resemblance or shared pattern of development between the two systems.",TEMPORAL (SEQUENCE / DEVELOPMENT),"The analogy between the process of history and biological evolution is based on the idea that both involve the development and change of complex systems over time. In history, societies and cultures evolve through a series of events, interactions, and adaptations, much like species evolve through natural selection and genetic variation in biology. This analogy highlights the shared patterns of change, adaptation, and progression in both systems."
55,54,cell,factory,Biology,Engineering,DUMMY_LABEL,"System A: cell
    System B: factory
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The analogy between a cell and a factory primarily maps the roles and purposes of their components: organelles in the cell correspond to different departments or machines in a factory, each performing specific functions necessary for the overall operation. The focus is on what each part does within its system rather than on structural arrangement or causal mechanisms. Therefore, the dominant relational pattern is the FUNCTION (ROLE / PURPOSE) of components in their respective systems.",FUNCTION (ROLE / PURPOSE),"The analogy between a cell and a factory highlights the functional roles and purposes of their respective components. Just as a factory has different departments and machinery working together to produce goods, a cell has various organelles and structures that cooperate to maintain cellular functions. This analogy emphasizes the idea that both systems have components that contribute to the overall functioning of the system."
73,72,Alveoli,Balloons,Biology,Engineering,DUMMY_LABEL,"System A: Alveoli
    System B: Balloons
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The analogy compares alveoli and balloons primarily based on their similar function and physical behavior: both are small, flexible sacs that expand and contract to hold air. The focus is on how alveoli in the lungs function similarly to balloons in terms of inflating and deflating to facilitate air exchange. This highlights the role or purpose of these components in their respective systems rather than their structural arrangement or causal mechanisms.",SIMILARITY,"The analogy between alveoli and balloons is based on the structural and functional similarities between the two systems. Alveoli are small air sacs in the lungs where gas exchange occurs, while balloons are inflatable objects that can hold air. Both systems have a similar structure, with a thin membrane surrounding a hollow space, and both are involved in the exchange or holding of air."
86,85,Rod of Asclepius,Healing,Biology,Biology,DUMMY_LABEL,"System A: Rod of Asclepius
    System B: Healing
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The Rod of Asclepius is a symbol that represents healing and medicine. The analogy maps the symbol (Rod of Asclepius) to the concept or process it signifies (healing). This is a relationship where the symbol's role or purpose is to represent or stand for healing. Therefore, the dominant relational pattern is about the role or purpose of the symbol in relation to healing.",ATTRIBUTE,"The Rod of Asclepius is a symbol of healing and medicine, and it is often used to represent the medical profession. The analogy between the Rod of Asclepius and healing is one of representation or symbolism, where the Rod of Asclepius is used to convey the idea of healing or medicine."
102,101,Chemistry,Dance,Chemical,Art,DUMMY_LABEL,"System A: Chemistry
    System B: Dance
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The analogy between Chemistry and Dance likely focuses on the roles or purposes of their components. Chemistry involves elements and compounds interacting to create reactions and transformations, while Dance involves movements and choreography interacting to create artistic expression. The analogy probably maps the functions or roles of components in Chemistry to those in Dance, emphasizing what each part does within its system rather than their structure or causal mechanisms.",SIMILARITY,"The analogy between chemistry and dance may not be immediately apparent, but considering the principles of both, we can find a connection. Chemistry involves the interaction of elements to form compounds, following specific rules and patterns to create something new. Similarly, dance involves the combination of basic movements to create choreography, adhering to certain principles of rhythm, timing, and spatial arrangement. This analogy highlights the idea that both chemistry and dance are about combining fundamental units (elements or movements) in structured ways to produce a new entity (a compound or a dance piece)."
106,105,Chemistry,The Movie,Chemical,Literature,DUMMY_LABEL,"System A: Chemistry
    System B: The Movie
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The analogy compares chemistry and a movie by mapping elements of chemistry (such as atoms, molecules, reactions) to components of a movie (such as actors, scenes, plot). The focus is on how each component functions within its system: atoms combine to form molecules just as actors perform in scenes; chemical reactions drive changes in substances just as plot developments drive the story. The analogy highlights the roles and purposes of components within their respective systems rather than their structure or causal mechanisms. Therefore, the dominant relational pattern is about the roles or purposes of components in their systems.",FUNCTION (ROLE / PURPOSE),"The analogy between chemistry and a movie is primarily based on the idea that both involve the combination of elements (in chemistry, atoms or compounds; in a movie, scenes, characters, and plot elements) to create something new. This process in chemistry results in chemical reactions and the formation of new substances, while in a movie, it results in a cohesive narrative or story. The focus here is on the function or role that these elements play in their respective systems. The analogy does not primarily focus on the structure, sequence, spatial arrangement, or causal mechanisms but rather on what these components do within their systems."
139,138,cache,shelf,Computer,Art,DUMMY_LABEL,"System A: cache
    System B: shelf
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The analogy between a cache and a shelf primarily highlights their roles as storage components within larger systems. Both serve as intermediate storage locations that hold items temporarily for quicker access compared to retrieving them from a more distant or slower source. This mapping focuses on the function or role these components play in their respective systems rather than their physical structure or causal mechanisms. Therefore, the dominant relational pattern is about the roles or purposes of these components.",FUNCTION (ROLE / PURPOSE),"The analogy between a cache and a shelf highlights their shared function of storing items for easy access. In computing, a cache is a small, fast memory that stores frequently-used data or instructions, while a shelf is a physical storage space for holding objects. Both provide a convenient location for retrieving items, making them similar in purpose."
150,149,Mining Association Rules,Solving Puzzles,Computer,Philosophy,DUMMY_LABEL,"System A: Mining Association Rules
    System B: Solving Puzzles
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,SIMILARITY,"The analogy between mining association rules and solving puzzles primarily highlights the similarity in the process of uncovering hidden patterns or solutions. Both involve analyzing data or clues, identifying relationships, and piecing together information to reach a conclusion. The focus is on the shared approach and cognitive process rather than structural components, causal mechanisms, or temporal sequences.",SIMILARITY,"The analogy between mining association rules and solving puzzles lies in their shared problem-solving nature, where both involve finding patterns or solutions within a given set of constraints or data. In mining association rules, the goal is to discover meaningful relationships among items in large datasets, often for market basket analysis. Similarly, solving puzzles involves piecing together clues or parts to form a coherent whole. Both processes require methodical approaches, whether through algorithms in data mining or logical deductions in puzzle solving. The essence of both activities is to uncover hidden patterns or connections, making them analogous in their objectives and methodologies."
175,174,Earth's Plate Movement,A Puzzle,Geography,Engineering,DUMMY_LABEL,"System A: Earth's Plate Movement
    System B: A Puzzle
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,SPATIAL (STRUCTURE / ARRANGEMENT),"The analogy compares Earth's tectonic plates to pieces of a puzzle. The key relational pattern is that both systems consist of parts that fit together spatially to form a whole. The focus is on how the components (plates and puzzle pieces) are arranged and connected in space, emphasizing their spatial structure and arrangement rather than their function, cause-effect, or temporal development.",SPATIAL (STRUCTURE / ARRANGEMENT),"The analogy between Earth's plate movement and a puzzle highlights the spatial arrangement and structure of both systems. In the case of Earth's plate movement, the puzzle pieces can be thought of as the tectonic plates that fit together to form the Earth's surface. Similarly, a puzzle consists of interlocking pieces that come together to create a complete picture. This analogy emphasizes the spatial structure and arrangement of the components in both systems."
192,191,Spanish Political System,Mexican Political System,History,History,DUMMY_LABEL,"System A: Spanish Political System
    System B: Mexican Political System
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,SIMILARITY,"The analogy compares two political systems, Spanish and Mexican, which share similar structures, institutions, and functions as sovereign states with democratic frameworks. The focus is on the resemblance in their political organization and operation rather than on differences, causal mechanisms, or component parts within a larger system. The analogy highlights the general resemblance and shared patterns between these two national political systems.",SIMILARITY,"The analogy between the Spanish Political System and the Mexican Political System is based on the similarity in their structures and functions. Both countries have a presidential system, with a president serving as the head of state and government. They also have a bicameral legislature, consisting of a senate and a chamber of deputies. Additionally, both countries have a similar system of governance, with a strong emphasis on democracy and representation."
