target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
journey,,Trip,qwen3-14b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_gemini,gpt_deepseek,3.0,3.0,3.0,3.0,3,3,2,2.6667,3,2,3,2.6667,2.7778000000000005
Neuroevolutionary Algorithms,,Genetic Breeding,llama-3.1-405b-instruct,targetonly,baseline,stage2_targetonly,none_agree,gpt_gemini,gemini_deepseek,all_agree,3.0,2.0,3.0,2.6667,3,3,3,3.0,2,3,3,2.6667,2.7778000000000005
boat,,sailboat,gpt-oss-20b,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_gemini,gpt_deepseek,3.0,3.0,3.0,3.0,3,3,2,2.6667,3,2,3,2.6667,2.7778000000000005
High Molecular Polymers,,LEGO bricks,llama-3.1-405b-instruct,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3.0,2.0,2.0,2.3333,3,3,3,3.0,3,2,3,2.6667,2.6666666666666665
Molecular Synthesis,,LEGO Building,llama-3.1-405b-instruct,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3.0,2.0,2.0,2.3333,3,3,3,3.0,3,2,3,2.6667,2.6666666666666665
Chemical Reaction,,Baking a Cake,llama-3.1-405b-instruct,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3.0,2.0,2.0,2.3333,3,3,3,3.0,3,2,3,2.6667,2.6666666666666665
chemical element,,Lego brick,llama-3.1-405b-instruct,withsub,rerank,stage2_withsub,none_agree,all_agree,gemini_deepseek,gpt_deepseek,3.0,3.0,3.0,3.0,3,2,2,2.3333,3,2,3,2.6667,2.6666666666666665
Chemical reaction,,Baking a cake,llama-3.1-405b-instruct,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3.0,2.0,2.0,2.3333,3,3,3,3.0,3,2,3,2.6667,2.6666666666666665
Chemical reaction,,Baking a cake,llama-3.1-405b-instruct,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3.0,2.0,2.0,2.3333,3,3,3,3.0,3,2,3,2.6667,2.6666666666666665
Geological folds,,Paper folds,gpt-4.1-mini,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3.0,2.0,2.0,2.3333,3,3,3,3.0,3,2,3,2.6667,2.6666666666666665
