target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
Internet,,Highway System,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
Brain system,,Network,gpt-4.1-mini,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
random forest,,Committee voting,deepseek-r1,withsub,baseline,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
eye,,camera sensor,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
Polymer Structure,,Chain of beads,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
The Theorem of Conservation of Charge Flow,,Conservation of Mass,meta-llama-3-1-8b-instruct,targetonly,baseline,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
Chiral Molecules,,Hands,deepseek-r1,withsub,baseline,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
Gene editing,,Text editing,deepseek-r1,withsub,baseline,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
Sherlock Holmes,,puzzle solver,qwen3-32b,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
virus,,Computer worm,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
Gas Diffusion,,Ink in water,qwen3-14b,withsub,rerank,stage2_withsub,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
Ensemble Learning Algorithms,,Team of Experts,deepseek-r1,targetonly,baseline,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
DNA Sequencing,,Decoding a message,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
Conservation of Charge Flow,,Water pipes,deepseek-r1,targetonly,baseline,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
Greedy algorithm,,Coin changing,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,gemini_deepseek,all_agree,gemini_deepseek,all_agree,3,2,3,2.6667,3,3,3,3.0,3.0,3.0,3.0,3.0,2.8889
