id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,,"[""alarm clock"", ""metronome"", ""sunrise"", ""seasonal cycle"", ""heartbeat"", ""sand timer"", ""calendar"", ""traffic light"", ""punch clock"", ""kitchen timer"", ""drumbeat"", ""water clock"", ""school bell"", ""tide schedule"", ""daily planner"", ""stopwatch"", ""minute hand"", ""lunar phases"", ""factory line"", ""seasonal timer""]",[],"To help a layperson grasp the idea of an internal timing mechanism that regulates physiological processes, we can map it to familiar timing devices, natural cycles, and everyday rhythms that operate predictably and keep things in sync.",success
2,Biosphere,"[""Library""]",1,,"[""Greenhouse"", ""Aquarium"", ""Terrarium"", ""Living skin"", ""Planetary lungs"", ""Ecosystem web"", ""Global garden"", ""Earth engine"", ""Planetary circuit"", ""Organic network"", ""Life\u2011support system"", ""World ecosystem"", ""Planetary quilt"", ""Nature\u2019s tapestry"", ""Environmental orchestra"", ""Earth\u2019s metabolism"", ""Global habitat"", ""Planetary membrane"", ""World\u2019s circulatory system"", ""Universal garden""]",[],"The biosphere is the global sum of all ecosystems—a self‑maintaining, interconnected network where energy, materials, and organisms circulate. Analogies should capture ideas of a closed, life‑supporting system, a complex network of interacting parts, and a “living skin” or “wrapper” around the planet, drawing on familiar concepts that illustrate self‑regulation, recycling, and the integration of many components into a cohesive whole.",success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,,"[""air filter"", ""car engine"", ""house ventilation"", ""water pump"", ""breathing candle"", ""sponge soaking"", ""train station"", ""coffee maker"", ""fireplace chimney"", ""garden irrigation"", ""air conditioner"", ""balloon inflating"", ""human bloodstream"", ""tree photosynthesis"", ""bicycle tires"", ""gas mask"", ""factory exhaust"", ""wind turbine"", ""soda fizz"", ""heat exchanger""]",[],"To help a layperson grasp the respiratory system, I selected everyday mechanisms that share core functions: drawing in something, filtering or conditioning it, moving it through pathways, exchanging essential components, and expelling waste. These familiar processes serve as clear analogies for inhalation, airway passage, gas exchange, and exhalation, allowing the concept to be visualized through common experiences.",success
4,Spread of Pathogens,"[""Spread of Fire""]",1,,"[""Wildfire"", ""Dominoes"", ""Gossip"", ""Computer virus"", ""Ripple"", ""Traffic jam"", ""Flood"", ""Chain reaction"", ""Invasive species"", ""Rumor mill"", ""Meme burst"", ""Spreading ink"", ""Branching tree"", ""Network outage"", ""Social trend"", ""Oil spill"", ""Mold growth"", ""Crop disease"", ""Contagious laughter"", ""Popcorn popping""]",[],"I selected everyday phenomena that involve rapid, network‑based propagation, chain reactions, or spreading through a medium. These familiar processes (like wildfires, gossip, or computer viruses) mirror how pathogens move from host to host, exploit connections, and expand exponentially. Each analogy is concise (1‑3 words) to serve as a quick mental bridge for explaining pathogen spread.",success
5,Gene editing,"[""kirigami""]",1,,"[""Text editing"", ""Blueprint revision"", ""Software patch"", ""Tailor fitting"", ""Photo retouching"", ""Garden pruning"", ""Recipe tweaking"", ""Road detour"", ""Puzzle solving"", ""Lego rebuilding"", ""Music remix"", ""Circuit redesign"", ""Language translation"", ""Sculpture carving"", ""Database update"", ""Paper collage"", ""Locksmith rekeying"", ""Mosaic replacement"", ""Factory retooling"", ""Chess opening""]",[],"Gene editing involves precisely altering the genetic “code” of an organism, similar to how we make targeted changes in familiar systems—such as editing a document, updating software, or reshaping a physical object—to achieve a desired outcome while leaving the rest untouched. These analogies capture the ideas of precision, selectivity, and functional modification that characterize gene editing.",success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,,"[""recycling loop"", ""economic cycle"", ""garden irrigation"", ""solar panel"", ""plant respiration"", ""mountain runoff"", ""rainforest canopy"", ""cloud computing"", ""water park"", ""city subway"", ""garbage collection"", ""computer cache"", ""supply chain"", ""traffic flow"", ""marathon race"", ""movie production"", ""restaurant kitchen"", ""blood circulation"", ""thermal engine"", ""steam engine""]",[],"I selected analogies that illustrate continuous movement, transformation, and reuse, mirroring the processes of evaporation, condensation, precipitation, and collection in the water cycle. Familiar systems such as recycling loops, blood circulation, and supply chains highlight how matter or resources move through different states and return to the starting point, making the water cycle easier to grasp for learners.",success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,,"[""Copy machine"", ""Baking twins"", ""Road fork"", ""Software forking"", ""Garden planting"", ""Twin birth"", ""Forked river"", ""Photo printing"", ""Lego building"", ""Library catalog"", ""Binary split"", ""Spreadsheet duplication"", ""Factory assembly"", ""Puzzle solving"", ""Domino effect"", ""Traffic splitting"", ""Cloning"", ""Ink cartridge refill"", ""Bank account split"", ""Fruit division""]",[],"I considered everyday processes that involve making a copy, dividing a whole into parts, or creating parallel versions. Analogies were chosen from familiar activities (printing, cooking, traffic, software, nature, etc.) that mirror the key steps of cell division: duplication of material, separation into two units, and continuation of function in each new unit.",success
8,Origin of Life,"[""Chemical Reactions""]",1,,"[""Cooking"", ""Gardening"", ""Building blocks"", ""Puzzle solving"", ""Orchestra rehearsal"", ""City planning"", ""Fire ignition"", ""Software development"", ""Snowflake formation"", ""Clay modeling"", ""Seed germination"", ""Evolutionary art"", ""Chemical kitchen"", ""Lego construction"", ""River delta"", ""Cosmic fireworks"", ""Mosaic tiling"", ""Language learning"", ""Factory assembly"", ""Ant colony""]",[],"To make the abstract and complex idea of how life first emerged relatable, I choose everyday processes and structures that involve gradual assembly, emergence of new patterns, and the transition from simple components to organized, functional systems. These familiar scenarios help illustrate concepts like chemical building blocks, self‑organization, environmental scaffolding, and the stepwise evolution that are central to theories about the origin of life.",success
9,The Genetic Code,"[""The Writing System""]",1,,"[""Morse code"", ""Alphabet"", ""Cookbook recipes"", ""Lego instructions"", ""Musical notes"", ""Barcode"", ""Programming language"", ""Traffic signals"", ""Cryptographic cipher"", ""Braille"", ""Map coordinates"", ""Recipe book"", ""Telephone keypad"", ""RGB color code"", ""Musical scores"", ""Postal code"", ""Binary code"", ""Emoji set"", ""Color palette"", ""Blueprint symbols""]",[],"The genetic code works like a translation table that converts three‑letter nucleotide “words” (codons) into amino‑acid “letters” to build proteins. It is a fixed, rule‑based system that stores biological information, uses redundancy, and is read in a specific direction—much like many everyday symbolic systems that map simple units to more complex meanings.",success
10,Ecosystem,"[""Machines""]",1,,"[""City"", ""Garden"", ""Orchestra"", ""Computer network"", ""Human body"", ""Classroom"", ""Solar system"", ""Economy"", ""Sports team"", ""Circuit board"", ""Kitchen"", ""Traffic system"", ""Library"", ""Beehive"", ""Coral reef"", ""Theme park"", ""Puzzle"", ""Social media"", ""Railway system"", ""Microbial colony""]",[],"An ecosystem is a network of interacting living organisms and their physical environment, where energy and matter flow through a web of relationships. Effective analogies capture concepts such as interdependence, resource cycling, functional roles, and the balance between components. The following source ideas are familiar, easy to visualize, and each mirrors one or more core aspects of ecosystems—whether it’s a community of parts working together (city, orchestra), a flow of information or energy (computer network, traffic system), a set of specialized functions (human body, kitchen), or a dynamic, self‑regulating system (economy, beehive). By drawing on these varied domains, learners can map the abstract ecological principles onto concrete, everyday experiences.",success
