target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
waves,,Ripples,meta-llama-3-1-70b-instruct,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
The Brain,,Network,gpt-4.1-mini,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Vision System,,Camera,gemini-2.5-flash-lite,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Historical Research,,Detective Work,qwen3-14b,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Historical Research,,Detective Work,qwen3-14b,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Sherlock Holmes,,Puzzle solver,qwen3-14b,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Immunity and Immunity,,Security system,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
buying an item,,Transaction,qwen3-14b,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,all_agree,gpt_gemini,3.0,3.0,3.0,3.0,3,3,3,3.0,3,3,2,2.6667,2.8889
Energy Loss,,Brake pads,gemini-2.5-flash-lite,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Skeletal System,,Building frame,grok-4-fast,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Hydropower,,Water wheel,gemini-2.5-flash-lite,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Hydropower,,Water wheel,gemini-2.5-flash-lite,withsub,embedding,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
eyes,,Camera,gemini-2.5-flash-lite,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Human body,,City,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
blood circulation system,,Plumbing system,gpt-oss-20b,targetonly,embedding,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Microbiome,,Garden ecosystem,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
eye,,camera sensor,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
eye,,camera sensor,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Genetic Mutation,,Typo in Recipe,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Vision System,,Camera,gemini-2.5-flash-lite,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Enantiomers,,mirror image,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
India,,Cultural mosaic,qwen3-14b,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
waves,,Ripples,gemini-2.5-flash-lite,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Body of Knowledge,,Library,gemini-2.5-flash-lite,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Blood Chest Barrier,,Blood-brain barrier,grok-4-fast,withsub,embedding,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Team Management,,Orchestra conductor,gemini-2.5-flash-lite,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Team Management,,Sports team coach,gemini-2.5-flash-lite,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Blood Chest Barrier,,Blood-brain barrier,grok-4-fast,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Internet of Things,,Connected Cars,gpt-oss-20b,targetonly,embedding,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Bagging Algorithms,,Committee decision,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
waves,,Ripples,gemini-2.5-flash-lite,withsub,embedding,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Polymer Composites,,Reinforced concrete,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Software Development,,Building construction,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Internet Security,,Castle walls,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Database,,Library,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Database,,Library,gpt-oss-20b,targetonly,embedding,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Database,,Library,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
programming,,Lego bricks,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
The Brain,,network,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Sperm Motility,,Fish tail,grok-4-fast,withsub,embedding,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Nucleus,,Command center,gpt-oss-20b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Platelets,,Emergency responder,gpt-oss-20b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Drama,,school play,gpt-oss-120b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Polymer Structure,,Chain,gpt-4.1-mini,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Principle of Conservation of Energy,,Roller Coaster,qwen3-14b,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Creative Design,,architecture,gpt-oss-120b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Team Management,,Orchestra conductor,gpt-oss-120b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Self Development,,Gardening,gpt-oss-120b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Self Development,,Gardening,gpt-oss-120b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Principle of Conservation of Energy,,Roller Coaster,qwen3-14b,withsub,embedding,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Vision System,,Camera,qwen3-14b,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
waves,,Ocean swell,gpt-oss-120b,targetonly,embedding,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Poetry,,Song lyrics,gpt-oss-120b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
bakery,,kitchen,gpt-oss-120b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
commerce,,Marketplace,gpt-oss-120b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
commerce,,Marketplace,gpt-oss-120b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
courtship,,first date,gpt-oss-120b,targetonly,embedding,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
liquid,,Water,gpt-oss-120b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
journey,,train ride,gpt-oss-120b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
waves,,Ocean swell,gpt-oss-120b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
combustion,,candle flame,gpt-oss-120b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
eye,,camera,gpt-4.1-mini,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Hydropower,,waterwheel,gpt-oss-120b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
hunger,,Empty stomach,qwen3-14b,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
blood circulation system,,plumbing system,grok-4-fast,withsub,embedding,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Microbiome,,Garden soil,grok-4-fast,withsub,embedding,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Fiction Structure,,Novel Outline,qwen3-14b,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
Amphiphile,,Soap,gpt-4.1-mini,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
eyes,,Camera,gpt-oss-120b,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
eyes,,Camera,gpt-oss-120b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3.0,3.0,3.0,3.0,3,3,3,3.0,3,2,3,2.6667,2.8889
