id,target,gold_source,top_10_sources,llm_selected_sources,reranker_reasoning,gold_rank,status,condition
1,biological clock,clock,"['Biological Evolution', 'clock', 'bacterial mutation', 'Evolution', 'Ecosystem', 'day and night cycle', 'Time Machine', 'Human Body', 'wrinkles', 'life']","['clock', 'day and night cycle', 'Time Machine']","To find the best analogous source concepts for the target concept ""biological clock,"" we need to analyze the properties and description of the target and compare them with the candidates. The biological clock refers to the internal rhythms and processes that govern the human body, including changes, state, and adjustments. We are looking for source concepts that have strong structural or functional correspondence with the target and are from different domains (far-field analogies).

After reviewing the candidates, we can see that the following three concepts have the strongest analogies with the biological clock:

1. clock: A clock is a device that measures and indicates time, which has a strong functional correspondence with the biological clock. Both concepts deal with time and rhythms, although one is internal and the other is external.
2. day and night cycle: The day and night cycle is a natural phenomenon that occurs as a result of the Earth's rotation, which has a strong structural correspondence with the biological clock. Both concepts involve cycles and rhythms that affect the human body.
3. Time Machine: A time machine is a hypothetical device that allows a traveler to journey through time, which has a strong functional correspondence with the biological clock. Both concepts deal with time and adjustments, although one is fictional and the other is real.

These three concepts are from different domains (physics, astronomy, and science fiction) and have strong analogies with the biological clock, making them the best candidates for explaining the target concept.",1,success,name_props_desc
2,Biosphere,Library,"['Ecosystem', 'ecosystem', 'Biological Evolution', 'Circular Economy', 'Desert', 'Greenhouse', 'life', 'Evolution', 'The Real World', 'Skin System']","['Circular Economy', 'Desert', 'Greenhouse']","To find the best analogous source concepts for the target concept ""Biosphere"", we need to analyze the properties and description of the biosphere and compare them with the candidate sources.

The biosphere is a complex system that encompasses all ecosystems on Earth, including the interactions between living organisms and their environment. Therefore, we are looking for source concepts that have similar properties and structures, but are from different domains.

After reviewing the candidate sources, we can eliminate ""Ecosystem"" and ""ecosystem"" because they are too similar to the target concept and do not provide a far-field analogy. We can also eliminate ""Biological Evolution"", ""Evolution"", and ""life"" because they are related to biology, but do not have a strong structural correspondence with the biosphere.

""The Real World"" is not relevant to the biosphere concept, and ""Skin System"" is a human body system that does not have a strong analogy with the biosphere.

The remaining candidates are ""Circular Economy"", ""Desert"", and ""Greenhouse"". These concepts have some similarities with the biosphere in terms of their complex systems and interactions with the environment.",-1,success,name_props_desc
3,Respiratory system,engine,"['respiration', 'Air handling system', 'Human Body', 'air circulation ducts', 'air filter', 'Australian Parliamentary System', 'the skeletal system', 'lubrication system', 'sound system', 'sounds']","['Air handling system', 'air filter', 'lubrication system']","To select the best analogous source concepts for the respiratory system, we need to analyze the properties and description of the target concept and review each candidate source. The respiratory system is a critical biological system used for gas exchange in both animals and plants, with the lungs playing a central role in gas exchange. We are looking for source concepts that are familiar, have strong structural/functional correspondence with the respiratory system, and are from different domains (far-field analogies).

After reviewing the candidate sources, we can eliminate those that are not relevant to the respiratory system or do not have a strong structural/functional correspondence. For example, the Australian Parliamentary System, sound system, and sounds are not relevant to the respiratory system.

We can then select the top 3 candidates that make the best analogies for the respiratory system. The air handling system is a good analogy because it regulates and circulates air, similar to how the respiratory system regulates and circulates oxygen. The air filter is also a good analogy because it removes impurities from the air, similar to how the lungs remove impurities from the air we breathe. Finally, the lubrication system is a good analogy because it distributes precise amounts of lubricating oil or grease to a machine's moving parts, similar to how the respiratory system distributes oxygen to the body's cells.",-1,success,name_props_desc
4,Spread of Pathogens,Spread of Fire,"['Spread of Fire', 'Disease', 'Population Movement', 'Crowd', 'bacterial mutation', 'illness', 'Information Flow', 'Diseases', 'air circulation ducts', 'Wave Propagation']","['Spread of Fire', 'Population Movement', 'Wave Propagation']","To select the best analogous source concepts for the target concept ""Spread of Pathogens"", we need to analyze the properties and descriptions of each candidate source. The target concept involves the spread of pathogens in crowded environments, which suggests that we are looking for source concepts that involve the spread or transmission of something.

Based on this analysis, we can eliminate some candidates that do not involve spread or transmission, such as ""Disease"", ""illness"", ""Diseases"", and ""air circulation ducts"".

The remaining candidates can be evaluated based on their structural and functional correspondence to the target concept. ""Spread of Fire"" is a good analogy because it involves the rapid spread of something (fire) in a specific environment (combustibles). ""Population Movement"" is also a good analogy because it involves the movement of people from one geographical area to another, which can be compared to the spread of pathogens in a crowded environment.

""Wave Propagation"" is another good analogy because it involves the propagating dynamic disturbance of one or more quantities, which can be compared to the spread of pathogens in a crowded environment.

Therefore, the top 3 selected candidates are ""Spread of Fire"", ""Population Movement"", and ""Wave Propagation"".",1,success,name_props_desc
5,Gene editing,kirigami,"['bacterial mutation', 'edit', 'Evolution', 'program', 'Computer Code', 'Program Error', 'Printing', 'Gourmet', 'Chemical Reactions', 'natural selection']","['program', 'Computer Code', 'Chemical Reactions']","To select the best analogous source concepts for gene editing, we need to analyze the properties and descriptions of the target concept and the candidate sources. Gene editing is a technique that allows for specific targeted changes to an organism's DNA using tools such as CRISPR-Cas9 technology. We are looking for sources that are familiar, have strong structural/functional correspondence with gene editing, and are from different domains (far-field analogies).

After reviewing the candidate sources, we can eliminate those that are not relevant to the concept of gene editing, such as ""Gourmet"" and ""Printing"". We can also eliminate ""Program Error"" and ""edit"" as they are not directly related to the biological process of gene editing.

The remaining candidates are ""bacterial mutation"", ""Evolution"", ""program"", ""Computer Code"", ""Chemical Reactions"", and ""natural selection"". Among these, ""bacterial mutation"" and ""Evolution"" are closely related to the biological process of gene editing, but they may not provide a strong analogy as they are from the same domain.

On the other hand, ""program"" and ""Computer Code"" provide a strong analogy with gene editing as they involve making targeted changes to a set of instructions (code) to achieve a specific outcome. This is similar to making targeted changes to an organism's DNA to achieve a specific outcome.

""Chemical Reactions"" also provides a strong analogy with gene editing as it involves the transformation of one set of chemical substances into another, which is similar to the transformation of an organism's DNA through gene editing.

Finally, ""natural selection"" provides a strong analogy with gene editing as it involves the selection of individuals with specific traits to achieve a specific outcome, which is similar to the selection of specific genes to edit in gene editing.

Based on these analyses, we select the top 3 candidates that would make the best analogies for gene editing.",-1,success,name_props_desc
6,Water Cycle,Circular Economy,"['Wave Propagation', 'Water pipe system', 'Conservation of Water Flow', 'heat transfer', 'tidal phenomena', 'Water Wave Propagation', 'Circular Economy', 'River', 'Skin System', 'Vortex']","['Conservation of Water Flow', 'heat transfer', 'Circular Economy']","To select the best analogous source concepts for the Water Cycle, we need to analyze the properties and descriptions of each candidate. The Water Cycle is a complex biogeochemical cycle that involves various physical processes, including the movement of water on Earth's surface and below it. We are looking for source concepts that are familiar, have strong structural/functional correspondence with the Water Cycle, and are from different domains (far-field analogies).

After reviewing the candidates, we can eliminate those that are too similar to the Water Cycle or do not have a strong analogy. For example, Wave Propagation and Water Wave Propagation are both related to water, but they do not capture the complexity of the Water Cycle. Similarly, River and Water pipe system are too similar to the Water Cycle and do not provide a strong analogy.

On the other hand, Conservation of Water Flow, heat transfer, and Circular Economy are all strong candidates. Conservation of Water Flow involves the responsible management of water resources, which is a key aspect of the Water Cycle. Heat transfer involves the exchange of thermal energy between systems, which is similar to the energy exchanges that occur in the Water Cycle. Circular Economy is an innovative model of production and consumption that aims to tackle global challenges, including climate change and waste, which are related to the Water Cycle.",3,success,name_props_desc
7,Cell division,the factory's production line,"['bacterial mutation', 'Evolution', 'program', 'A Distributed Computing System', 'wrinkles', 'Circular Economy', 'Factory', 'Healing', 'Disassembly', 'The Helix Bridge']","['Factory', 'Disassembly', 'program']","To find the best analogous source concepts for the target concept ""Cell division"", we need to analyze the properties and description of the target concept and compare them with the properties and descriptions of the candidate source concepts.

Cell division is a complex process that involves the replication and separation of DNA, as well as the splitting of cell organelles and cytoplasm. Therefore, we are looking for source concepts that have similar properties and processes.

After reviewing the candidate source concepts, we can see that the following three concepts have strong structural and functional correspondence with cell division:

1. Factory: A factory is a complex industrial facility where workers operate machinery and manufacture items or materials via a production line. This process involves the assembly and disassembly of components, which is similar to the process of cell division.
2. Disassembly: Disassembly is the process of translating machine language into assembly language, which involves breaking down complex components into simpler ones. This process is similar to the separation of DNA and cell organelles during cell division.
3. Program: A program is a set of instructions or code designed to perform a specific task or solve a particular problem. This process involves the execution of instructions, which is similar to the process of cell division where the cell follows a set of instructions to replicate and separate its components.

These three source concepts are from different domains (industrial, computational, and biological) and have strong structural and functional correspondence with cell division, making them good analogies for the target concept.",1,success,name_props_desc
8,Origin of Life,Chemical Reactions,"['Evolution', 'life', 'Biological Evolution', 'Desert', 'Ancient Rome', 'bacterial mutation', 'Foundation Series', 'Ecosystem', 'Plants', 'respiration']","['Evolution', 'Biological Evolution', 'Ecosystem']","To select the best analogous source concepts for the target concept ""Origin of Life"", we need to analyze the properties and descriptions of each candidate source. The origin of life involves the process of abiogenesis, where life arises from non-living matter, and involves various stages including the formation of a cell. We should look for source concepts that have similar properties or processes, such as evolution, cell formation, or biological processes.",-1,success,name_props_desc
9,The Genetic Code,The Writing System,"['Computer Code', 'Deciphering the Code', 'bacterial mutation', 'Program Error', 'code', 'The Neural Network of Computers', 'program', 'Evolution', 'The Nervous System', 'Molecular Symmetry']","['Computer Code', 'Deciphering the Code', 'The Neural Network of Computers']","To select the best analogous source concepts for the target concept ""The Genetic Code"", we need to analyze the properties and description of the target concept and review each candidate source. The genetic code is a fundamental aspect of living cells, dictating how information encoded in DNA or RNA is translated into proteins. We are looking for source concepts that are familiar, have strong structural/functional correspondence with the target concept, and are from different domains (far-field analogies).

After reviewing the candidate sources, we can see that ""Computer Code"" has a strong structural correspondence with the genetic code, as both involve a set of instructions that are executed to perform specific tasks. ""Deciphering the Code"" also has a strong functional correspondence, as it involves uncovering the meaning of a code, similar to how the genetic code is used to translate information into proteins. ""The Neural Network of Computers"" has a strong structural correspondence, as it is modeled after the biological neural network and involves the transmission of data.",-1,success,name_props_desc
10,Ecosystem,Machines,"['Ecosystem', 'ecosystem', 'forest', 'Circular Economy', 'Evolution', 'Skin System', 'Biological Evolution', 'Plants', 'Desert', 'Greenhouse']","['Circular Economy', 'Skin System', 'Greenhouse']","To find the best analogous source concepts for the target concept ""Ecosystem"", we need to analyze the properties and descriptions of each candidate source. The target concept ""Ecosystem"" has properties such as biology, ecosystem, survive, and reproduce, and it is described as a complex biological community made up of plants, animals, and microorganisms interacting with each other and their physical environment.

Based on the selection criteria, we prefer sources that are familiar, have strong structural/functional correspondence with the target, and are from different domains (far-field analogies).

The candidates ""Ecosystem"" and ""ecosystem"" are too similar to the target concept and do not provide a useful analogy. The candidate ""forest"" is a specific type of ecosystem, but it is too narrow and does not capture the full complexity of the target concept.

The candidate ""Circular Economy"" is an innovative model of production and consumption that aims to tackle global challenges, but it does not have a direct structural/functional correspondence with the target concept.

The candidates ""Evolution"", ""Biological Evolution"", and ""Plants"" are related to biology, but they do not capture the complex interactions between organisms and their physical environment that are characteristic of an ecosystem.

The candidate ""Skin System"" is a crucial part of the human body, but it does not have a direct structural/functional correspondence with the target concept.

The candidate ""Desert"" is a specific type of ecosystem, but it is too narrow and does not capture the full complexity of the target concept.

The candidate ""Greenhouse"" is a structure designed to grow plants in a controlled environment, but it does not capture the complex interactions between organisms and their physical environment that are characteristic of an ecosystem.

However, the candidates ""Circular Economy"", ""Skin System"", and ""Greenhouse"" can be considered as far-field analogies that can help explain certain aspects of the target concept ""Ecosystem"". The ""Circular Economy"" can be seen as an analogy for the cyclical nature of ecosystems, where resources are constantly being cycled and reused. The ""Skin System"" can be seen as an analogy for the boundary between the internal and external environments of an ecosystem. The ""Greenhouse"" can be seen as an analogy for the controlled environment of an ecosystem, where certain conditions are maintained to support the growth and survival of organisms.",-1,success,name_props_desc
