example_id,model,target_concept,source_concept,predicted_mappings,ground_truth_mappings,num_correct,total,accuracy,reasoning,elapsed_time
210,gpt-oss-20b,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""bourgeois reform movement"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""politics""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",2,5,0.4,"The Two concepts are closely related movements that sought modernization in late‑Qing China.  
- “technology” in the Westernization Movement refers to the adoption of modern industrial and scientific methods, which aligns with the broader “reform” goal of the 1898 movement.  
- “self‑improvement” echoes the introspective, self‑help aspect of the Westernization effort and corresponds to the “bourgeois reform movement” driven by bourgeois reformers.  
- Key figure “Li Hongzhang” in Westernization parallels “Kang Youwei” in the 1898 movement; both led reform initiatives.  
- The “Landlord Class Westernization School” was a class‑based effort, similar to the “bourgeois reformers” who orchestrated the 1898 reform.  
- “feudal ruler self‑help movement” describes feudal leaders driving change, which fits best with the overarching “politics” context of the Reform Movement of 1898.

Thus each target property is mapped to the most conceptually comparable source property.",0.3
210,gpt-oss-120b,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""politics"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",3,5,0.6,"The target concept “Westernization Movement” shares several thematic parallels with the source concept “Reform Movement of 1898.”  
- **technology** in the Westernization Movement represents a concrete domain of change, analogous to the broader **reform** agenda in the 1898 movement.  
- **self‑improvement** reflects the personal or moral renovation of rulers, which parallels the **politics**‑focused transformation sought by the 1898 reformers.  
- The leading figure **Li Hongzhang** corresponds to the intellectual leader **Kang Youwei**, both emblematic representatives of their respective movements.  
- The **Landlord Class Westernization School** denotes a social group driving Westernization, similar to the **bourgeois reformers** who propelled the 1898 reforms.  
- Finally, the **feudal ruler self‑help movement** mirrors the overall **bourgeois reform movement**, as both describe collective attempts at systemic modernization.

These conceptual similarities guide the property‑to‑property mappings below.",0.23
210,gpt-4.1-mini,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",4,5,0.8,"The Westernization Movement and the Reform Movement of 1898 are both historical reform efforts in China, but they differ in focus and leadership. The Westernization Movement emphasized adopting Western technology and self-improvement, led by figures like Li Hongzhang and supported by the landlord class, representing a feudal ruler self-help approach. In contrast, the Reform Movement of 1898 was a political and broader reform effort led by Kang Youwei and bourgeois reformers, aiming at systemic political changes. Despite these differences, some properties can be mapped based on their roles and themes: ""technology"" in the Westernization Movement aligns with the ""reform"" aspect of the Reform Movement, as both involve modernization efforts; ""self-improvement"" corresponds to the general ""reform"" spirit; ""Li Hongzhang"" as a leader corresponds to ""Kang Youwei""; ""Landlord Class Westernization School"" aligns with ""bourgeois reformers"" as the social class driving the movement; and ""feudal ruler self-help movement"" corresponds to ""bourgeois reform movement"" as the nature of the reform's social base.",0.22
210,gpt-4.1-nano,Westernization Movement,Reform Movement of 1898,"{""technology"": ""reform"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",4,5,0.8,"The Westernization Movement was a broad reform effort that involved technological advancement, self-improvement, and influential figures like Li Hongzhang, as well as social classes such as landlords and feudal rulers. The Reform Movement of 1898 was a political reform led by figures like Kang Youwei, involving bourgeois reformers and a bourgeois reform movement. Both movements aimed at modernization and reform within China, with overlapping themes of political and social change, though the Westernization Movement focused more on technological and social reforms, while the 1898 reform was more political and ideological. Therefore, the properties related to reform, self-improvement, and influential reformers can be mapped between the two movements, with the understanding that both are reform movements aiming at modernization.",0.23
210,grok-4-fast,Westernization Movement,Reform Movement of 1898,"{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",5,5,1.0,"The Westernization Movement and the Reform Movement of 1898 were both efforts to modernize China in response to Western pressures, but they differed in focus and leadership. The target properties emphasize technological adoption and conservative self-strengthening under feudal structures, while the source properties highlight political reforms led by bourgeois intellectuals. Mappings are based on structural analogies: focus areas (technology to politics), goals (self-improvement to reform), leaders (Li Hongzhang to Kang Youwei), supporting groups (Landlord Class Westernization School to bourgeois reformers), and overall character (feudal ruler self-help movement to bourgeois reform movement).",0.37
210,gemini-2.5-flash-lite,Westernization Movement,Reform Movement of 1898,"{""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",3,5,0.6,"The user wants to map properties of the ""Westernization Movement"" to properties of the ""Reform Movement of 1898"". I need to identify which properties from the source concept are analogous or directly related to the properties of the target concept.

- ""technology"" (target) relates to the general aims of the Westernization Movement, which often involved adopting Western technology. While not explicitly stated in the source properties, the ""reform"" aspect of the Reform Movement of 1898 implies a desire for modernization, which would include technology. However, there isn't a direct mapping.
- ""self-improvement"" (target) is a broad concept. The Westernization Movement aimed at strengthening China through adopting Western methods, which could be seen as a form of self-improvement for the nation. The ""reform"" in the source concept also implies improvement.
- ""Li Hongzhang"" (target) was a key figure in the Westernization Movement. There isn't a direct equivalent figure mentioned in the source properties.
- ""Landlord Class Westernization School"" (target) refers to a faction or ideology within the Westernization Movement. The ""bourgeois reformers"" (source) represents a different social class and ideological group involved in the Reform Movement of 1898.
- ""feudal ruler self-help movement"" (target) describes the nature of the Westernization Movement, often initiated by the ruling elite. The ""bourgeois reform movement"" (source) describes the nature of the Reform Movement of 1898, driven by a different class.

Given the properties, the most direct mappings are conceptual:
- The ""Westernization Movement"" (target) can be seen as a precursor or a different type of reform movement compared to the ""Reform Movement of 1898"" (source).
- ""Li Hongzhang"" is a key figure of the target, and ""Kang Youwei"" is a key figure of the source. These are analogous roles.
- ""Landlord Class Westernization School"" and ""feudal ruler self-help movement"" describe the social base and nature of the target movement. ""bourgeois reformers"" and ""bourgeois reform movement"" describe the social base and nature of the source movement. These are analogous in describing the movement's characteristics, though different in specifics.
- ""technology"" and ""self-improvement"" are general aims. ""reform"" is a general aim of the source. There isn't a direct one-to-one mapping for these general terms.

Let's focus on the most direct analogies:
- ""Li Hongzhang"" (target) is analogous to ""Kang Youwei"" (source) as key proponents/leaders.
- ""Landlord Class Westernization School"" (target) is analogous to ""bourgeois reformers"" (source) as the social/ideological groups involved.
- ""feudal ruler self-help movement"" (target) is analogous to ""bourgeois reform movement"" (source) as the overall description of the movement's nature and driving class.
- ""technology"" and ""self-improvement"" from the target don't have direct, specific property mappings in the source properties provided. ""reform"" from the source is a general concept that could encompass the aims of the target, but it's not a direct mapping of a specific target property.

Therefore, the mappings will focus on the figures and the descriptions of the movements' nature and participants.

Revised mapping strategy:
- ""Li Hongzhang"" -> ""Kang Youwei"" (key figures)
- ""Landlord Class Westernization School"" -> ""bourgeois reformers"" (social/ideological groups)
- ""feudal ruler self-help movement"" -> ""bourgeois reform movement"" (nature/description of the movement)
- ""technology"" and ""self-improvement"" from the target do not have direct, specific property mappings in the source properties.

Let's re-evaluate the prompt's request: ""create the correct mappings between them."" This implies finding correspondences.

- ""technology"" (target) is a key aspect of Westernization. ""reform"" (source) is a broader term that could include technological adoption. No direct mapping.
- ""self-improvement"" (target) is a general goal. ""reform"" (source) is also a general goal. No direct mapping.
- ""Li Hongzhang"" (target) is a person. ""Kang Youwei"" (source) is a person. This is a strong analogy for key figures.
- ""Landlord Class Westernization School"" (target) describes a group/ideology. ""bourgeois reformers"" (source) describes a group/ideology. This is a strong analogy for the participants.
- ""feudal ruler self-help movement"" (target) describes the movement's nature. ""bourgeois reform movement"" (source) describes the movement's nature. This is a strong analogy for the movement's classification.

So, the mappings are:
- Li Hongzhang -> Kang Youwei
- Landlord Class Westernization School -> bourgeois reformers
- feudal ruler self-help movement -> bourgeois reform movement

The properties ""technology"" and ""self-improvement"" from the target do not have direct, specific counterparts in the provided source properties. The property ""politics"" and ""reform"" from the source are general concepts that the target movement also engaged with, but they are not specific mappings of the target properties.

Final decision on mappings:
- ""Li Hongzhang"" maps to ""Kang Youwei"" (key figures)
- ""Landlord Class Westernization School"" maps to ""bourgeois reformers"" (social groups/ideologies)
- ""feudal ruler self-help movement"" maps to ""bourgeois reform movement"" (movement classification)

The other properties (""technology"", ""self-improvement"" from target; ""politics"", ""reform"" from source) do not have direct, specific one-to-one mappings based on the provided lists. The prompt asks for mappings *between* properties. If a property doesn't have a clear counterpart, it shouldn't be mapped.

Let's consider if ""reform"" from the source could map to ""self-improvement"" or ""technology"" from the target. The Westernization Movement was a form of reform aimed at modernization (technology) and strengthening the nation (self-improvement). The Reform Movement of 1898 was also a reform. So, ""reform"" (source) could be seen as a broader category that encompasses the aims of ""technology"" and ""self-improvement"" (target). However, the prompt asks for property mappings, and these are quite general.

Given the structure of the request, it's best to map specific entities or classifications where clear analogies exist.

- ""Li Hongzhang"" -> ""Kang Youwei""
- ""Landlord Class Westernization School"" -> ""bourgeois reformers""
- ""feudal ruler self-help movement"" -> ""bourgeois reform movement""

These are the most direct and specific analogies.",0.23
210,meta-llama-3-1-70b-instruct,Westernization Movement,Reform Movement of 1898,"{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",5,5,1.0,"The Reform Movement of 1898 and the Westernization Movement are two distinct historical events in China. The Reform Movement of 1898 was a political movement led by Kang Youwei and aimed at reforming the Qing government, while the Westernization Movement was a self-improvement movement led by Li Hongzhang and focused on adopting Western technology and ideas to strengthen China. The two movements had different goals and leaders, but both were responses to the challenges posed by Western imperialism. Therefore, the properties of the two concepts can be mapped as follows:",0.26
210,meta-llama-3-1-8b-instruct,Westernization Movement,Reform Movement of 1898,"{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",5,5,1.0,"The Westernization Movement and the Reform Movement of 1898 are two distinct historical movements in China. The Westernization Movement was a movement that aimed to adopt Western technology and institutions to strengthen China, while the Reform Movement of 1898 was a movement that aimed to reform the Chinese government and society. Although they share some similarities, they have different focuses and goals.",0.24
210,deepseek-r1,Westernization Movement,Reform Movement of 1898,"{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",5,5,1.0,"The Westernization Movement and the Reform Movement of 1898 represent distinct phases of China's modernization efforts. The Westernization Movement focused on adopting Western **technology** and industrial practices (led by figures like **Li Hongzhang** and the **Landlord Class Westernization School**) to strengthen feudal institutions, framed as a **self-improvement** strategy. In contrast, the Reform Movement of 1898 prioritized **political** and institutional changes (led by **Kang Youwei** and the **bourgeois reformers**), aiming for systemic **reform** rather than superficial technological adoption. Mapping these properties highlights their contrasting priorities: technology vs. politics, feudal vs. bourgeois leadership, and incremental self-help vs. radical reform.",0.24
210,qwen3-14b,Westernization Movement,Reform Movement of 1898,"{""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}","{""technology"": ""politics"", ""self-improvement"": ""reform"", ""Li Hongzhang"": ""Kang Youwei"", ""Landlord Class Westernization School"": ""bourgeois reformers"", ""feudal ruler self-help movement"": ""bourgeois reform movement""}",4,5,0.8,"The Westernization Movement (target) and Reform Movement of 1898 (source) both represent efforts to modernize China but differ in focus and class leadership. ""Self-improvement"" in the target aligns with ""reform"" in the source as both denote modernization efforts. ""Li Hongzhang"" (target leader) maps to ""Kang Youwei"" (source leader). The ""Landlord Class Westernization School"" (target) corresponds to ""bourgeois reformers"" (source) as both represent social classes driving change. Finally, ""feudal ruler self-help movement"" (target) maps to ""bourgeois reform movement"" (source) as both describe the nature of the movement, despite differing class contexts. ""Technology"" in the target lacks a direct counterpart in the source properties.",0.28
