id,target,target_background,gold_source,top_10_sources,top_10_scores,llm_selected_sources,llm_selected_scores,gold_rank,embedding_mode,baseline
1,biological clock,"The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.",clock,"['Biological Evolution', 'clock', 'bacterial mutation', 'Evolution', 'Ecosystem', 'day and night cycle', 'Time Machine', 'Human Body', 'wrinkles', 'life']","[0.3786787182861502, 0.37565001052459696, 0.3127308474397077, 0.3014485299975414, 0.3004549724624555, 0.29895759869257044, 0.2750425307900156, 0.27451210857970876, 0.2716347982406104, 0.2614044003482981]","['clock', 'day and night cycle', 'Time Machine']","[0.37565001052459696, 0.29895759869257044, 0.2750425307900156]",1,name_properties,embedding_llm_top10_to_3
2,Biosphere,"The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.",Library,"['Ecosystem', 'ecosystem', 'Biological Evolution', 'Circular Economy', 'Desert', 'Greenhouse', 'life', 'Evolution', 'The Real World', 'Skin System']","[0.5644059383971753, 0.5044757153365504, 0.3555429282670561, 0.3462854920377633, 0.3418946801336247, 0.3303246347590437, 0.32366855639777314, 0.3144550534917844, 0.3091087275207509, 0.3062349489181819]","['Ecosystem', 'ecosystem', 'Desert']","[0.5644059383971753, 0.5044757153365504, 0.3418946801336247]",-1,name_properties,embedding_llm_top10_to_3
3,Respiratory system,"The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.",engine,"['respiration', 'Air handling system', 'Human Body', 'air circulation ducts', 'air filter', 'Australian Parliamentary System', 'the skeletal system', 'lubrication system', 'sound system', 'sounds']","[0.4439990903135665, 0.40105959603856384, 0.39563272418905115, 0.3127274941224897, 0.2995476450567794, 0.2942316296171, 0.2919278405965648, 0.29122053580381635, 0.28338079275164463, 0.28200703670014404]","['Air handling system', 'air circulation ducts', 'lubrication system']","[0.40105959603856384, 0.3127274941224897, 0.29122053580381635]",-1,name_properties,embedding_llm_top10_to_3
4,Spread of Pathogens,"The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.",Spread of Fire,"['Spread of Fire', 'Disease', 'Population Movement', 'Crowd', 'bacterial mutation', 'illness', 'Information Flow', 'Diseases', 'air circulation ducts', 'Wave Propagation']","[0.44654289141485515, 0.43497819694422885, 0.36698106086475357, 0.32083253523158606, 0.30364855582043854, 0.30205608273009865, 0.2705270394374873, 0.2677362147365745, 0.25926613041580115, 0.25570791439529655]","['Spread of Fire', 'Disease', 'Population Movement']","[0.44654289141485515, 0.43497819694422885, 0.36698106086475357]",1,name_properties,embedding_llm_top10_to_3
5,Gene editing,"Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.",kirigami,"['bacterial mutation', 'edit', 'Evolution', 'program', 'Computer Code', 'Program Error', 'Printing', 'Gourmet', 'Chemical Reactions', 'natural selection']","[0.3618950292759755, 0.3256726784890958, 0.3154943918171546, 0.295985261402646, 0.25295107876974415, 0.2515233851971181, 0.24533380986933825, 0.24208087747221105, 0.23599361301457075, 0.23323981242763414]","['bacterial mutation', 'edit', 'Evolution']","[0.3618950292759755, 0.3256726784890958, 0.3154943918171546]",-1,name_properties,embedding_llm_top10_to_3
6,Water Cycle,"The water cycle is a natural phenomenon that describes the constant movement of water on Earth's surface, both above and below it. This complex biogeochemical cycle involves various physical processes such as evaporation, transpiration, condensation, and precipitation, and plays a crucial role in shaping the Earth's climate and ecosystems. The water cycle affects the global distribution of water, and its exchange of energy leads to temperature changes, making it a critical component of the planet's climate system. Additionally, the purification and transport of water across the globe via the water cycle help support the growth and maintenance of life on Earth. While the water cycle is a natural process, it is essential to understand how it connects to human-made systems, such as water processing facilities and plumbing systems, to ensure sustainable access to clean and safe water.",Circular Economy,"['Wave Propagation', 'Water pipe system', 'Conservation of Water Flow', 'heat transfer', 'tidal phenomena', 'Water Wave Propagation', 'Circular Economy', 'River', 'Skin System', 'Vortex']","[0.42424065505650776, 0.40753063365299824, 0.38771496731357513, 0.37947159923693585, 0.37307037756987804, 0.36442859535497746, 0.3612056871166359, 0.34096762897500815, 0.330109783501892, 0.3278189696347164]","['Wave Propagation', 'Water pipe system', 'Conservation of Water Flow']","[0.42424065505650776, 0.40753063365299824, 0.38771496731357513]",-1,name_properties,embedding_llm_top10_to_3
7,Cell division,"Cell division is a complex process that plays a critical role in maintaining the proper functioning of an organism. It involves the replication and separation of DNA, as well as the splitting of cell organelles and cytoplasm, and ultimately results in the creation of daughter cells. In eukaryotes, cell division occurs through two distinct mechanisms - mitosis, which produces genetically identical daughter cells, and meiosis, which results in haploid gametes for sexual reproduction. Prokaryotes undergo a simpler type of division called binary fission, in which their genetic material is equally divided into two daughter cells. Whether in unicellular microorganisms like amoeba or multicellular organisms like the human body, cell division is a fundamental process that allows for growth, repair, and reproduction. At its core, the primary concern of cell division is the maintenance of the original cell's genome, ensuring consistency of genetic information from one generation to the next.",the factory's production line,"['bacterial mutation', 'Evolution', 'program', 'A Distributed Computing System', 'wrinkles', 'Circular Economy', 'Factory', 'Healing', 'Disassembly', 'The Helix Bridge']","[0.31668634724616385, 0.31035398929953306, 0.29859651635199475, 0.26541443620709393, 0.24924639124206827, 0.24891675234689947, 0.24466229018732377, 0.23887234311281041, 0.23382107726553775, 0.23330968071751113]","['program', 'Factory', 'Disassembly']","[0.29859651635199475, 0.24466229018732377, 0.23382107726553775]",2,name_properties,embedding_llm_top10_to_3
8,Origin of Life,"The origin of life is a fascinating and complex topic in biology. Abiogenesis, or the process of life arising from non-living matter, is thought to involve various stages including the formation of a habitable planet, prebiotic synthesis of organic molecules, molecular self-replication, self-assembly, and the emergence of cell membranes. Many theories propose different stages in this process. Life is based on the chemistry of carbon and water, with four main key families of chemicals that include lipids, carbohydrates, amino acids, and nucleic acids. Researchers believe that current life descends from an RNA world, although other self-replicating molecules may have preceded RNA. Various external sources of energy such as lightning, radiation, and atmospheric entries of micro-meteorites may have triggered chemical reactions. In addition, a genomics approach has sought to characterise the last universal common ancestor (LUCA) of modern organisms to better understand the origins of life, identifying 355 genes that appear to be common to all life. Finally, fossil evidence from the Earth informs most studies of abiogenesis, with the earliest undisputed evidence of life on Earth dating back to at least 3.5 billion years ago. The study of abiogenesis remains essential to understanding the evolution of life on our planet and the natural selection that has occurred.",Chemical Reactions,"['Evolution', 'life', 'Biological Evolution', 'Desert', 'Ancient Rome', 'bacterial mutation', 'Foundation Series', 'Ecosystem', 'Plants', 'respiration']","[0.360470988869, 0.3523759845099097, 0.3102010081946053, 0.2607044070664507, 0.25001272666901064, 0.24798197792583088, 0.2463833652998731, 0.23936476585420677, 0.23439034102037223, 0.22321593159709271]","['Evolution', 'Biological Evolution', 'bacterial mutation']","[0.360470988869, 0.3102010081946053, 0.24798197792583088]",-1,name_properties,embedding_llm_top10_to_3
9,The Genetic Code,"The genetic code is a fundamental aspect of living cells, dictating how information encoded in DNA or RNA is translated into proteins. Ribosomes play a key role in this process, linking amino acids together in a specific order as directed by messenger RNA (mRNA). The genetic code is universal among all organisms and is presented in a simple table with 64 entries, with each codon specifying which amino acid will be added during protein biosynthesis. While most genes follow a standard genetic code, some variants exist, such as in mitochondria. Understanding the genetic code is crucial in unraveling the secrets of life and finding potential treatments for various diseases.",The Writing System,"['Computer Code', 'Deciphering the Code', 'bacterial mutation', 'Program Error', 'code', 'The Neural Network of Computers', 'program', 'Evolution', 'The Nervous System', 'Molecular Symmetry']","[0.4243648924817378, 0.37743870226560505, 0.32077218514065475, 0.3182666682058468, 0.30664536642663903, 0.273123136788609, 0.240234757994987, 0.23739425082847124, 0.22882206521906542, 0.22788045156555853]","['Computer Code', 'Deciphering the Code', 'The Neural Network of Computers']","[0.4243648924817378, 0.37743870226560505, 0.273123136788609]",-1,name_properties,embedding_llm_top10_to_3
10,Ecosystem,"An ecosystem is a complex biological community made up of plants, animals, and microorganisms interacting with each other and their physical environment. It is a delicate balance that is maintained through the continuous cycling of nutrients and energy. The survival and reproduction of each species within an ecosystem are intertwined with one another. Each organism has its unique place in the food chain, and by consuming and being consumed, they play a crucial role in the movement of matter and energy through the system. However, ecosystems are not static, and they are continually changing through external and internal factors such as climate, decomposition, disturbance, and succession. Ecosystem services, such as clean water and air, pollination of crops, and aesthetic beauty, are essential to human survival and are heavily impacted by human activities such as pollution, habitat fragmentation, and deforestation. The collapse of an ecosystem can have devastating effects on all organisms within the system, including humans. Thus ecosystem restoration is crucial to maintaining the delicate balance of these biological communities, which in turn supports the sustainability of life on earth.",Machines,"['Ecosystem', 'ecosystem', 'forest', 'Circular Economy', 'Evolution', 'Skin System', 'Biological Evolution', 'Plants', 'Desert', 'Greenhouse']","[0.629958311957319, 0.5654013949535718, 0.3964202420116091, 0.3785069352278638, 0.343381808635165, 0.3291481994853388, 0.31531572695166177, 0.29629665856047155, 0.2957511065627216, 0.29403895340435415]","['Ecosystem', 'ecosystem', 'Biological Evolution']","[0.629958311957319, 0.5654013949535718, 0.31531572695166177]",-1,name_properties,embedding_llm_top10_to_3
