id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,"changes, state, adjust","[""Clock"", ""Calendar"", ""Timer"", ""Alarm"", ""Sunrise"", ""Seasons"", ""Heartbeat"", ""Metronome"", ""Pendulum"", ""Stopwatch"", ""Watch"", ""Oven timer"", ""Traffic light"", ""Moon phases"", ""School bell"", ""Egg timer"", ""Wind-up toy"", ""Sun dial"", ""Water clock"", ""Flashlight timer""]","[""hands movement, time, setting"", ""events, date, update"", ""alarms, display, settings"", ""snooze, on/off, set"", ""dawn, daybreak, awaken"", ""transitions, phase, adaptation"", ""rhythm, pulse, regulate"", ""tempo, beat, timing"", ""swing, position, calibration"", ""laps, display, reset"", ""hands movement, time, setting"", ""alarms, display, settings"", ""phases, color, timing"", ""phases, illumination, cycle"", ""class periods, session, scheduling"", ""ticks, time, set"", ""mechanism, tension, winding"", ""shadows, time, calibration"", ""flow, level, calibration"", ""switch, mode, setting""]",,success
2,Biosphere,"[""Library""]",1,"biology, biodiversity, ecosystem","[""Garden"", ""City"", ""Forest"", ""Ocean"", ""Neighborhood"", ""Zoo"", ""Farm"", ""Park"", ""Coral reef"", ""Village"", ""Web"", ""Jungle"", ""Terrarium"", ""Aquarium"", ""Market"", ""School"", ""Library"", ""Playground"", ""Factory"", ""Community""]","[""botany, variety of plants, garden environment"", ""demographics, cultural diversity, infrastructure"", ""trees, wildlife, habitat"", ""marine life, aquatic species, coral reef"", ""residents, community, infrastructure"", ""animals, species, enclosures"", ""crops, livestock, fields"", ""flora and fauna, wildlife variety, environmental balance"", ""marine life, species variety, reef habitat"", ""residents, community, infrastructure"", ""content, variety of websites, network"", ""flora, species, habitat"", ""plants, varied plants, mini-ecosystem"", ""marine life, fish variety, water environment"", ""economics, , "", ""curriculum, student body, classrooms"", ""books, genres, catalog"", ""children, various rides, play area"", ""machinery, product line, production line"", ""residents, variety of residents, neighborhood""]",,success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,"oxygen, the lungs, breathing muscles","[""Pump"", ""Bellows"", ""Fan"", ""Balloon"", ""Filter"", ""Air conditioner"", ""Lungs"", ""Windpipe"", ""Breathing tube"", ""Sponge"", ""Vacuum"", ""Blower"", ""Balloon pump"", ""Air pump"", ""Bellows"", ""Fan blades"", ""Air filter"", ""Breathing apparatus"", ""Oxygen mask"", ""Air exchange""]","[""fluid, pump chamber, motor"", ""air, bellows bag, handles"", ""air, blades, motor"", ""air, balloon interior, pumping action"", ""clean water, filter membrane, pump"", ""cool air, evaporator coils, compressor"", ""air, alveoli, diaphragm"", ""air, air sacs, diaphragm"", ""air, tube interior, pump mechanism"", ""water, pores, osculum"", ""air, dust bag, motor"", ""air, fan, motor"", ""air, balloon, pump handle"", ""air, pump chamber, motor"", ""air, bellows bag, handles"", ""airflow, motor housing, motor"", ""clean air, filter media, fan motor"", ""air supply, oxygen tank, regulator valve"", ""oxygen supply, mask chamber, elastic straps"", ""fresh air, ventilation unit, fans""]",,success
4,Spread of Pathogens,"[""Spread of Fire""]",1,"pathogen, crowd, Prevention and control measures","[""Fire"", ""Rumor"", ""Water ripple"", ""Traffic jam"", ""Ink spill"", ""Chain reaction"", ""Dominoes"", ""Windblown seeds"", ""Leaking pipe"", ""Mold growth"", ""Spreading stain"", ""Snowball"", ""Virus scan"", ""Flood"", ""Echo"", ""Pollen spread"", ""Light beam"", ""Magnetism"", ""Bee swarm"", ""Crowd wave""]","[""flame, fuel, firefighting"", ""rumor, audience, damage control"", ""stone, water, barrier"", ""vehicle, highway, traffic management"", ""ink, paper, containment"", ""catalyst, reactants, inhibitors"", ""domino, domino lineup, spacing"", ""seed, garden, Weed barriers"", ""water, surrounding area, sealant or patch"", ""spores, damp environment, ventilation and cleaning"", ""stain, fabric, Cleaning methods"", ""snowball, hill, barriers"", ""malware, network, Firewall and antivirus software"", ""water, population, levees and dams"", ""Sound wave, Surface, Dampening"", ""pollen, garden, Barriers and filters"", ""photon, medium, beam regulation"", ""magnetic field, ferromagnetic material, magnetic shielding"", ""bee, swarm, Beekeeper protection"", ""wave source, audience, wave dampeners""]",,success
5,Gene editing,"[""kirigami""]",1,"Gene, CRISPR-Cas9 Technology, edited gene","[""Text editing"", ""Puzzle fixing"", ""Recipe changing"", ""Code debugging"", ""Photo retouching"", ""Sculpting"", ""Gardening"", ""Painting"", ""Sewing"", ""Building blocks"", ""Locksmithing"", ""Car repair"", ""Cooking"", ""Writing"", ""Knitting"", ""Editing film"", ""Puzzle assembly"", ""Tool sharpening"", ""Model making"", ""Music remixing""]","[""Text, Editing Tool, revised text"", ""Puzzle piece, Precision tool, Repaired puzzle"", ""Ingredient, Recipe Editor, Modified ingredient"", ""Code, Debugger, patched code"", ""Photo, Editing Software, retouched photo"", ""Marble, Chisel, Sculpture"", ""Plant, Pruning Tool, Grafted Plant"", ""Canvas, Brush, Painted Canvas"", ""Fabric, Sewing Machine, altered garment"", ""Block, Tool, Modified Block"", ""Lock, Key, altered lock"", ""Car Part, Repair Tool, Repaired Part"", ""Ingredient, Kitchen Tool, Recipe"", ""Word, Pen, revised sentence"", ""Yarn, Knitting Needles, Finished Garment"", ""Film Frame, Editing Software, Final Cut"", ""Puzzle piece, Assembly tool, Completed puzzle"", ""Tool, Sharpening Stone, sharpened tool"", ""Model, Sculpting Tool, modified model"", ""Song, Remixing Software, remixed track""]",,success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,"water, processing facility, plumbing system","[""Laundry"", ""Fountain"", ""Bathtub"", ""Sprinkler"", ""Kettle"", ""River"", ""Clouds"", ""Steam"", ""Rain"", ""Garden hose"", ""Waterfall"", ""Ice cube"", ""Sponge"", ""Water bottle"", ""Pond"", ""Well"", ""Water tap"", ""Watering can"", ""Ocean waves"", ""Water pipe""]","[""detergent, washing machine, drain pipe"", ""water, pump, pipes"", ""bath water, water heater, faucet"", ""water spray, pump station, hose network"", ""water, heating element, spout"", ""river flow, waterfall, tributary"", ""water vapor, ice crystal formation, precipitation channels"", ""steam, boiler, pipes"", ""raindrop, cloud, storm drain"", ""water flow, hose nozzle, hose pipe"", ""stream, river source, stream bed"", ""ice, freezer, ice tray"", ""liquid, squeeze, pores"", ""liquid, factory, bottle cap"", ""pond water, water pump, water pipes"", ""water, pump house, piping"", ""water flow, water treatment, pipes"", ""water, watering can, spout"", ""ocean, shore, tidal channel"", ""liquid, water treatment plant, pipe network""]",,success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,"cell, dna, cell organelle, cytoplasm","[""Baking"", ""Copying"", ""Cloning"", ""Printing"", ""Folding"", ""Splitting"", ""Growing"", ""Building"", ""Painting"", ""Sewing"", ""Planting"", ""Multiplying"", ""Cutting"", ""Packing"", ""Budding"", ""Mirroring"", ""Harvesting"", ""Assembling"", ""Duplicating"", ""Dividing""]","[""loaf, recipe, ingredient, dough"", ""document, content, sections, background"", ""copy, template, replica component, environment"", ""page, text, font, ink"", ""paper, fold line, folded section, paper fibers"", ""object, content, component, substance"", ""plant, seed, root, soil"", ""room, blueprint, furniture, interior"", ""canvas, paint, brush, medium"", ""fabric, pattern, thread, yarn"", ""seed, blueprint, gardening tool, soil"", ""number, multiplier, place value, partial product"", ""object, pattern, component, material"", ""box, item, packing material, filler"", ""mother plant, genetic blueprint, leaf, soil and water"", ""original image, image data, image component, background"", ""field, crop, farm equipment, soil"", ""product, blueprint, component, raw material"", ""document, content, sections, formatting"", ""object, asset, component, content""]",,success
8,Origin of Life,"[""Chemical Reactions""]",1,"cell, evolution, natural selection","[""Seed"", ""Spark"", ""Recipe"", ""Puzzle"", ""Blueprint"", ""Bubble"", ""Fire"", ""Nest"", ""Crack"", ""Dawn"", ""Garden"", ""Seedling"", ""Egg"", ""Wave"", ""Path"", ""Light"", ""Sparkle"", ""Drop"", ""Thread"", ""Root""]","[""sprout, growth, pruning"", ""ember, spread, oxygen supply"", ""dish, modification, taste test"", ""piece, assembly, fitting"", ""room, revision, design optimization"", ""film, formation, popping"", ""ember, spread, fuel adaptation"", ""twig, construction, arrangement"", ""nucleus, growth, pressure"", ""light, daybreak, sunrise"", ""soil, growth, pruning"", ""sprout, growth, pruning"", ""yolk, development, hatching"", ""water droplet, wave propagation, wave filtering"", ""waypoint, extension, optimization"", ""bulb, spectrum, refraction"", ""facet, tarnish, refraction"", ""droplet, formation, surface tension"", ""Fiber, Weaving, Friction"", ""root hair, growth, pruning""]",,success
9,The Genetic Code,"[""The Writing System""]",1,"dna sequence, RNA, Ribosome, protein","[""Recipe"", ""Blueprint"", ""Code"", ""Instruction"", ""Language"", ""Map"", ""Manual"", ""Formula"", ""Pattern"", ""Signal"", ""Script"", ""Key"", ""Guide"", ""Plan"", ""Message"", ""Puzzle"", ""Sequence"", ""Algorithm"", ""Chart"", ""Framework""]","[""Ingredients List, Recipe Instructions, Kitchen Appliance, Final Dish"", ""architectural plan, building instructions, construction site, finished building"", ""Blueprint, Messenger, Translator, Output"", ""Blueprint, Messenger, Assembler, Final Product"", ""Alphabet, Messenger, Translator, Sentence"", ""Legend, Key, Cartographer, Destination"", ""Instructions, Messenger, Translator, Product"", ""variables, input values, calculator, result"", ""template, blueprint, weaver, fabric"", ""Message, Transmission, Receiver, Output"", ""Script Text, Script Interpreter, Script Executor, Executable Code"", ""Teeth, Keyway, Lock, Door"", ""Instructions, Messenger, Translator, Final Product"", ""Blueprint, Instructions, Construction Site, Final Product"", ""Text, Messenger, Translator, Meaning"", ""Puzzle Pieces, Instructions, Puzzle Solver, Completed Puzzle"", ""input string, intermediate format, processor, output string"", ""Input Data, Intermediate Representation, Processor, Output"", ""Data Points, Legend, Plotter, Graph"", ""Blueprint, Instructions, Assembly Line, Final Product""]",,success
10,Ecosystem,"[""Machines""]",1,"biology, ecosystem, Survive, reproduce","[""Garden"", ""City"", ""Neighborhood"", ""Forest"", ""Coral reef"", ""Farm"", ""Zoo"", ""Market"", ""Web"", ""Community"", ""Village"", ""School"", ""Team"", ""Family"", ""Machine"", ""Network"", ""Puzzle"", ""Factory"", ""Ecosystem"", ""Ocean""]","[""botany, garden, thrive, grow"", ""infrastructure, community, thrive, grow"", ""residents, community, thrive, grow"", ""trees, habitat, grow, regenerate"", ""marine life, reef structure, withstand currents, spawn larvae"", ""crops, fields, yield, harvest"", ""animals, enclosures, thrive, breed"", ""economics, market, Profit, Grow"", ""infrastructure, network, function, expand"", ""sociology, neighborhood, thrive, grow"", ""population, community, thrive, grow"", ""curriculum, classroom, learn, graduate"", ""players, team, win, recruit"", ""relationships, household, thrive, grow"", ""mechanics, system, function, manufacture"", ""infrastructure, system, function, expand"", ""pieces, puzzle board, fit together, complete picture"", ""machinery, factory floor, Operate, Manufacture"", ""organism, community, thrive, multiply"", ""marine life, aquatic environment, buoyancy, spawning""]",,success
