id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,,"[""Pendulum clock"", ""Metronome"", ""Heartbeat"", ""Sunrise alarm"", ""Tide"", ""Traffic light"", ""Rotating wheel"", ""Seasonal calendar"", ""Clockwork mechanism"", ""Plant growth cycle"", ""Music player on repeat"", ""Clock tower"", ""Rotating planet"", ""Moon cycle"", ""Daily planner"", ""Clock's gears"", ""Seasonal flower"", ""Tide pool"", ""Heartbeat monitor"", ""Circadian rhythm""]",[],"A biological clock is an internal timing system that regulates physiological processes in sync with environmental cues. Analogies should reflect cyclical patterns, synchronization, and internal regulation. Examples include mechanical timekeepers, natural rhythms, and systems with periodic behavior.",success
2,Biosphere,"[""Library""]",1,,"[""Living system"", ""Global network"", ""Complex web"", ""Dynamic system"", ""Interconnected web"", ""Ecosystem"", ""Planet's ecosystem"", ""Living organism"", ""Community"", ""Food web"", ""Habitat"", ""Natural system"", ""Environmental network"", ""Life support system"", ""Interdependent system"", ""Global web"", ""Ecological sphere"", ""Living network"", ""Interconnected system"", ""Biome""]",[],"The biosphere encompasses all living organisms and their interactions with the environment. Analogies should reflect interconnected systems, ecosystems, or global networks that support life and interdependence.",success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,,"[""Ventilation system"", ""Air filter"", ""Bellows"", ""Air hose"", ""Car's air intake"", ""Furnace"", ""Chimney"", ""Straw"", ""Valve"", ""Pipeline network"", ""Sieve"", ""Heat exchanger"", ""Mask"", ""Snorkel"", ""Fan"", ""Vacuum cleaner"", ""Geyser"", ""Turbine"", ""Siphon"", ""Whistle""]",[],"The respiratory system's primary functions include gas exchange (oxygen in, carbon dioxide out), air filtration, and air passage. Analogies should reflect these processes using familiar systems or objects. I'll focus on mechanical systems, natural processes, and everyday items that involve airflow, filtration, or exchange mechanisms.",success
4,Spread of Pathogens,"[""Spread of Fire""]",1,,"[""Wildfire"", ""Computer virus"", ""Rumor"", ""Chain reaction"", ""Flu outbreak"", ""Contagious idea"", ""Mosquito bite"", ""Network virus"", ""Domino effect"", ""Contagious laughter"", ""Waterborne disease"", ""Airborne virus"", ""Snowball effect"", ""Contagious emotion"", ""Infection chain"", ""Contagious idea"", ""Viral video"", ""Contagious infection"", ""Chain of events"", ""Contagious disease""]",[],"The spread of pathogens involves transmission through contact, vectors, or environments. Analogies should reflect transmission mechanisms, multiplication, or cascading effects. Examples include natural phenomena, social behaviors, and technological systems that mirror these processes.",success
5,Gene editing,"[""kirigami""]",1,,"[""Text Editor"", ""Surgical Scalpel"", ""Blueprint Modification"", ""Puzzle Piece Replacement"", ""Recipe Adjustment"", ""Map Correction"", ""Software Patch"", ""Library Catalog Update"", ""Music Sheet Edit"", ""Painting Touch-up"", ""Key Replacement"", ""Gardening Pruning"", ""Language Translation"", ""Clock Repair"", ""Recipe Ingredient Swap"", ""Blueprint Redesign"", ""Software Debugging"", ""Book Chapter Rewrite"", ""Car Engine Tune-up"", ""Jigsaw Puzzle Fix""]",[],"Gene editing involves precisely altering DNA sequences to modify traits. Analogies should reflect precision, modification of a complex system, and targeted changes. The analogies will draw from everyday tools, processes, and objects that involve making specific, intentional changes to a larger structure or system.",success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,,"[""Washing Machine"", ""Roller Coaster"", ""River System"", ""Steam Engine"", ""Irrigation System"", ""Rain Gutter"", ""Coffee Maker"", ""Fountain"", ""Clothes Dryer"", ""Snow Globe"", ""Pool Filter"", ""Cloud"", ""Water Wheel"", ""Sponge"", ""Kettle"", ""Delta"", ""Water Pump"", ""Shower"", ""Garden Hose"", ""Snowflake""]",[],"The water cycle involves continuous movement of water between Earth's surface, atmosphere, and bodies of water through processes like evaporation, condensation, precipitation, and collection. Analogies should reflect cyclical motion, phase changes, or interconnected systems.",success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,,"[""Factory assembly line"", ""Birthday cake splitting"", ""Copying a document"", ""Splitting a sandwich"", ""Team splitting into two groups"", ""Unzipping a zipper"", ""Dividing a pizza"", ""Copying a photo"", ""Dividing a company"", ""Splitting a river into two"", ""Dividing a group of people"", ""Copying a recipe"", ""Splitting a balloon"", ""Dividing a map into sections"", ""Splitting a puzzle into halves"", ""Reproducing organisms"", ""Splitting a bubble"", ""Dividing a cake into layers"", ""Copying a file"", ""Splitting a team into two""]",[],"Cell division involves a structured process where a single cell splits into two or more daughter cells. Analogies should reflect processes of splitting, replication, organization, or creation of duplicates. Examples include splitting objects, copying information, or organizing groups, which mirror the stages of mitosis/meiosis.",success
8,Origin of Life,"[""Chemical Reactions""]",1,,"[""Recipe"", ""Seed"", ""Computer Program"", ""Fire"", ""Virus"", ""Spiderweb"", ""Snowflake"", ""Cake (with Yeast)"", ""River"", ""Star"", ""Tree Rings"", ""Computer Virus"", ""Coral Reef"", ""Crystal Growth"", ""Storm"", ""Forest"", ""Volcano"", ""Bacteria Colony"", ""Mold Spores"", ""Iceberg Formation""]",[],"The origin of life involves the emergence of complex, self-replicating systems from non-living matter through chemical processes. Analogies should reflect transformation, self-assembly, replication, or gradual complexity from simple components.",success
9,The Genetic Code,"[""The Writing System""]",1,,"[""Cipher"", ""Recipe"", ""Blueprint"", ""Language"", ""Codebook"", ""Musical score"", ""Map"", ""Password"", ""Key"", ""Menu"", ""Programming language"", ""Telephone keypad"", ""Barcode"", ""Subway map"", ""Morse code"", ""Recipe book"", ""Instruction manual"", ""Alphabet"", ""Translation guide"", ""Cookbook""]",[],"The Genetic Code is the system that translates nucleotide sequences (A, T, C, G) into amino acids, forming proteins. Analogies should reflect translation, mapping, or encoding systems. Focus on concepts involving rules, conversion, or universal languages.",success
10,Ecosystem,"[""Machines""]",1,,"[""City"", ""Machine"", ""Symphony"", ""School"", ""Sports Team"", ""Computer Network"", ""Body"", ""Factory"", ""Traffic System"", ""Power Grid"", ""Marketplace"", ""Hive"", ""Library"", ""Garden"", ""River System"", ""Farm"", ""Coral Reef"", ""Forest"", ""Clockwork"", ""Social Network""]",[],"An ecosystem is a complex system where living organisms and their physical environment interact. To explain this, analogies should reflect interdependence, balance, and dynamic processes. I'll use systems with interconnected parts, energy flow, and mutual reliance, spanning human, mechanical, and natural domains.",success
