example_id,model,target_concept,source_concept,predicted_properties,ground_truth_properties,num_predicted,num_ground_truth,num_matched,precision,recall,f1_score,reasoning,elapsed_time,error
210,gpt-oss-20b,Westernization Movement,Reform Movement of 1898,"[""Western influence"", ""Gender equality"", ""Reproductive rights"", ""Inclusivity"", ""Social stratification""]","[""technology"", ""self-improvement"", ""Li Hongzhang"", ""Landlord Class Westernization School"", ""feudal ruler self-help movement""]",5.0,5.0,0.0,0.0,0.0,0.0,"The description emphasizes the Westernization Movement as a cultural and ideological import that reshaped feminist activism over time. Key themes identified are the spread of Western norms, the evolution of feminist waves, the focus on reproductive rights, the push for inclusivity across class and race, and the ongoing critique of power structures. These themes translate into concise properties that capture the movement’s core attributes and its impact on gender equality.",0.24,
281,gpt-oss-20b,household,government,"[""group"", ""shared dwelling"", ""family unit"", ""head"", ""economic unit""]","[""household"", ""house"", ""father"", ""servant"", ""father"", ""father"", ""housekeeper""]",5.0,5.0,0.0,0.0,0.0,0.0,"The description highlights that a household is a collective of individuals who share a single dwelling, functioning as a core unit in social, economic, and governmental analyses. It can take many forms—single family, blended families, shared housing, group homes, etc.—and typically includes a head or leader who manages responsibilities. The household also involves roles like housekeepers or servants and historically encompassed broader societal structures such as royal households.",0.23,
34,gpt-oss-20b,Cell division,the replicator,"[""DNA replication"", ""chromosome segregation"", ""cell cycle control""]","[""cell"", ""cell organelle"", ""molecular""]",3.0,3.0,0.0,0.0,0.0,0.0,"The description highlights the core aspects of cell division: the preservation of genetic integrity, the distinction between mitotic (vegetative) and meiotic (reproductive) divisions in eukaryotes, and binary fission in prokaryotes. Key mechanisms mentioned are DNA replication and chromosome segregation, facilitated by organelles and signaling pathways. Thus, the essential properties to capture are those that define the process itself—replication of genetic material, accurate segregation of chromosomes during division, and the overarching control of the cell cycle that coordinates these events within the organism's life cycle.",49.62,
211,gpt-oss-20b,Westernization Movement,The Revolution of 1911,"[""social campaign"", ""gender equality"", ""four waves"", ""reproductive rights"", ""intersectionality"", ""global reach""]","[""technology"", ""self-improvement"", ""Li Hongzhang"", ""Landlord Class Westernization School"", ""feudal ruler self-help movement""]",6.0,5.0,0.0,0.0,0.0,0.0,"The description outlines key aspects of the feminist movement, including its origins in the 1800s, its four waves, and the core issues addressed (reproductive rights, domestic violence, equal pay, suffrage, harassment, and violence). It highlights the diversification of participants across social classes and ethnicities, the focus on intersectionality in the fourth wave, and the global spread of the movement’s priorities. Extracting the most salient attributes gives us concise properties that capture the movement’s nature and impact.",53.19,
94,gpt-oss-20b,Electrochemical Reaction,Power Generation,,,,,,,,,,,'NoneType' object is not iterable
85,gpt-oss-20b,Limit Modification System,Firewall,"[""Restriction Enzymes"", ""Methylation"", ""4-6 bp Recognition"", ""Palindromic Sites"", ""Self-Protection"", ""DNA Cleavage"", ""Endonuclease Defense""]","[""prokaryotes"", ""exogenous DNA"", ""restriction enzyme"", ""cut off"", ""degradation""]",7.0,5.0,0.0,0.0,0.0,0.0,"The Limit Modification System (RM system) protects bacteria by cleaving foreign DNA while safeguarding the host genome. It relies on restriction enzymes (endonucleases) that recognize short, often palindromic sequences (4–6 base pairs). Once a sequence is found, the enzyme cuts internal phosphodiester bonds, fragmenting the DNA for degradation. Because the same recognition sites exist in the bacterial genome, the host DNA is methylated at specific bases, preventing cleavage and enabling self‑protection. Thus, key aspects of the system are the presence of restriction enzymes, sequence recognition, methylation for immune evasion, palindromic recognition motifs, and the cleavage mechanism targeting foreign DNA.",11.6,
330,gpt-oss-20b,Article,River,"[""definiteness"", ""indefiniteness"", ""informative"", ""persuasive"", ""entertaining"", ""grammar""]","[""article"", ""Word"", ""beginning"", ""end""]",6.0,4.0,0.0,0.0,0.0,0.0,"An article serves both as a grammatical device—marking definiteness or indefiniteness within a sentence—and as an independent nonfiction text that can inform, persuade, or entertain. The description emphasizes its dual nature: the article noun (“the”, “a”, “an”) in English grammar, and the written piece that appears in publications or online. Key attributes include the grammatical role (definiteness/indefiniteness), its purpose (informing, persuading, entertaining), and its form (nonfiction prose, often published). The text also notes practical aspects of writing—audience awareness, engagement, and coherence—highlighting that the article must balance linguistic precision with rhetorical effectiveness.",8.78,
95,gpt-oss-20b,Crystals,Architecture,"[""Ordered lattice"", ""Periodic structure"", ""Symmetry"", ""Single crystal"", ""Polycrystal"", ""Amorphous""]","[""atom"", ""atomic arrangement"", ""chemical bond"", ""Crystal structure""]",6.0,4.0,0.0,0.0,0.0,0.0,"Crystals are defined by the presence of an ordered, periodic lattice of atoms that extends in three dimensions. This periodicity gives rise to characteristic geometrical shapes and symmetry properties in macroscopic single crystals. The key scientific concepts involve atomic arrangement, chemical bonding, and the distinction between crystalline (periodic) and amorphous (non‑periodic) solids. Polycrystals are aggregates of many such microscopic crystals joined together, whereas amorphous solids lack a repeating lattice. These properties govern mechanical, optical, and electrical behaviors that are central to crystallography and materials science.",10.33,
267,gpt-oss-20b,money,time,"[""medium of exchange"", ""store of value"", ""unit of account"", ""legal tender"", ""fungible"", ""divisible"", ""portable""]","[""money"", ""allocate"", ""budget"", ""effective"", ""cheap"", ""expensive""]",7.0,6.0,0.0,0.0,0.0,0.0,"Money is a socially‑constructed medium that facilitates exchange. Its key functions are to act as a medium of exchange, a store of value, a unit of account, and a means of payment. The value is derived from shared trust and legal‑tender status. Money is fungible, divisible, portable, and durable, making it efficient for resource allocation and budgeting. The concept also encompasses digital and physical forms governed by regulatory institutions.",9.54,
127,gpt-oss-20b,Deep Learning,The Brain,"[""deep architecture"", ""feature hierarchy"", ""backpropagation"", ""gradient descent"", ""universal approximation""]","[""Model"", ""data"", ""study"", ""output""]",5.0,4.0,0.0,0.0,0.0,0.0,"Deep learning, as described, is defined by its use of multi‑layer artificial neural networks that learn hierarchical representations from data. The key attributes highlighted in the description include: the presence of multiple layers (deep architecture) enabling representation learning; the ability to be supervised, semi‑supervised, or unsupervised; widespread application domains such as computer vision, speech recognition, and NLP; and the capability to achieve human‑level performance in complex tasks. These core elements collectively form the conceptual backbone of deep learning, which the properties below summarize.",11.9,
