id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,"changes, state, adjust","[""grandfather clock"", ""alarm clock"", ""wristwatch"", ""hourglass"", ""pendulum swing"", ""sundial"", ""metronome"", ""thermostat"", ""traffic light"", ""washing machine"", ""microwave timer"", ""battery life"", ""fuel gauge"", ""seasonal calendar"", ""moon phases"", ""daily routine"", ""sleep schedule"", ""heartbeat rhythm"", ""tide schedule"", ""oven timer""]","[""hands movement, time, wind-up"", ""settings, mode, reset"", ""hands movement, time, settings"", ""flow, level, tilt"", ""oscillations, position, dampening"", ""shadows, time, calibration"", ""tempo, beat, timing"", ""temperature fluctuations, set point, calibration"", ""phases, color, timing"", ""cycles, mode, settings"", ""countdown, display, settings"", ""drain, charge, conserve"", ""needle movement, fuel level, refuel"", ""months, season, transition"", ""phases, illumination, cycles"", ""scheduling, tasks, adaptation"", ""alarm, wakefulness, reset"", ""beats, pulse, regulate"", ""ebbs and flows, tidal phase, reset timing"", ""alarms, display, settings""]","The biological clock is an internal timing mechanism in organisms that regulates cycles like sleep-wake patterns, adjusting to environmental cues and changing states over time. Analogies should be familiar concepts involving timing, rhythms, adjustments, or state changes, such as mechanical timers or natural cycles, to make the idea relatable without being too literal or biological.",success
2,Biosphere,"[""Library""]",1,"biology, biodiversity, ecosystem","[""Human body"", ""Urban city"", ""Home garden"", ""Coral reef"", ""Dense forest"", ""World wide web"", ""Global economy"", ""Symphony orchestra"", ""School community"", ""Family network"", ""Bee colony"", ""Ant society"", ""Food web"", ""Supply chain"", ""Social media"", ""Farm ecosystem"", ""River delta"", ""Tropical rainforest"", ""Ocean currents"", ""Planetary atmosphere""]","[""physiology, organs, organ systems"", ""demographics, cultural diversity, infrastructure"", ""plants, variety, garden environment"", ""marine life, species variety, reef habitat"", ""botany, wildlife, habitat"", ""content, websites, network"", ""industry, market diversity, market system"", ""music, instruments, sections"", ""curriculum, student body, campus"", ""family dynamics, extended family, household"", ""bee anatomy, caste system, hive environment"", ""caste roles, different castes, colony structure"", ""organisms, species, habitat"", ""products, variety of suppliers, network of producers and consumers"", ""users, content diversity, network"", ""crops and livestock, varieties of crops and animals, farm environment"", ""aquatic life, species variety, wetland habitat"", ""organisms, species, habitat"", ""marine life, species variety, current patterns"", ""gas composition, atmospheric layers, air circulation patterns""]","The biosphere represents the global layer of Earth where life exists, integrating biology (life processes), biodiversity (variety of organisms), and ecosystems (interacting communities). To analogize it, I selected 20 familiar source concepts that mirror its interconnectedness, diversity, and dynamic balance, such as complex systems with interdependent parts, from natural to human-made examples.",success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,"oxygen, the lungs, breathing muscles","[""Bicycle pump"", ""Fireplace bellows"", ""Vacuum cleaner"", ""Car engine"", ""Drinking straw"", ""Rubber balloon"", ""Piston pump"", ""Cooling fan"", ""Kitchen exhaust"", ""Air filter"", ""Air compressor"", ""Medical inhaler"", ""Building ventilation"", ""Scuba regulator"", ""Wind instrument"", ""Sponge absorption"", ""Accordion playing"", ""Bagpipe blowing"", ""Wind turbine"", ""Leaf stomata""]","[""air, pump chamber, pump handle"", ""air, bellows bag, handles"", ""air, dust bag, suction motor"", ""fuel, cylinders, pistons"", ""liquid, the mouth, sucking action"", ""air, balloon interior, hands squeezing"", ""fluid, piston chamber, drive motor"", ""airflow, fan blades, motor"", ""clean air, exhaust fan, fan motor"", ""clean air, filter media, fan motor"", ""compressed air, air tank, electric motor"", ""medication, target area, actuator"", ""fresh air, ventilation rooms, fans"", ""air supply, diver, regulator valve"", ""air, bellows, player's embouchure"", ""water, sponge pores, capillary action"", ""airflow, bellows, arms"", ""air, bag, blower"", ""electricity, generator, blades"", ""carbon dioxide, leaf interior, guard cells""]","The respiratory system involves the intake of oxygen through breathing, gas exchange in the lungs, and expulsion of carbon dioxide using muscles like the diaphragm. Analogies should draw from familiar mechanical, everyday, or natural systems that involve pumping, filtering, absorbing, or exchanging air/fluids/gases to make the concept relatable.",success
4,Spread of Pathogens,"[""Spread of Fire""]",1,"pathogen, crowd, Prevention and control measures","[""Wildfire spread"", ""Rumor propagation"", ""Computer virus"", ""Domino effect"", ""Ripple expansion"", ""Chain reaction"", ""Contagious laughter"", ""Oil spill"", ""Viral meme"", ""Yeast fermentation"", ""Ink diffusion"", ""Panic stampede"", ""Fashion trend"", ""Protest wave"", ""Snowball effect"", ""Traffic jam"", ""Yawn contagion"", ""Locust swarm"", ""Flood waters"", ""Gossip network""]","[""spark, dry underbrush, firebreaks"", ""rumor, social network, fact-checking"", ""Malware, Network, Firewall"", ""domino, domino line, stopping mechanism"", ""stone, water, barrier"", ""catalyst, reactants, inhibitors"", ""joke, audience, resistance to laughter"", ""oil, ecosystem, Containment and cleanup methods"", ""meme content, social network, content moderation"", ""yeast, substrate, temperature control"", ""ink, water, containment"", ""stimulus, herd, Safety protocols"", ""clothing item, consumer base, Marketing strategies"", ""protester, mass gathering, riot control"", ""initial spark, surrounding snow, barrier to roll"", ""vehicle, highway, traffic management"", ""yawn, group, Social influence"", ""locust, swarm, Pest control methods"", ""water, surrounding area, Levees and floodwalls"", ""rumor, social circle, damage control""]","The target concept ""Spread of Pathogens"" involves how infectious agents (pathogens) propagate through populations (crowds), with sub-concepts emphasizing the agent, the medium of spread, and interventions like isolation or barriers. To generate analogies, I selected 20 familiar, everyday or natural phenomena that mirror contagion: something initiating and rapidly expanding through a connected group or medium, often with implied containment strategies (e.g., firewalls for digital spread, dikes for floods). Each is phrased in 1-3 words to evoke the source domain directly, drawing from nature, technology, social dynamics, and physics for broad accessibility.",success
5,Gene editing,"[""kirigami""]",1,"Gene, CRISPR-Cas9 Technology, edited gene","[""Document editing"", ""Video splicing"", ""Code debugging"", ""Clay sculpting"", ""Fabric tailoring"", ""Photo retouching"", ""Precision surgery"", ""Blueprint revising"", ""Recipe tweaking"", ""Puzzle assembling"", ""Engine tuning"", ""Tree pruning"", ""Book rewriting"", ""Map redrawing"", ""Song remixing"", ""Furniture refinishing"", ""Text translating"", ""Machine repairing"", ""Painting restoring"", ""Lego building""]","[""Document, Text Editor, revised paragraph"", ""Video Clip, Splicing Tool, Spliced Clip"", ""Code, Debugger, patched code"", ""Clay, Sculpting Tool, sculpted clay"", ""Fabric, Sewing Machine, altered garment"", ""Photo, Editing Software, retouched photo"", ""Tissue, Scalpel, repaired tissue"", ""Blueprint, Eraser Tool, Revised Blueprint"", ""Ingredient, Kitchen Tool, Modified Recipe"", ""Puzzle piece, Assembly tool, Completed puzzle"", ""Engine, Tuning Tool, tuned engine"", ""Branch, Pruning Tool, Pruned Branch"", ""Book, Editing Tool, rewritten chapter"", ""Location, Eraser Tool, Revised Boundary"", ""Song, Remixing Software, remixed song"", ""Wood, Sanding Tool, Refinished Piece"", ""Text, Translation Tool, translated text"", ""Machine Part, Repair Tool, repaired part"", ""Canvas, Brush, restored painting"", ""Lego brick, Specialized tool, Modified brick structure""]","Gene editing involves precise modification of DNA sequences, like using CRISPR-Cas9 to cut, insert, or alter genes. Analogies are drawn from everyday activities involving targeted cutting, altering, or restructuring of structured elements (e.g., text, images, objects) to mirror the precision and transformative nature of editing genetic material.",success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,"water, processing facility, plumbing system","[""Blood circulation"", ""Laundry cycle"", ""Waste recycling"", ""Coffee brewing"", ""Air conditioning"", ""Human digestion"", ""Money economy"", ""Postal delivery"", ""Power grid"", ""Food chain"", ""News media"", ""Traffic flow"", ""Sleep patterns"", ""Washing machine"", ""Irrigation system"", ""Distillery process"", ""Library lending"", ""Data streaming"", ""Butterfly metamorphosis"", ""Economic boom-bust""]","[""blood, heart, blood vessels"", ""clothes, washing machine, drain pipe"", ""waste, recycling plant, collection system"", ""coffee, coffee maker, brewing system"", ""coolant, compressor unit, ductwork"", ""food, stomach, intestines"", ""money, bank, financial network"", ""mail, post office, delivery route"", ""electricity, power plant, transmission lines"", ""nutrient, farm, food distribution network"", ""information, newsroom, broadcast network"", ""vehicles, interchange, road network"", ""rest, brain, nervous system"", ""detergent, drum, hoses"", ""water supply, pumping station, pipeline network"", ""alcohol, , "", ""books, cataloging department, circulation desk"", ""data, stream processor, streaming pipeline"", ""caterpillar, chrysalis, wing formation"", ""money, bank, financial network""]","The water cycle describes the continuous movement of water on Earth through processes like evaporation, condensation, precipitation, and collection, involving transformation (processing facility) and transport (plumbing system). To analogize, I selected 20 familiar source concepts from everyday, biological, industrial, and economic systems that mirror resource collection, processing/transformation, and distribution/circulation, keeping each to 1-3 words for brevity and relevance.",success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,"cell, dna, cell organelle, cytoplasm","[""Cake slicing"", ""Key duplication"", ""File copying"", ""Road forking"", ""Pizza dividing"", ""Log splitting"", ""River branching"", ""Tree budding"", ""Document photocopying"", ""Dough cutting"", ""Bill sharing"", ""Path bifurcation"", ""Ice cracking"", ""Candy dividing"", ""Recipe copying"", ""Room partitioning"", ""Lightning forking"", ""Plant propagating"", ""Asset dividing"", ""Balloon splitting""]","[""cake, filling, sprinkles, frosting"", ""key, teeth, key cuts, key material"", ""file, file contents, file component, file metadata"", ""road, traffic flow, road sign, road surface"", ""pizza, toppings, crust, sauce"", ""log, grain, knot, sapwood"", ""river, water, tributary, riverbank"", ""bud, genetic blueprint of tree, leaf structure, sap"", ""document, text, graphics, paper"", ""dough, filling, ingredient, yeast"", ""bill, total amount, item, shared cost"", ""path, route map, signpost, traveler"", ""ice sheet, crystal structure, ice fragment, frozen water"", ""candy, flavor, nut, filling"", ""recipe book, instructions, kitchen tool, ingredients"", ""room, furniture, decorations, air space"", ""bolt, electric charge, ionized channel, plasma arc"", ""plant, genetic material, plant organ, soil"", ""company, asset, department, resources"", ""balloon, air, inner balloon structure, balloon contents""]","Cell division involves a single cell duplicating its DNA, distributing organelles and cytoplasm, and splitting into two identical daughter cells. Analogies should draw from familiar processes of duplication, separation, and replication in everyday or natural phenomena to make the concept relatable, focusing on splitting, copying, and partitioning elements.",success
8,Origin of Life,"[""Chemical Reactions""]",1,"cell, evolution, natural selection","[""Big Bang"", ""Human Birth"", ""Primordial Soup"", ""Seed Germination"", ""Crystal Formation"", ""Recipe Mixing"", ""Lego Assembly"", ""Egg Hatching"", ""Factory Production"", ""Garden Planting"", ""Storm Brewing"", ""City Founding"", ""Language Evolution"", ""Art Creation"", ""Team Formation"", ""Ecosystem Building"", ""Invention Process"", ""Viral Spread"", ""River Carving"", ""Music Composition""]","[""atom, expansion, gravity"", ""baby, growth, survival"", ""droplet, chemical change, concentration"", ""seed, growth, environmental adaptation"", ""crystal lattice, crystal growth, thermodynamic selection"", ""bowl, recipe iteration, taste adjustment"", ""brick, structure, design optimization"", ""egg, development, survival"", ""production unit, product improvement, quality control"", ""seed, growth, pruning"", ""cloud, storm intensification, weather patterns"", ""settlement, , "", ""word, language change, linguistic drift"", ""brush stroke, art movement, critique"", ""team member, team growth, member selection"", ""community, growth, balance"", ""prototype, iteration, testing"", ""host, mutation, immune response"", ""water droplet, river path, erosion"", ""melody, harmony, arrangement""]","The origin of life involves the emergence of simple chemical systems into self-replicating cells, followed by evolution through natural selection. Analogies should draw from familiar processes of emergence, self-organization, complexity building from basics, and adaptive selection in everyday or natural phenomena, keeping each to 1-3 words for brevity.",success
9,The Genetic Code,"[""The Writing System""]",1,"dna sequence, RNA, Ribosome, protein","[""Programming code"", ""Cookbook recipe"", ""Architectural blueprint"", ""Morse code"", ""Language dictionary"", ""Sheet music"", ""Assembly instructions"", ""Travel itinerary"", ""Binary digits"", ""Sign language"", ""Cipher key"", ""Puzzle manual"", ""Play script"", ""User manual"", ""Bar code"", ""QR scanner"", ""Braille text"", ""Semaphore flags"", ""Highway signs"", ""Encryption algorithm""]","[""Source Code, Intermediate Representation, Compiler, Executable Program"", ""Ingredients list, Recipe instructions, Kitchen appliance, Final dish"", ""Building Plan, Contractor's Instructions, Construction Site, Finished Building"", ""message, transmission signal, decoder, decoded message"", ""Alphabet, Words, Translator, Sentence"", ""Musical Notes, Sheet Music Transcript, Orchestra, Harmony"", ""Blueprint, Instruction manual, Assembly line, Final product"", ""Route Map, Travel Brochure, Tour Guide, Destination"", ""binary code, data transmission, processor, output"", ""Hand Position, Finger Spelling, Interpreter, Message"", ""Encrypted Text, Messenger, Decoder, Decrypted Message"", ""Puzzle instructions, Messenger guide, Puzzle assembler, Completed puzzle"", ""dialogue, stage directions, theater, performance"", ""Instruction Set, Assembly Manual, Assembly Line, Final Product"", ""bar code number, scanner, checkout machine, product"", ""QR code, Scanner Input, Scanner Device, Decoded Data"", ""Braille dots, Braille text, Braille reader, read text"", ""Flag Sequence, Flag Pattern, Flag Reader, Message"", ""Route Map, Traffic Update, Construction Crew, Destination"", ""plaintext, ciphertext, decoder, decrypted message""]","The genetic code is a system where DNA sequences are transcribed into RNA and translated by ribosomes into proteins, functioning like a universal language or set of instructions for building biological molecules. Analogies should draw from familiar coding, translation, or instruction-following systems that involve a source (like DNA), an intermediary (like RNA), and a product (like protein), using everyday or technical concepts that parallel this mapping process.",success
10,Ecosystem,"[""Machines""]",1,"biology, ecosystem, Survive, reproduce","[""Busy city"", ""Symphony orchestra"", ""Extended family"", ""Market economy"", ""Spider web"", ""Supply chain"", ""Rural village"", ""Complex machine"", ""Home garden"", ""Sports team"", ""Social network"", ""Fish tank"", ""Working farm"", ""Beehive colony"", ""Urban traffic"", ""Busy kitchen"", ""School system"", ""Corporate office"", ""Human body"", ""Clockwork mechanism""]","[""infrastructure, city, thrive, grow"", ""music theory, orchestra, thrive, perform"", ""relationships, family unit, thrive, grow"", ""industry, market, profit, grow"", ""web structure, web network, catch prey, spawn eggs"", ""industry, network, operate, expand"", ""population, community, thrive, grow"", ""mechanics, machine, function, manufacture"", ""plants, garden, thrive, grow"", ""player skills, team, win, recruit"", ""demographics, community, thrive, grow"", ""marine life, aquatic environment, stay alive, breed"", ""livestock, farmstead, thrive, breed"", ""colony structure, hive environment, forage, brood"", ""vehicles, traffic network, reach destination, transport goods/people"", ""food, kitchen, serve, refill"", ""curriculum, school, graduate, enroll"", ""employees, office environment, thrive, grow"", ""physiology, organism, homeostasis, regeneration"", ""mechanism, clockwork, function, cycle""]","An ecosystem is a biological community of interacting organisms and their environment, emphasizing survival and reproduction through interdependent relationships. I selected 20 familiar, everyday concepts that analogize this interconnectedness, balance, and mutual dependence, using 1-3 word phrases for simplicity and relatability, drawing from social, mechanical, and natural systems to mirror ecological dynamics without overlapping too closely with biology.",success
