id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,,"[""Alarm clock"", ""Kitchen timer"", ""Hourglass"", ""Wristwatch"", ""Sundial"", ""Pendulum swing"", ""Metronome beat"", ""Tide schedule"", ""Seasonal cycle"", ""Heartbeat rhythm"", ""Oven timer"", ""Stopwatch"", ""Water clock"", ""Cuckoo clock"", ""Battery life"", ""Thermostat cycle"", ""Lunar phases"", ""Day-night rotation"", ""Egg timer"", ""Grandfather clock""]",[],"The biological clock refers to an internal mechanism regulating cycles like sleep-wake patterns in living organisms. To create analogies, I selected 20 familiar, everyday concepts involving timing, rhythms, cycles, or internal regulators that parallel this idea of inherent, periodic control without being biological themselves. These are drawn from mechanical devices, natural phenomena, and simple processes to make the abstract concept more relatable.",success
2,Biosphere,"[""Library""]",1,,"[""Terrarium"", ""Aquarium"", ""Coral reef"", ""Beehive"", ""Human body"", ""City infrastructure"", ""Internet network"", ""Forest ecosystem"", ""Ocean currents"", ""Symphony orchestra"", ""Spider web"", ""Global economy"", ""Rainforest canopy"", ""Social media"", ""Planetary atmosphere"", ""Ant colony"", ""Urban jungle"", ""Food chain"", ""Water cycle"", ""Living planet""]",[],"The biosphere is the global zone of life on Earth, encompassing all living organisms and their interactions with the land, water, and air. To create analogies, I selected 20 familiar source concepts that represent interconnected systems, zones of activity, or holistic environments where components interact dynamically, such as ecosystems, networks, or enclosed habitats. These are concise (1-3 words) and draw from everyday or natural phenomena to parallel the biosphere's integrative nature.",success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,,"[""Fireplace bellows"", ""Vacuum cleaner"", ""Car engine"", ""Kitchen sponge"", ""Plumbing pipes"", ""Cooling fan"", ""Factory chimney"", ""Party balloon"", ""Musical accordion"", ""Engine piston"", ""Car air filter"", ""Building vents"", ""Scuba regulator"", ""Wind tunnel"", ""Exhaust pipe"", ""Bicycle pump"", ""Exhaust fan"", ""Air compressor"", ""Smoke stack"", ""Leaf stomata""]",[],"The respiratory system is a network of organs and tissues that enables gas exchange, primarily by inhaling oxygen and exhaling carbon dioxide through airways, lungs, and associated structures. To create analogies, I selected 20 familiar, everyday concepts involving air intake, flow, filtration, expansion/contraction, or expulsion, using 1-3 words each to highlight structural or functional similarities without direct overlap.",success
4,Spread of Pathogens,"[""Spread of Fire""]",1,,"[""Forest fire"", ""Spreading rumors"", ""Computer virus"", ""Oil spill"", ""Traffic jam"", ""Domino effect"", ""Chain reaction"", ""Gossip propagation"", ""Flood waters"", ""Insect infestation"", ""Viral meme"", ""Air pollution"", ""Crowd panic"", ""Snowball effect"", ""Contagious laughter"", ""Ink diffusion"", ""Yeast rising"", ""Weed growth"", ""Bacterial colony"", ""Echo chamber""]",[],"The spread of pathogens refers to how infectious agents like viruses or bacteria transmit between hosts via vectors such as air, contact, water, or vectors. To create analogies, I selected 20 familiar concepts that involve propagation, diffusion, or contagion in everyday or observable phenomena, ensuring each is described in 1-3 words for brevity and relevance.",success
5,Gene editing,"[""kirigami""]",1,,"[""Text editing"", ""Pruning plants"", ""Sculpting clay"", ""Tailoring clothes"", ""Coding software"", ""Adjusting recipes"", ""Grafting trees"", ""Photo retouching"", ""Video splicing"", ""Music remixing"", ""Building Legos"", ""Puzzle solving"", ""Car tuning"", ""Book rewriting"", ""Map redrawing"", ""Canvas repainting"", ""Wood carving"", ""Jewelry crafting"", ""Spell checking"", ""Document redacting""]",[],"Gene editing involves precisely modifying DNA sequences to alter genetic traits, similar to targeted changes in various familiar processes. I selected analogies that capture elements of cutting, inserting, deleting, or refining components in a structured system, using everyday or common concepts to make the idea accessible.",success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,,"[""Laundry cycle"", ""Breathing process"", ""Heartbeat rhythm"", ""Day-night rotation"", ""Seasonal changes"", ""Blood circulation"", ""Coffee brewing"", ""Dishwasher run"", ""Moon phases"", ""Tidal flow"", ""Plant growth"", ""News cycle"", ""Ferris wheel"", ""Car engine"", ""Sleep-wake pattern"", ""Recycling loop"", ""Bicycle pedaling"", ""Fountain circulation"", ""Digestion process"", ""Weather patterns""]",[],"The water cycle involves the continuous movement of water through evaporation, condensation, precipitation, and collection in Earth's systems. To create analogies, I selected 20 familiar, everyday or natural concepts that involve cyclic processes, transformation, circulation, or recycling of elements, which can map to the stages of the water cycle (e.g., rising/falling, changing states, returning to source). These are kept to 1-3 words each for brevity and familiarity.",success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,,"[""Photocopying page"", ""Splitting log"", ""Dividing pie"", ""Cloning plant"", ""Forking road"", ""Copying file"", ""Duplicating keys"", ""Breaking chocolate"", ""Separating twins"", ""Splitting bill"", ""Dividing dough"", ""River forking"", ""Path diverging"", ""Team splitting"", ""Cake slicing"", ""Assembly line"", ""Mirroring image"", ""Echoing sound"", ""Replicating recipe"", ""Branching tree""]",[],"Cell division involves a single cell splitting into two or more daughter cells, often duplicating genetic material first, as in mitosis (identical copies) or meiosis (halving for reproduction). To create analogies, I selected 20 familiar, everyday source concepts that evoke ideas of splitting, duplicating, branching, or replicating something into multiples, using simple physical, mechanical, or social processes that parallel the division and replication aspects without being scientific.",success
8,Origin of Life,"[""Chemical Reactions""]",1,,"[""Big Bang"", ""Seed Germination"", ""Crystal Formation"", ""Fire Ignition"", ""River Carving"", ""City Building"", ""Language Evolution"", ""Internet Emergence"", ""Snow Accumulation"", ""Domino Effect"", ""Butterfly Metamorphosis"", ""Puzzle Assembly"", ""Recipe Mixing"", ""Symphony Composition"", ""Book Authoring"", ""Ecosystem Development"", ""Star Birth"", ""Volcano Eruption"", ""Wave Formation"", ""Chain Reaction""]",[],"The Origin of Life involves the emergence of biological complexity from simple chemical precursors in Earth's early environment, often theorized through processes like abiogenesis in a primordial soup. Analogies should draw from familiar concepts of spontaneous emergence, transformation from simplicity to complexity, self-organization, or creation from basic elements, using everyday or natural phenomena to parallel this without direct scientific overlap.",success
9,The Genetic Code,"[""The Writing System""]",1,,"[""Morse Code"", ""Binary Code"", ""Cookbook Recipe"", ""Musical Notation"", ""Braille System"", ""Sign Language"", ""Dictionary Translation"", ""Building Blueprint"", ""Computer Program"", ""Road Map"", ""Phone Directory"", ""Barcode System"", ""Secret Cipher"", ""Recipe Instructions"", ""Sheet Music"", ""Language Dictionary"", ""Assembly Manual"", ""Keyboard Layout"", ""Wire Color Code"", ""Semaphore Flags""]",[],"The Genetic Code is a system where sequences of nucleotides (codons) map to specific amino acids, functioning like a universal dictionary for protein synthesis. To generate analogies, I focused on familiar concepts involving translation, mapping, or coding from one form (symbols, instructions) to another (meanings, actions, outcomes), such as communication systems, instructions, and symbolic representations. This ensures diverse, relatable sources that parallel the code's structure and function.",success
10,Ecosystem,"[""Machines""]",1,,"[""Human body"", ""City infrastructure"", ""Beehive colony"", ""Orchestra ensemble"", ""Supply chain"", ""Family unit"", ""Corporate office"", ""Garden plot"", ""Traffic network"", ""Social media"", ""Aquarium tank"", ""Farm system"", ""Web browser"", ""Clock mechanism"", ""Village community"", ""Kitchen workflow"", ""School ecosystem"", ""Internet grid"", ""Ant colony"", ""Economic market""]",[],"An ecosystem is a complex network of living organisms interacting with each other and their non-living environment, involving interdependence, balance, energy flow, and cycles. To analogize it, I selected 20 familiar concepts that feature interconnected components, mutual dependencies, resource flows, and dynamic balances, such as social systems, mechanical assemblies, or natural communities, each describable in 1-3 words.",success
