target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
Immune System,,Security System,qwen3-14b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Gone with the Wind,,War and Peace,qwen3-32b,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
game,,Chess,qwen3-14b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Deposit Formation,,Sedimentation,meta-llama-3-1-8b-instruct,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
food,,Fuel,gpt-4.1-nano,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Chiral Molecules,,Mirror,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Polymer Synthesis,,Chain,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
slope,,Ramp,gpt-4.1-nano,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Deep Learning,,Brain,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Deep Learning,,Brain,gpt-4.1-nano,targetonly,embedding,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Deep Learning,,Brain,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Ancient Asia,,Cradle of Civilization,qwen3-32b,withsub,baseline,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Group Theory,,Clock arithmetic,grok-4-fast,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
eye,,camera,retrieval-based,baseline2b_name_only,baseline2b_name_only,stage1,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
DNA Sequencing,,Deciphering the Code,retrieval-based,baseline2b_name_only,baseline2b_name_only,stage1,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Historical Research,,Detective investigation,grok-4-fast,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
KNN Algorithm,,Neighborhood,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
The Genetic Code,,Computer Code,retrieval-based,baseline2b_name_only,baseline2b_name_only,stage1,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Sherlock Holmes,,Detective,gpt-4.1-nano,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,all_agree,gpt_gemini,3,3,3,3.0,3,3,3,3.0,3.0,3.0,2.0,2.6667,2.8889
waves,,Ocean waves,qwen3-14b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Egypt,,Mesopotamia,grok-4-fast,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Bill of Rights,,Magna Carta,meta-llama-3-1-8b-instruct,withsub,rerank,stage2_withsub,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Principle of Conservation of Energy,,Pendulum,qwen3-14b,targetonly,baseline,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
Westernization Movement,,Meiji Restoration,grok-4-fast,targetonly,rerank,stage2_targetonly,gpt_gemini,all_agree,gpt_gemini,all_agree,3,3,3,3.0,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.8889
