id,target,gold_source,top_10_sources,llm_selected_sources,reranker_reasoning,gold_rank,status,condition
1,biological clock,clock,"['Biological Evolution', 'clock', 'bacterial mutation', 'Evolution', 'Ecosystem', 'day and night cycle', 'Time Machine', 'Human Body', 'wrinkles', 'life']","['clock', 'day and night cycle', 'Human Body']","To find the best analogous source concepts for the target concept ""biological clock,"" we need to analyze the properties of the target and review each candidate source. The target concept involves changes, states, and adjustments, which suggests we are looking for sources that exhibit similar behaviors or characteristics, preferably from different domains for stronger analogical reasoning.

1. **Biological Evolution**: This concept involves adaptation to the environment and species evolution over biological periods. It shares a common domain (biology) with the target and has some structural correspondence in terms of change over time, but it's more about adaptation than internal regulation or cycles.

2. **Clock**: This is a mechanical or digital device that maintains time, with pointers or displays indicating time's passage. It has a strong structural correspondence with the concept of a biological clock, as both involve the measurement and regulation of time, albeit one is mechanical and the other biological.

3. **Bacterial Mutation**: This involves changes at the genetic level in bacteria, leading to mutations. While it involves change, it's more about random genetic alterations than a regulated or cyclical process.

4. **Evolution**: Similar to biological evolution, this involves change over time but is broad and lacks the specific regulatory or cyclical aspects of a biological clock.

5. **Ecosystem**: This concept is about the interactions between biological species and their environment. While it involves biology and change, it's more about interactions at a larger scale than internal regulation.

6. **Day and Night Cycle**: This natural phenomenon involves cyclical changes between day and night, which has a functional correspondence with the biological clock in terms of cyclical regulation and adjustment to external conditions.

7. **Time Machine**: A hypothetical device for moving through time, which, while involving time, doesn't offer a strong analogy to biological processes or cycles.

8. **Human Body**: Specifically, aspects like metabolism regulation share a domain with the biological clock and involve regulation and adjustment, making it a close analogy in terms of function and structure.

9. **Wrinkles**: A sign of aging, which involves change over time but is more of an outcome of biological processes than a process itself.

10. **Life**: A broad concept involving age, events, and changes, which, while related, is too general for a strong analogy.

Given these considerations, the best analogies for a biological clock, focusing on structural/functional correspondence and preferring far-field analogies where possible, are:

- **Clock**: For its direct functional analogy to the concept of measuring and regulating time.
- **Day and Night Cycle**: For its cyclical nature and the biological clock's adjustment to such external cycles.
- **Human Body (specifically, Human Metabolism Regulation)**: For its close domain and functional analogy to the biological clock's regulatory aspects.",1,success,name_properties
2,Biosphere,Library,"['Ecosystem', 'ecosystem', 'Biological Evolution', 'Circular Economy', 'Desert', 'Greenhouse', 'life', 'Evolution', 'The Real World', 'Skin System']","['Circular Economy', 'Skin System', 'Desert']","To find the best analogous source concepts for the target concept ""Biosphere"", we need to analyze the properties of the biosphere and find candidates that have strong structural or functional correspondence with it, while also being from different domains.

The biosphere is a complex system that encompasses all living organisms and their interactions with the environment. It involves biology, biodiversity, and ecosystems.

Based on this analysis, we can eliminate candidates that are too similar or too narrow in scope, such as ""Ecosystem"", ""ecosystem"", ""Biological Evolution"", and ""Evolution"", as they are all closely related to biology and ecosystems.

We can also eliminate candidates that are too unrelated or too vague, such as ""Desert"", ""Greenhouse"", ""life"", and ""The Real World"", as they do not have a clear connection to the biosphere.

The remaining candidates are ""Circular Economy"" and ""Skin System"". While they may seem unrelated to the biosphere at first glance, they both have interesting analogies with the biosphere. The circular economy can be seen as a system that aims to recycle and reuse resources, much like the biosphere recycles and reuses nutrients and energy. The skin system can be seen as a protective barrier that regulates the interactions between the body and the environment, much like the biosphere regulates the interactions between living organisms and the environment.

However, we still need to select one more candidate to complete our top 3. Upon re-examining the candidates, we notice that ""Desert"" could be seen as a specific type of ecosystem that is part of the biosphere, and its properties such as nutrition, biology, and vitality could be used to make an interesting analogy with the biosphere.",-1,success,name_properties
3,Respiratory system,engine,"['respiration', 'Air handling system', 'Human Body', 'air circulation ducts', 'air filter', 'Australian Parliamentary System', 'the skeletal system', 'lubrication system', 'sound system', 'sounds']","['Air handling system', 'air circulation ducts', 'air filter']","To find the best analogous source concepts for the target concept ""Respiratory system"", we need to analyze the properties of the respiratory system and look for candidates that have similar structural or functional correspondences. The respiratory system is primarily concerned with the exchange of gases, specifically oxygen and carbon dioxide, through the process of breathing, which involves the lungs and breathing muscles.

Given the selection criteria, we prefer candidates that are from different domains (far-field analogies) and can help explain the unfamiliar target concept. Based on this, we can evaluate the candidates:

- ""Air handling system"" shares a functional correspondence with the respiratory system in terms of exchanging and processing air, making it a strong candidate.
- ""air circulation ducts"" has a structural correspondence with the airways in the respiratory system, making it another potential candidate.
- ""air filter"" shares a functional aspect of removing impurities, similar to how the respiratory system filters out dust and other particles from the air we breathe.

These candidates are from different domains and can help explain aspects of the respiratory system through analogy.",-1,success,name_properties
4,Spread of Pathogens,Spread of Fire,"['Spread of Fire', 'Disease', 'Population Movement', 'Crowd', 'bacterial mutation', 'illness', 'Information Flow', 'Diseases', 'air circulation ducts', 'Wave Propagation']","['Spread of Fire', 'Information Flow', 'Wave Propagation']","To find the best analogous source concepts for the target concept ""Spread of Pathogens,"" we need to analyze the properties of the target and review each candidate source for strong structural or functional correspondence, preferring sources from different domains for far-field analogies.

The target concept involves the spread of pathogens within a crowd and the implementation of prevention and control measures. This implies we are looking for source concepts that involve some form of spread or movement that can be controlled or influenced.

1. **Spread of Fire** offers a strong analogy because it involves the uncontrolled spread of fire among combustibles, akin to how pathogens spread among a crowd. Fire fighting methods can be seen as analogous to prevention and control measures for pathogen spread.

2. **Information Flow** provides another good analogy. It involves the transmission of information from a source to a receiver through a medium, which can be likened to the spread of pathogens from one individual to another within a crowd. Understanding how to control or manage information flow can offer insights into managing the spread of pathogens.

3. **Wave Propagation** offers a less direct but still valuable analogy. It involves the spread of waves through a medium, such as water. While not directly related to pathogens, the concept of how something spreads through a medium and how that spread can be influenced or controlled offers a useful analogy for understanding the spread of pathogens in a crowd.

These three candidates are chosen because they offer strong structural or functional correspondences to the target concept from different domains, making them useful for creating far-field analogies that can help explain the spread of pathogens.",1,success,name_properties
5,Gene editing,kirigami,"['bacterial mutation', 'edit', 'Evolution', 'program', 'Computer Code', 'Program Error', 'Printing', 'Gourmet', 'Chemical Reactions', 'natural selection']","['edit', 'Computer Code', 'Printing']","To select the best analogous source concepts for gene editing, we need to analyze the target concept and its properties. Gene editing involves making precise changes to the DNA sequence of an organism, typically using technologies like CRISPR-Cas9. The goal is to find source concepts that are familiar, explain the unfamiliar target, and exhibit strong structural or functional correspondence.

Upon reviewing the candidate sources, we can identify the following top 3 candidates:

1. edit: This source concept shares a similar idea of making changes to an existing entity, in this case, a word or text. The process of revising and contextual connection can be related to the precise changes made in gene editing.
2. Computer Code: This source concept involves writing and modifying code, which can be compared to the editing of genes. The idea of importing and processing code can be analogous to the introduction of new genetic material and its subsequent expression.
3. Printing: This source concept involves creating a physical copy of text or images, which can be related to the creation of a new genetic sequence. The process of proofreading can be compared to the verification of the edited gene.

These source concepts are from different domains, making them suitable for far-field analogies. They also exhibit strong structural or functional correspondence with the target concept of gene editing.",-1,success,name_properties
6,Water Cycle,Circular Economy,"['Wave Propagation', 'Water pipe system', 'Conservation of Water Flow', 'heat transfer', 'tidal phenomena', 'Water Wave Propagation', 'Circular Economy', 'River', 'Skin System', 'Vortex']","['Circular Economy', 'Skin System', 'River']","To select the best analogous source concepts for the Water Cycle, we need to analyze the target concept and its properties, and then review each candidate source and its information. The Water Cycle involves the continuous movement of water on, above, and below the surface of the Earth, which includes processes such as evaporation, condensation, and precipitation.

Based on the selection criteria, we prefer sources that are familiar, have strong structural/functional correspondence with the target, and are from different domains (far-field analogies). With this in mind, we can evaluate each candidate source.

- Wave Propagation and Water Wave Propagation are related to the movement of water, but they focus more on the wave aspect rather than the cyclical process.
- Water pipe system and Conservation of Water Flow are both related to the plumbing system aspect of the Water Cycle, but they are too similar to the target concept and may not provide a unique analogy.
- Heat transfer involves the movement of heat, which is not directly related to the Water Cycle.
- Tidal phenomena and River involve the movement of water, but they are more focused on specific aspects of the Water Cycle rather than the entire process.
- Circular Economy is a concept from a different domain that involves the cyclical process of recycling and reusing resources, which could provide a useful analogy for the Water Cycle.
- Skin System involves the process of maintaining moisture in the skin, which could be seen as a cyclical process similar to the Water Cycle.
- Vortex involves the movement of water in a swirling motion, which is not directly related to the cyclical process of the Water Cycle.

Based on this analysis, the top 3 selected candidates that would make the best analogies for the Water Cycle are:",1,success,name_properties
7,Cell division,the factory's production line,"['bacterial mutation', 'Evolution', 'program', 'A Distributed Computing System', 'wrinkles', 'Circular Economy', 'Factory', 'Healing', 'Disassembly', 'The Helix Bridge']","['Factory', 'Disassembly', 'A Distributed Computing System']","To find the best analogous source concepts for the target concept of ""Cell division"", we need to analyze the properties of cell division and look for sources that share similar characteristics. Cell division involves the replication of DNA, the separation of cell organelles, and the distribution of cytoplasm. We are looking for sources that have similar structural or functional correspondence to these processes.

After reviewing the candidate sources, we can identify the following top 3 candidates:

1. Factory: A factory's production line can be seen as analogous to the process of cell division, where raw materials (DNA) are replicated and assembled into new products (cells). The production process control system can be compared to the cell's regulatory mechanisms that ensure proper division.
2. Disassembly: The disassembly action can be seen as similar to the separation of cell organelles during cell division. Just as components are broken down into smaller parts, cell organelles are separated and distributed to the new cells.
3. A Distributed Computing System: The node in a distributed computing system can be compared to the cell, where information (DNA) is replicated and distributed to other nodes (new cells). The telecommunication center can be seen as analogous to the cell's communication mechanisms that ensure proper coordination during division.

These sources are from different domains (manufacturing, deconstruction, and computing) and provide a good structural and functional correspondence to the target concept of cell division.",1,success,name_properties
8,Origin of Life,Chemical Reactions,"['Evolution', 'life', 'Biological Evolution', 'Desert', 'Ancient Rome', 'bacterial mutation', 'Foundation Series', 'Ecosystem', 'Plants', 'respiration']","['Desert', 'Ecosystem', 'respiration']","To find the best analogous source concepts for the target concept ""Origin of Life,"" we need to analyze the properties of the target and review each candidate source. The target concept involves the emergence of the first living cells, evolution, and natural selection. Therefore, the best analogies should come from domains that can provide insights into these processes, ideally through structural or functional correspondences.

1. **Evolution**: This candidate shares a direct relationship with the target concept, as evolution is a fundamental aspect of how life diversified after its origin. However, it might be too closely related, offering less of an analogy and more of a description of a process involved in the origin of life.

2. **Life**: While broad, this candidate does not offer specific insights into the mechanisms or processes related to the origin of life. It's more of a general term that encompasses the target concept rather than providing an analogy.

3. **Biological Evolution**: Similar to evolution, this candidate is closely related to the processes involved in the diversification of life but does not necessarily provide an analogy to the origin of life itself.

4. **Desert**: This candidate might seem unrelated at first glance, but considering the harsh conditions of a desert and the unique adaptations of desert life, it could serve as a far-field analogy for the conditions under which life might have originated on Earth.

5. **Ancient Rome**: This candidate is from a completely different domain (historical and societal) and does not offer a clear structural or functional correspondence to the origin of life.

6. **Bacterial Mutation**: This process is crucial for understanding evolution and could serve as a near-field analogy for the mechanisms by which early life forms might have diversified and adapted to their environments.

7. **Foundation Series**: While this science fiction series by Isaac Asimov involves themes of empire, society, and prediction, it does not directly relate to biological processes or the origin of life.

8. **Ecosystem**: Understanding ecosystems can provide insights into how life forms interact and how life might have originated within complex systems, making it a potential candidate for analogy.

9. **Plants**: The process of photosynthesis and the life cycle of plants could offer insights into the energy requirements and cycles of early life forms, serving as a potential analogy.

10. **Respiration**: This biological process is fundamental to life as we know it and could serve as a near-field analogy for understanding the energy and metabolic processes of early life forms.

Considering the need for strong structural or functional correspondence and the preference for far-field analogies, the selected sources aim to balance between providing insightful comparisons and coming from diverse domains.",-1,success,name_properties
9,The Genetic Code,The Writing System,"['Computer Code', 'Deciphering the Code', 'bacterial mutation', 'Program Error', 'code', 'The Neural Network of Computers', 'program', 'Evolution', 'The Nervous System', 'Molecular Symmetry']","['Computer Code', 'Deciphering the Code', 'The Neural Network of Computers']","To find the best analogous source concepts for the Genetic Code, we need to analyze the target concept and its properties, and then review each candidate source. The Genetic Code is a set of rules used by living cells to translate information encoded within genetic material (DNA or RNA sequences) into proteins. It involves a sequence of nucleotides that is transcribed into RNA, which is then translated into a protein by a ribosome.

Based on this understanding, we can look for candidate sources that have similar structural or functional properties. We prefer sources from different domains (far-field analogies) that can help explain the unfamiliar target concept.

The candidate sources that show strong correspondence with the Genetic Code are:

1. Computer Code: This source concept has a similar structure to the Genetic Code, involving a set of rules to translate information encoded in a code language into a process. The computer imports the code, processes it, and produces an output, similar to how the ribosome translates RNA into a protein.
2. Deciphering the Code: This source concept involves decoding encrypted information, which is similar to how the Genetic Code is used to translate DNA sequences into proteins. The process of deciphering the code involves understanding the rules and patterns used to encode the information.
3. The Neural Network of Computers: This source concept involves the transmission of data through a network of neurons, similar to how genetic information is transmitted through the nervous system. The CPU processes the data, similar to how the ribosome processes RNA.

These three candidate sources provide a good analogy for the Genetic Code, as they involve similar processes of translation, decoding, and transmission of information.",-1,success,name_properties
10,Ecosystem,Machines,"['Ecosystem', 'ecosystem', 'forest', 'Circular Economy', 'Evolution', 'Skin System', 'Biological Evolution', 'Plants', 'Desert', 'Greenhouse']","['Circular Economy', 'Skin System', 'Greenhouse']","To select the best analogous source concepts for the target concept ""Ecosystem,"" we need to analyze the properties of an ecosystem and find candidates that share similar characteristics but are from different domains. An ecosystem is a complex network of living organisms (plants, animals, and microbes) interacting with each other and their physical environment (such as soil, water, and air). Key aspects include survival, reproduction, and the flow of energy and nutrients.

Given these criteria, we can evaluate the candidates:

1. **Circular Economy**: This concept, while not biological, shares a key feature with ecosystems - the recycling and reuse of resources. This analogy highlights the efficient use of resources and minimization of waste, which is crucial for the survival of both economic systems and natural ecosystems.

2. **Skin System**: Although primarily focused on human skin care, the concept of maintaining moisture and preventing erosion can be seen as analogous to the balance required in ecosystems to support life. This analogy, however, might be considered a bit of a stretch compared to others.

3. **Greenhouse**: A greenhouse, with its controlled environment designed to support plant life by managing sunlight and temperature, can be seen as a microcosm of an ecosystem. It shares the aspect of providing a specific condition for survival and reproduction, albeit on a much smaller scale.

The other candidates either are too similar to the target concept (e.g., ecosystem, biological evolution) and thus do not provide a useful analogy from a different domain, or they lack strong structural or functional correspondence (e.g., desert, plants).",-1,success,name_properties
