model,setting,row_index,error,unfamiliar_concept,familiar_concept,description_unfamiliar,description_familiar,properties_unfamiliar,properties_familiar,explanation_list,result,reasoning,sbert_similarity,evaluation_type
gpt-oss-20b,unpaired_properties,0,,biological clock,clock,"The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.","A clock, also known as a timepiece, is a device used to measure and indicate time. From sun dials to water clocks, clocks have evolved over millennia. The invention of the verge escapement led to the development of mechanical clocks, and the pendulum clock improved their accuracy during the 17th century. The importance of precise timekeeping for navigation further stimulated clock innovation. Today, clocks come in many forms including analog clocks with moving hands, digital clocks with electronic mechanisms and numeric displays, and speaking clocks for the visually impaired. Despite the many forms that clocks can take, they all have a harmonic oscillator that serves as the timekeeping element, and they all require maintenance to continue functioning properly.","['changes', 'state', 'adjust']","['pointer', 'time', 'maintain']","['Changes correspond to pointers: In the biological clock, physiological changes are biological processes that occur over time, such as hormone secretion and changes in body temperature. In a clock, the pointer is the physical component used to indicate changes in time. Both represent changes that occur over time.', 'Physiological state corresponds to time points: The physiological state in the biological clock can represent the state of a living organism at a specific time, such as morning, daytime, or nighttime. The time points in a clock directly represent specific moments, such as 10:00 AM or 3:00 PM. Here, physiological state and time points are both used to describe the situation at a particular moment.', 'Adjustment corresponds to maintenance: The biological clock needs adjustment to maintain the normal physiological function of a living organism, such as adjusting the response to environmental factors like light and temperature. Similarly, a clock needs maintenance to ensure its normal operation, such as adjusting the pointer or replacing batteries. In this mapping, adjustment and maintenance both represent optimization and maintenance of the operating system to ensure normal operation.']","The biological clock's changes, which represent shifts in its internal phase, are analogous to the clock's pointer that moves to indicate transition between hours. The biological clock's state, reflecting its position within a circadian cycle, corresponds to the clock's time, denoting a specific moment in the cycle. The biological clock's adjust function, where it synchronizes to external cues, parallels the clock's maintain action that keeps it accurate and consistent.","The unfamiliar concept is a biological clock, which undergoes phase changes, exists in a particular state, and can be adjusted by environmental cues.  
The familiar concept is a mechanical clock, whose pointer displays time, which is maintained by its internal mechanisms.  
By pairing each property of the biological clock with a similar property of the mechanical clock, we can construct an analogy.  

The mapping chosen is:  
- “changes” ↔ “pointer” (the pointer moves to show changes in time)  
- “state” ↔ “time”   (the clock’s time corresponds to the biological state of the organism)  
- “adjust” ↔ “maintain” (the clock’s maintenance keeps it accurate, analogous to adjusting the biological clock).  

This creates a coherent comparison highlighting how each aspect of the biological clock can be related to a corresponding part of a familiar clock.",0.8239450454711914,string_to_string
gpt-oss-20b,unpaired_properties,1,,Biosphere,Library,"The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.","A library is much more than a building full of books. It is a collection of physical and digital resources accessible to the public for use and not just display. The materials found in a library can come in many forms, including books, DVDs, CDs and cassettes, and even bibliographic databases. Libraries can be organized and maintained by a variety of entities such as a government, school, museum, corporation or private individual. Libraries provide access to materials and information as well as the services of trained librarians who assist with finding, selecting, circulating and organizing information. They also offer a variety of spaces for studying, collaborating and accessing electronic resources like computers and the Internet. Libraries serve various types of communities, offering tailored services to fit their needs. Additionally, libraries are more than just buildings, they provide material that is accessible electronically, extending their services beyond the physical walls.","['biology', 'biodiversity', 'ecosystem']","['books', 'Book Type', 'library room']","[""Biology corresponds to books: In the biosphere, organisms are the basic units that make up the ecosystem, and various organisms together form a complex biological network. Similarly, in a library, books are carriers of knowledge and collectively form the library's knowledge system. In this analogy, both biology and books are basic components of their respective systems."", 'Biodiversity corresponds to book types: Biodiversity refers to the richness of the variety of species in the biosphere, which helps maintain the balance and stability of the ecosystem. In a library, book types represent the various fields of knowledge collected in the library, which helps to meet the needs of different readers. In this analogy, biodiversity and book types both represent the richness and diversity of their respective systems.', 'Ecosystem corresponds to library rooms: The ecosystem in the biosphere is formed by the interaction of different organisms, and these ecosystems are interconnected, interdependent, and together maintain the balance of the biosphere. In a library, rooms are laid out according to different classifications and themes, which helps readers to better find and use relevant resources. In this analogy, the ecosystem and library rooms both represent interrelated subsystems in their respective fields.']","In a biosphere, 'biology' is the study of life processes, just as 'books' are the content that convey knowledge and narratives within a library. 'Biodiversity' reflects the wide variety of species and ecological interactions, mirroring the library's 'book type' which offers diverse categories and genres for a range of readers. 'Ecosystem' denotes an interconnected community where organisms interact, analogous to a 'library room' where books, patrons, and staff interact, creating a dynamic environment.","The unknown concept ""Biosphere"" has key properties that can each be matched with a familiar library property in order to illustrate a clear analogy: biology ↔ books (content), biodiversity ↔ book type (variety), and ecosystem ↔ library room (interactive space).",0.8765761852264404,string_to_string
gpt-oss-20b,unpaired_properties,2,,Respiratory system,engine,"The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.","An engine or motor is a machine that transforms energy into mechanical energy for various applications. It can convert different energy sources, including potential energy, heat energy, chemical energy, electric potential, and nuclear energy, to generate motion.  Heat engines that convert heat into work are commonly used in transportation and industrial processes. One common example is the internal combustion engine, which rapidly pressurizes the gaseous combustion products in the combustion chamber to produce motion. Other types of engines include reaction engines, electric motors, pneumatic motors, and biological systems. Chemical heat engines, also known as airbreathing engines, use ambient atmospheric gas as a part of the fuel reaction to generate motion. These engines can operate outside of the Earth's atmosphere but may require additional fuel components such as oxidizers. The engine comprises a fuel source, a combustion chamber, and a piston, among other components.","['oxygen', 'the lungs', 'breathing muscles']","['fuel', 'combustion chamber', 'piston']","['Oxygen corresponds to fuel: In the respiratory system, oxygen is an essential element for sustaining life and participates in the energy-generating process within the organism. In an engine, fuel (such as gasoline, diesel, etc.) is the energy source required for its operation. In this mapping, both oxygen and fuel are critical factors in energy generation within their respective systems.', 'Lungs correspond to the combustion chamber: In the respiratory system, the lungs are responsible for the exchange of oxygen and carbon dioxide, providing oxygen to the organism and expelling waste gases. In an engine, the combustion chamber is where fuel and oxygen mix and burn, releasing energy to drive the engine. In this mapping, the lungs and combustion chamber are the places where gas exchange and energy release occur within their respective systems.', 'Breathing muscles correspond to the piston: In the respiratory system, breathing muscles (such as the diaphragm and intercostal muscles) control the flow of gas into and out of the lungs through contraction and relaxation, enabling the process of breathing. In an engine, the piston converts the energy produced within the combustion chamber into mechanical energy, driving other parts of the engine. In this mapping, both breathing muscles and the piston are crucial components for gas flow and energy conversion within their respective systems.']","oxygen ↔ fuel: both are the essential resource required for the system’s function, providing the necessary material to create work. lungs ↔ combustion chamber: the lungs collect and mix air with blood (preparing oxygen for use), just as a combustion chamber collects and mixes fuel and air for ignition. breathing muscles ↔ piston: inhalation and exhalation are driven by muscular contractions that move air in and out, analogous to pistons creating pressure changes that move the engine’s cycle.","Analogies work by matching structural or functional similarities between two domains. In this case, the respiratory system’s key components serve to acquire, process, and transport oxygen to the body, much as an engine’s components work together to intake fuel, ignite it, and convert the resulting energy into mechanical work. By mapping: oxygen ↔ fuel (both essential resources), lungs ↔ combustion chamber (both sites where the resource is prepared and used), and breathing muscles ↔ piston (both provide the force and motion that drive the process), we create a coherent analogy that highlights the roles and relationships of each part in a familiar context.",0.8752843737602234,string_to_string
gpt-oss-20b,unpaired_properties,3,,Spread of Pathogens,Spread of Fire,"The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.","Fire is a natural process that is essential for maintaining ecological systems, but when it becomes out of control, it can cause significant damage. Fire occurs when a material undergoes rapid oxidation during combustion, releasing heat, light, and reaction products. Flames are produced at a certain point in the combustion reaction, which is known as ignition point. The color and intensity of the flame will vary depending on the substances alight and any impurities outside. In its most common form, fire can result in conflagration, which can cause damage to life and property. Fire can also cause atmospheric pollution and water contamination. However, fire also has some positive effects, such as stimulating growth and maintaining ecological systems. Fire has been used by humans for various purposes such as rituals, in agriculture for clearing land, cooking, generating heat and light, propulsion purposes, smelting, forging, incineration of waste, cremation, and as a weapon or mode of destruction. Fire fighting methods are crucial to control the spread of fire, especially in hazardous situations.","['pathogen', 'crowd', 'Prevention and control measures']","['fire', 'combustibles', 'Fire fighting methods']","['Pathogens correspond to fire: in the transmission of pathogens, pathogens (such as viruses and bacteria) are the causes of diseases that spread and cause health problems among people. In the spread of fires, fire is the element that ignites fires, spreading among combustibles and causing property damage and endangering lives. In this mapping, both pathogens and fire are the core factors of transmission and propagation in their respective systems.', 'Crowds correspond to combustibles: in the transmission of pathogens, crowds are the main channel for the spread of pathogens, which spread through contact and airborne droplets among people. In the spread of fires, combustibles (such as wood, paper, chemicals, etc.) are the key factors that allow fire to spread, as fire ignites combustibles to expand the blaze. In this mapping, both crowds and combustibles are the main channels and carriers of transmission and propagation in their respective systems.', 'Prevention and control measures correspond to fire fighting methods: in the transmission of pathogens, prevention and control measures (such as wearing masks, keeping social distance, vaccination, etc.) aim to slow down the speed and scope of pathogen transmission and reduce the impact of epidemics. In the spread of fires, fire fighting methods (such as fire extinguishers, firefighting equipment, fire brigades, etc.) are used to control the spread of fire, reducing the damage caused by fires. In this mapping, both prevention and control measures and fire fighting methods are means used in their respective systems to control and respond to transmission and propagation.']","A pathogen, like a fire, is the element that initiates the spreading process and can evolve, mutate, or burn out over time. A crowd, analogous to combustibles, provides the medium that sustains and accelerates transmission, much as fuel does for fire propagation. Prevention and control measures correspond to fire‑fighting methods, both designed to interrupt, contain, and ultimately extinguish the spread to protect the vulnerable environment.","To build a meaningful analogy, each key property of the unfamiliar concept “Spread of Pathogens” is aligned with a comparable property in the familiar concept “Spread of Fire.” This alignment is chosen to preserve structural and functional similarities: a pathogen behaves like a fire, a crowd of people acts like combustibles that fuel spread, and prevention/control measures for disease mirror fire‑fighting methods. By mapping each pair, the explanation highlights how the dynamics of both systems are analogous.",0.8855170011520386,string_to_string
gpt-oss-20b,unpaired_properties,4,,Gene editing,kirigami,"Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.","Kirigami is a fascinating art form that originated from Japan, derived from the traditional origami. Unlike origami, kirigami involves the use of scissors in addition to folding paper to create intricate 3D designs that rise from the page. The art form involves cutting and folding paper into various shapes and sizes to create beautiful and intricate paper-cut works. The raw material used in kirigami is simply paper, which can then be transformed into stunning pieces of art with just a few simple cuts and folds. From animals to buildings and even plants, kirigami can be used to create almost anything. Using just a pair of scissors and some paper, you can unleash your artistic side and create beautiful and intricate works of art through the fascinating art form of kirigami.","['Gene', 'CRISPR-Cas9 Technology', 'edited gene']","['raw material', 'Scissors', 'Paper-cut works']","['Gene corresponds to raw materials: in gene editing, genes are the objects being edited and modified , and they contain the genetic information of organisms. In paper-cut works, raw materials (such as paper) are the substances being cut and shaped to make paper-cut works. In this analogy, genes and raw materials are both the core objects being manipulated and changed in their respective systems.', 'CRISPR-Cas9 technology corresponds to scissors: in gene editing, CRISPR-Cas9 technology is a tool used for precise editing of genes, which can achieve the addition, deletion or modification of specific gene fragments. In paper-cut works, scissors are used to cut paper and shape the form of paper-cut works. In this analogy, CRISPR-Cas9 technology and scissors are both the key tools used for implementation and change in their respective systems.', 'Edited genes correspond to paper-cut works: in gene editing process, edited genes are the products that have been changed, and they have new characteristics and functions that may affect the traits of organisms. While in paper-cut process, paper-cut works are the results of cutting and shaping, having unique shapes and beauty. In this analogy, edited genes and paper-cut works are both the final products after implementation and change in their respective systems.']","Gene is analogous to raw material because both serve as the foundational substrate that can be transformed. CRISPR‑Cas9 Technology corresponds to Scissors as the precise tool that makes the edits or cuts. Edited gene is analogous to Paper‑cut works as the final, altered product resulting from the editing process.","Gene editing is structurally similar to kirigami: both involve a foundational element (gene/raw material) that is altered using a precise tool (CRISPR‑Cas9/Scissors), producing a transformed result (edited gene/Paper‑cut work). Mapping these properties preserves the item‑→‑tool‑→‑output sequence inherent in both concepts.",0.9326905012130737,string_to_string
gpt-oss-120b,unpaired_properties,0,,biological clock,clock,"The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.","A clock, also known as a timepiece, is a device used to measure and indicate time. From sun dials to water clocks, clocks have evolved over millennia. The invention of the verge escapement led to the development of mechanical clocks, and the pendulum clock improved their accuracy during the 17th century. The importance of precise timekeeping for navigation further stimulated clock innovation. Today, clocks come in many forms including analog clocks with moving hands, digital clocks with electronic mechanisms and numeric displays, and speaking clocks for the visually impaired. Despite the many forms that clocks can take, they all have a harmonic oscillator that serves as the timekeeping element, and they all require maintenance to continue functioning properly.","['changes', 'state', 'adjust']","['pointer', 'time', 'maintain']","['Changes correspond to pointers: In the biological clock, physiological changes are biological processes that occur over time, such as hormone secretion and changes in body temperature. In a clock, the pointer is the physical component used to indicate changes in time. Both represent changes that occur over time.', 'Physiological state corresponds to time points: The physiological state in the biological clock can represent the state of a living organism at a specific time, such as morning, daytime, or nighttime. The time points in a clock directly represent specific moments, such as 10:00 AM or 3:00 PM. Here, physiological state and time points are both used to describe the situation at a particular moment.', 'Adjustment corresponds to maintenance: The biological clock needs adjustment to maintain the normal physiological function of a living organism, such as adjusting the response to environmental factors like light and temperature. Similarly, a clock needs maintenance to ensure its normal operation, such as adjusting the pointer or replacing batteries. In this mapping, adjustment and maintenance both represent optimization and maintenance of the operating system to ensure normal operation.']","changes ↔ time: Just as a clock’s hands continuously move to indicate the passage of time, the biological clock undergoes continual changes that mark physiological cycles such as circadian rhythms. state ↔ pointer: The pointer on a clock shows the current position or state of time. Similarly, the biological clock reflects the organism’s current internal state, signaling when certain hormonal or behavioral processes should occur. adjust ↔ maintain: A clock must be regularly calibrated or maintained to keep accurate time. In the same way, the biological clock must be adjusted—through cues like light or temperature—to maintain proper timing of bodily functions.","The unfamiliar concept “biological clock” can be understood by comparing its key properties—changes, state, and adjust—to the familiar concept “clock,” which is characterized by pointer, time, and maintain. By pairing each property of the biological clock with a corresponding property of a regular clock, we can draw analogies that illuminate how the biological clock functions in a way that is intuitively familiar.",0.8909011483192444,string_to_string
gpt-oss-120b,unpaired_properties,1,,Biosphere,Library,"The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.","A library is much more than a building full of books. It is a collection of physical and digital resources accessible to the public for use and not just display. The materials found in a library can come in many forms, including books, DVDs, CDs and cassettes, and even bibliographic databases. Libraries can be organized and maintained by a variety of entities such as a government, school, museum, corporation or private individual. Libraries provide access to materials and information as well as the services of trained librarians who assist with finding, selecting, circulating and organizing information. They also offer a variety of spaces for studying, collaborating and accessing electronic resources like computers and the Internet. Libraries serve various types of communities, offering tailored services to fit their needs. Additionally, libraries are more than just buildings, they provide material that is accessible electronically, extending their services beyond the physical walls.","['biology', 'biodiversity', 'ecosystem']","['books', 'Book Type', 'library room']","[""Biology corresponds to books: In the biosphere, organisms are the basic units that make up the ecosystem, and various organisms together form a complex biological network. Similarly, in a library, books are carriers of knowledge and collectively form the library's knowledge system. In this analogy, both biology and books are basic components of their respective systems."", 'Biodiversity corresponds to book types: Biodiversity refers to the richness of the variety of species in the biosphere, which helps maintain the balance and stability of the ecosystem. In a library, book types represent the various fields of knowledge collected in the library, which helps to meet the needs of different readers. In this analogy, biodiversity and book types both represent the richness and diversity of their respective systems.', 'Ecosystem corresponds to library rooms: The ecosystem in the biosphere is formed by the interaction of different organisms, and these ecosystems are interconnected, interdependent, and together maintain the balance of the biosphere. In a library, rooms are laid out according to different classifications and themes, which helps readers to better find and use relevant resources. In this analogy, the ecosystem and library rooms both represent interrelated subsystems in their respective fields.']","Just as biology is the fundamental subject that fills the biosphere, books are the fundamental items that fill a library. Biodiversity, the variety of life forms in the biosphere, is analogous to the different book types or genres that provide variety within a library. An ecosystem, where organisms interact within a space, parallels a library room, where books and patrons interact within a designated area.","To create an effective analogy, each key property of the unfamiliar concept (the biosphere) is paired with a comparable property of the familiar concept (a library). By matching the core content, the diversity, and the spatial organization of the two systems, we can highlight how the biosphere functions in a way that is conceptually similar to a library’s structure and purpose. This alignment helps the learner transfer understanding from the well‑known library to the less familiar biosphere.",0.8616509437561035,string_to_string
gpt-oss-120b,unpaired_properties,2,,Respiratory system,engine,"The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.","An engine or motor is a machine that transforms energy into mechanical energy for various applications. It can convert different energy sources, including potential energy, heat energy, chemical energy, electric potential, and nuclear energy, to generate motion.  Heat engines that convert heat into work are commonly used in transportation and industrial processes. One common example is the internal combustion engine, which rapidly pressurizes the gaseous combustion products in the combustion chamber to produce motion. Other types of engines include reaction engines, electric motors, pneumatic motors, and biological systems. Chemical heat engines, also known as airbreathing engines, use ambient atmospheric gas as a part of the fuel reaction to generate motion. These engines can operate outside of the Earth's atmosphere but may require additional fuel components such as oxidizers. The engine comprises a fuel source, a combustion chamber, and a piston, among other components.","['oxygen', 'the lungs', 'breathing muscles']","['fuel', 'combustion chamber', 'piston']","['Oxygen corresponds to fuel: In the respiratory system, oxygen is an essential element for sustaining life and participates in the energy-generating process within the organism. In an engine, fuel (such as gasoline, diesel, etc.) is the energy source required for its operation. In this mapping, both oxygen and fuel are critical factors in energy generation within their respective systems.', 'Lungs correspond to the combustion chamber: In the respiratory system, the lungs are responsible for the exchange of oxygen and carbon dioxide, providing oxygen to the organism and expelling waste gases. In an engine, the combustion chamber is where fuel and oxygen mix and burn, releasing energy to drive the engine. In this mapping, the lungs and combustion chamber are the places where gas exchange and energy release occur within their respective systems.', 'Breathing muscles correspond to the piston: In the respiratory system, breathing muscles (such as the diaphragm and intercostal muscles) control the flow of gas into and out of the lungs through contraction and relaxation, enabling the process of breathing. In an engine, the piston converts the energy produced within the combustion chamber into mechanical energy, driving other parts of the engine. In this mapping, both breathing muscles and the piston are crucial components for gas flow and energy conversion within their respective systems.']","Oxygen : Fuel – Both are the essential source of energy; oxygen provides the chemical energy for cellular processes just as fuel provides chemical energy for an engine. The lungs : Combustion chamber – The lungs are where gas exchange occurs, akin to a combustion chamber where fuel mixes with oxygen and energy is released. Breathing muscles : Piston – Breathing muscles expand and contract to draw air in and push it out, similar to pistons moving back and forth to transfer energy generated in the combustion chamber.","The respiratory system supplies oxygen to the body, processes it in the lungs, and uses breathing muscles to move air—functions that parallel how an engine uses fuel, combusts it in a chamber, and employs pistons to convert the energy into motion.",0.85254967212677,string_to_string
gpt-oss-120b,unpaired_properties,3,,Spread of Pathogens,Spread of Fire,"The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.","Fire is a natural process that is essential for maintaining ecological systems, but when it becomes out of control, it can cause significant damage. Fire occurs when a material undergoes rapid oxidation during combustion, releasing heat, light, and reaction products. Flames are produced at a certain point in the combustion reaction, which is known as ignition point. The color and intensity of the flame will vary depending on the substances alight and any impurities outside. In its most common form, fire can result in conflagration, which can cause damage to life and property. Fire can also cause atmospheric pollution and water contamination. However, fire also has some positive effects, such as stimulating growth and maintaining ecological systems. Fire has been used by humans for various purposes such as rituals, in agriculture for clearing land, cooking, generating heat and light, propulsion purposes, smelting, forging, incineration of waste, cremation, and as a weapon or mode of destruction. Fire fighting methods are crucial to control the spread of fire, especially in hazardous situations.","['pathogen', 'crowd', 'Prevention and control measures']","['fire', 'combustibles', 'Fire fighting methods']","['Pathogens correspond to fire: in the transmission of pathogens, pathogens (such as viruses and bacteria) are the causes of diseases that spread and cause health problems among people. In the spread of fires, fire is the element that ignites fires, spreading among combustibles and causing property damage and endangering lives. In this mapping, both pathogens and fire are the core factors of transmission and propagation in their respective systems.', 'Crowds correspond to combustibles: in the transmission of pathogens, crowds are the main channel for the spread of pathogens, which spread through contact and airborne droplets among people. In the spread of fires, combustibles (such as wood, paper, chemicals, etc.) are the key factors that allow fire to spread, as fire ignites combustibles to expand the blaze. In this mapping, both crowds and combustibles are the main channels and carriers of transmission and propagation in their respective systems.', 'Prevention and control measures correspond to fire fighting methods: in the transmission of pathogens, prevention and control measures (such as wearing masks, keeping social distance, vaccination, etc.) aim to slow down the speed and scope of pathogen transmission and reduce the impact of epidemics. In the spread of fires, fire fighting methods (such as fire extinguishers, firefighting equipment, fire brigades, etc.) are used to control the spread of fire, reducing the damage caused by fires. In this mapping, both prevention and control measures and fire fighting methods are means used in their respective systems to control and respond to transmission and propagation.']","Pathogen ↔ Fire: Both are the active agents that initiate the spread—pathogens cause infection just as fire initiates combustion. Crowd ↔ Combustibles: A crowd provides the dense, susceptible medium that allows a pathogen to move through a population, similar to how combustible materials provide fuel that lets fire propagate. Prevention and control measures ↔ Fire‑fighting methods: Strategies such as vaccination, quarantine, and hygiene act like fire‑fighting techniques (e.g., water, firebreaks) that interrupt transmission and extinguish the spread.","The analogy maps each key property of the spread of pathogens to a corresponding property of fire spread. By aligning “pathogen” with “fire”, “crowd” with “combustibles”, and “prevention and control measures” with “fire‑fighting methods”, we can illustrate how the dynamics of disease transmission mirror the dynamics of a fire, making the unfamiliar concept easier to grasp.",0.9039754271507263,string_to_string
gpt-oss-120b,unpaired_properties,4,,Gene editing,kirigami,"Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.","Kirigami is a fascinating art form that originated from Japan, derived from the traditional origami. Unlike origami, kirigami involves the use of scissors in addition to folding paper to create intricate 3D designs that rise from the page. The art form involves cutting and folding paper into various shapes and sizes to create beautiful and intricate paper-cut works. The raw material used in kirigami is simply paper, which can then be transformed into stunning pieces of art with just a few simple cuts and folds. From animals to buildings and even plants, kirigami can be used to create almost anything. Using just a pair of scissors and some paper, you can unleash your artistic side and create beautiful and intricate works of art through the fascinating art form of kirigami.","['Gene', 'CRISPR-Cas9 Technology', 'edited gene']","['raw material', 'Scissors', 'Paper-cut works']","['Gene corresponds to raw materials: in gene editing, genes are the objects being edited and modified , and they contain the genetic information of organisms. In paper-cut works, raw materials (such as paper) are the substances being cut and shaped to make paper-cut works. In this analogy, genes and raw materials are both the core objects being manipulated and changed in their respective systems.', 'CRISPR-Cas9 technology corresponds to scissors: in gene editing, CRISPR-Cas9 technology is a tool used for precise editing of genes, which can achieve the addition, deletion or modification of specific gene fragments. In paper-cut works, scissors are used to cut paper and shape the form of paper-cut works. In this analogy, CRISPR-Cas9 technology and scissors are both the key tools used for implementation and change in their respective systems.', 'Edited genes correspond to paper-cut works: in gene editing process, edited genes are the products that have been changed, and they have new characteristics and functions that may affect the traits of organisms. While in paper-cut process, paper-cut works are the results of cutting and shaping, having unique shapes and beauty. In this analogy, edited genes and paper-cut works are both the final products after implementation and change in their respective systems.']","Gene ↔ raw material: Just as paper serves as the raw material that kirigami manipulates, a gene is the fundamental biological material that gene editing targets. CRISPR‑Cas9 Technology ↔ Scissors: CRISPR‑Cas9 functions like scissors in kirigami, providing a precise tool that cuts specific sections of DNA, analogous to how scissors cut paper along defined lines. Edited gene ↔ Paper‑cut works: The result of gene editing—a modified or edited gene—parallels the finished paper‑cut artwork created after kirigami’s cutting process.","Gene editing can be understood by comparing it to the art of kirigami. In both processes, a base material is taken (genes or paper), a precise cutting tool is employed (CRISPR‑Cas9 or scissors), and the outcome is a modified structure (an edited gene or a paper‑cut design). This step‑by‑step parallel helps illustrate how gene editing works by mapping each key property of the unfamiliar concept to a familiar element in kirigami.",0.7868154644966125,string_to_string
