id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
1,biological clock,clock,clock,1,"['clock', 'Human Body', 'Biological Evolution', 'day and night cycle', 'life', 'time', 'The Brain', 'pendulum motion', 'How the Human Brain Works', 'The Nervous System', 'Evolution', 'bacterial mutation', 'mind', 'Diseases', 'natural selection', 'Ecosystem', 'Heart', 'tidal phenomena', 'the skeletal system', 'Skin System']","[0.506609998445622, 0.5064217320211002, 0.5039476035579039, 0.4860075185397742, 0.4712417309440826, 0.4381444861784245, 0.4104722600162056, 0.39953065364987517, 0.39558331419609777, 0.39292900800909614, 0.3704010501671438, 0.36695559817367196, 0.3666169541988432, 0.36253833686763415, 0.3602081297381015, 0.3587595272817096, 0.355053434847228, 0.3548966419713221, 0.35278067916222766, 0.34783807711015674]"
2,Biosphere,Library,Ecosystem,-1,"['Ecosystem', 'ecosystem', 'forest', 'life', 'planet', 'Plants', 'Biological Evolution', 'Skin System', 'society', 'Human Body', 'Circular Economy', 'universe', 'The Nervous System', 'sponge', 'Urban Evolution', 'respiration', 'day and night cycle', 'The Brain', 'Buildings', 'Desert']","[0.6043938305292271, 0.586026676505272, 0.4849135447851549, 0.46503589255474526, 0.45793636936466325, 0.42971024099305394, 0.42920994695435255, 0.3976684052771584, 0.3864226241885357, 0.37997228632048463, 0.37641111090028234, 0.3759542514135351, 0.3733576641809643, 0.3473230562621532, 0.34356165970838404, 0.34117994878386837, 0.3346125341857149, 0.33312576872853006, 0.3256830637961833, 0.32229588878680104]"
3,Respiratory system,engine,respiration,16,"['respiration', 'Human Body', 'Plants', 'The Nervous System', 'air circulation ducts', 'Air handling system', 'Skin System', 'air filter', 'sponge', 'Burning Energy', 'The Brain', 'life', 'Heart', 'Desert', 'the skeletal system', 'engine', 'River', 'Tree', 'Ecosystem', 'Machines']","[0.6417461867630783, 0.4796879725192035, 0.4664744001093682, 0.4330254491280516, 0.4325982254753311, 0.4259785445687634, 0.42512175583167555, 0.41507051098636066, 0.40685617188209827, 0.39914779752490237, 0.39677896421882297, 0.387830603662501, 0.3867416389360302, 0.3718701190425801, 0.3678185997553081, 0.36477535979022546, 0.3610880735990849, 0.3594494659466356, 0.35693985747286955, 0.35417430983090725]"
4,Spread of Pathogens,Spread of Fire,Diseases,3,"['Diseases', 'illness', 'Spread of Fire', 'Disease', 'Vehicle Traffic', 'bacterial mutation', 'Program Error', 'wound', 'Group Behavior', 'Population Movement', 'Crowd', 'Transportation Systems', 'poverty', 'the cleaners', 'Urban Entropy Increase', 'Air handling system', 'The War Against Japan', 'Sun Protection', 'Urban Evolution', 'Healing']","[0.36489353783671147, 0.3592202494470387, 0.34765985159262686, 0.33029484981644164, 0.3173280416454519, 0.30285618221624866, 0.28558132046959767, 0.28038582039947035, 0.2674374052914322, 0.2655005933775198, 0.255132138339719, 0.2478753655735394, 0.24661271338252044, 0.24067566438463073, 0.238162592099966, 0.23706310103113365, 0.22261370246027293, 0.2224017642013244, 0.22088306177819625, 0.22084064022888056]"
5,Gene editing,kirigami,edit,-1,"['edit', 'bacterial mutation', 'Evolution', 'natural selection', 'Urban Evolution', 'Biological Evolution', 'research', 'code', 'Greenhouse', 'Deciphering the Code', 'Program Error', 'innovation', 'Robotic Movement', 'Drug Treatment', 'program', 'Cooking', 'Chemical Reactions', 'Diseases', 'Power Generation', 'education']","[0.4547090649280044, 0.45336644691305245, 0.40206528392312446, 0.3829020075204554, 0.3710907398080091, 0.3678082347857105, 0.3224024645409965, 0.3178847189422347, 0.31404783797940344, 0.3066857164461474, 0.3049480845752261, 0.3045714306537267, 0.29822149386590846, 0.2923234571419025, 0.2877429366163987, 0.28761049322990484, 0.2873892957841766, 0.2852572900890262, 0.2811424760176796, 0.2810834147578657]"
6,Water Cycle,Circular Economy,River,10,"['River', 'Conservation of Water Flow', 'day and night cycle', 'heat transfer', 'Ecosystem', 'Water Wave Propagation', 'ecosystem', 'Human Body', 'Wave Propagation', 'Circular Economy', 'tidal phenomena', 'Water pipe system', 'life', 'Circuits', 'Vortex', 'respiration', 'heat', 'Plants', 'Skin System', 'Desert']","[0.5195822048001717, 0.5175572622137368, 0.5010614275414368, 0.4681216716422787, 0.44686123904290675, 0.4342574876324817, 0.4320399069349159, 0.4235058699077458, 0.41115517787215317, 0.4080505105595008, 0.4059871054675006, 0.3860311358308103, 0.37375479537672024, 0.3701977486503429, 0.3655096762866561, 0.3648233966991017, 0.3636017760484984, 0.3580428085056928, 0.35431626621454854, 0.3507843228168725]"
7,Cell division,the factory's production line,life,-1,"['life', 'bacterial mutation', 'Biological Evolution', 'Evolution', 'Human Body', 'Plants', 'Diseases', 'respiration', 'natural selection', 'Healing', 'The Brain', 'Chemical Reactions', 'The Nervous System', 'Disease', 'How the Human Brain Works', 'code', 'Ecosystem', 'Molecular Symmetry', 'Burning Energy', 'Families']","[0.444756053121713, 0.42589263625556395, 0.4216607505312773, 0.4133732207703741, 0.409033434803418, 0.39683522619067224, 0.38280051871798676, 0.3750724635546904, 0.36928427647996737, 0.36437304258186926, 0.3473542792225894, 0.3376871043032409, 0.3347557606525827, 0.3319050407941261, 0.32937947054549155, 0.3284638141211261, 0.3284572439613531, 0.32316888691591694, 0.31753673765577944, 0.3123069555286788]"
8,Origin of Life,Chemical Reactions,life,9,"['life', 'Biological Evolution', 'Evolution', 'natural selection', 'bacterial mutation', 'Burning Energy', 'Plants', 'planet', 'Chemical Reactions', 'universe', 'Urban Evolution', 'ideas', 'Cooking', 'Archeology', 'respiration', 'Ancient Western Asia', 'engine', 'human', 'Human Body', 'atom']","[0.6136919290364617, 0.5455636832461227, 0.4355739026093011, 0.4184152876465544, 0.38914430880219725, 0.38018012257785955, 0.3708460730882075, 0.36272287645355955, 0.33890735128128274, 0.3333661564284198, 0.3325683779092665, 0.3273054017022206, 0.31801927272121927, 0.31623052594213513, 0.3155910368804945, 0.3116933923666183, 0.3065325320144677, 0.305614737381535, 0.30076303428879814, 0.29712332747559533]"
9,The Genetic Code,The Writing System,code,14,"['code', 'Deciphering the Code', 'Computer Code', 'bacterial mutation', 'life', 'The Nervous System', 'Evolution', 'The Brain', 'Human Body', 'CPU', 'Biological Evolution', 'natural selection', 'Translation', 'The Writing System', 'program', 'the skeletal system', 'signal', 'Information Flow', 'Chemical Reactions', 'How the Human Brain Works']","[0.5337645510512601, 0.49109774624435104, 0.468121862128802, 0.3833260584188091, 0.37067381384296816, 0.337820886157951, 0.33318269960409064, 0.3284508905863833, 0.3242982901535315, 0.32316000722999505, 0.3221238721140347, 0.317184427953041, 0.2887053844433836, 0.28791424413468747, 0.28437434649531734, 0.2817768336430543, 0.2774886673423323, 0.2753726459033441, 0.27508221017969825, 0.2741510920236547]"
10,Ecosystem,Machines,Ecosystem,-1,"['Ecosystem', 'ecosystem', 'Plants', 'forest', 'Circular Economy', 'life', 'Human Body', 'Skin System', 'respiration', 'society', 'Urban Evolution', 'River', 'Buildings', 'Biological Evolution', 'the cleaners', 'Supply Chain', 'City', 'Desert', 'The Nervous System', 'Spread of Fire']","[0.8829512204646908, 0.8503812809534617, 0.5029422544099516, 0.4762355488419096, 0.4483496215585197, 0.4303767608567387, 0.429058696839182, 0.4222308284723346, 0.4148451705886965, 0.4106298864482556, 0.4044634733660762, 0.39260776592246965, 0.3910710047254653, 0.3873880974476609, 0.3860891509647194, 0.3785268850875995, 0.3732163900061105, 0.37132525958262186, 0.37128671261377805, 0.36744679318824824]"
