id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
1,biological clock,clock,Human Body,2,"['Human Body', 'clock', 'Biological Evolution', 'day and night cycle', 'life', 'time', 'The Brain', 'pendulum motion', 'How the Human Brain Works', 'The Nervous System', 'Evolution', 'bacterial mutation', 'mind', 'Diseases', 'natural selection', 'Ecosystem', 'Heart', 'tidal phenomena', 'the skeletal system', 'Skin System']","[0.5066631836865179, 0.5066128731773075, 0.5038821667207796, 0.4854287475820586, 0.4712401244917044, 0.4381444861784245, 0.4104722600162056, 0.39945613147639214, 0.39558331419609777, 0.39292900800909614, 0.37057577822875043, 0.36695472077628455, 0.3666077518296359, 0.36302817255107706, 0.3602419196967331, 0.35879914010763053, 0.355053434847228, 0.3548966419713221, 0.3528111112509574, 0.34781258533455095]",name_properties_background,"biological clock. The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.","The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.",
2,Biosphere,Library,Ecosystem,-1,"['Ecosystem', 'ecosystem', 'forest', 'life', 'planet', 'Plants', 'Biological Evolution', 'Skin System', 'society', 'Human Body', 'Circular Economy', 'universe', 'The Nervous System', 'sponge', 'Urban Evolution', 'respiration', 'day and night cycle', 'The Brain', 'Buildings', 'Desert']","[0.6044026880617632, 0.5860169242901077, 0.48495358596510346, 0.46501992079643817, 0.45793636936466325, 0.4296688081534834, 0.4289055559427399, 0.3976048493764528, 0.38641902183643395, 0.37967093592944934, 0.3762803059782448, 0.3759742132739884, 0.3733576641809643, 0.3459448406999586, 0.34369136268548917, 0.3413404915445388, 0.3340681779924226, 0.33312576872853006, 0.3257015618211133, 0.32226899999164804]",name_properties_background,"Biosphere. The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.","The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.",
3,Respiratory system,engine,respiration,16,"['respiration', 'Human Body', 'Plants', 'The Nervous System', 'air circulation ducts', 'Air handling system', 'Skin System', 'air filter', 'sponge', 'Burning Energy', 'The Brain', 'life', 'Heart', 'Desert', 'the skeletal system', 'engine', 'River', 'Tree', 'Ecosystem', 'Machines']","[0.6422217958124088, 0.4797787485552314, 0.46644024141230633, 0.4330254491280516, 0.4325178714759352, 0.42600701789489304, 0.42502823789091004, 0.4150457348466864, 0.4053148248036287, 0.3991444081900425, 0.39677896421882297, 0.3878667715712156, 0.3867416389360302, 0.3718636702224314, 0.3678482234449545, 0.36479882564027855, 0.3610878474641215, 0.35945509438852286, 0.35690847227123434, 0.35417655035143314]",name_properties_background,"Respiratory system. The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.","The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.",
4,Spread of Pathogens,Spread of Fire,Diseases,3,"['Diseases', 'illness', 'Spread of Fire', 'Disease', 'Vehicle Traffic', 'bacterial mutation', 'Program Error', 'wound', 'Group Behavior', 'Population Movement', 'Crowd', 'Transportation Systems', 'poverty', 'the cleaners', 'Urban Entropy Increase', 'Air handling system', 'The War Against Japan', 'Sun Protection', 'Urban Evolution', 'Healing']","[0.36560138417760674, 0.3588933013132694, 0.3476448105755745, 0.33033984513378345, 0.3173539661622611, 0.30282733648470167, 0.285517618706303, 0.2803909998219311, 0.2674271690909797, 0.2656830075512917, 0.25518075709043025, 0.24784171138367764, 0.2466120730218925, 0.24069024797664948, 0.23818757857663586, 0.23705392787244733, 0.22262865312624336, 0.22237595815013758, 0.22087196316426091, 0.2207171607239792]",name_properties_background,"Spread of Pathogens. The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.","The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.",
5,Gene editing,kirigami,edit,-1,"['edit', 'bacterial mutation', 'Evolution', 'natural selection', 'Urban Evolution', 'Biological Evolution', 'research', 'code', 'Greenhouse', 'Deciphering the Code', 'Program Error', 'innovation', 'Robotic Movement', 'Drug Treatment', 'program', 'Cooking', 'Chemical Reactions', 'Diseases', 'Power Generation', 'education']","[0.4547090649280044, 0.45338222121394883, 0.4023493306791359, 0.3829473283081093, 0.3710517947151609, 0.36784550065149946, 0.322282438296731, 0.3178624518527203, 0.31339702745027553, 0.3067079555618057, 0.30492061324827074, 0.3045267726049157, 0.29816498522569035, 0.29224722952196325, 0.28778909654929935, 0.2875600114262613, 0.2874632749078927, 0.28574535464926276, 0.2814591689264288, 0.281178318831626]",name_properties_background,"Gene editing. Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.","Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.",
6,Water Cycle,Circular Economy,River,10,"['River', 'Conservation of Water Flow', 'day and night cycle', 'heat transfer', 'Ecosystem', 'Water Wave Propagation', 'ecosystem', 'Human Body', 'Wave Propagation', 'Circular Economy', 'tidal phenomena', 'Water pipe system', 'life', 'Circuits', 'Vortex', 'respiration', 'heat', 'Plants', 'Skin System', 'Desert']","[0.5195567333319338, 0.5179966647414154, 0.50044924195334, 0.46823402411999815, 0.44688411990570553, 0.43429049927651037, 0.43216282578355125, 0.42322907115459224, 0.4110349269647251, 0.407427010752222, 0.40592031790838545, 0.3865052967328775, 0.37354490633264487, 0.3699950472910464, 0.36552034602835204, 0.36451792631444846, 0.3638486006336591, 0.357640503162865, 0.3539710140796618, 0.3506173959642561]",name_properties_background,"Water Cycle. The water cycle is a natural phenomenon that describes the constant movement of water on Earth's surface, both above and below it. This complex biogeochemical cycle involves various physical processes such as evaporation, transpiration, condensation, and precipitation, and plays a crucial role in shaping the Earth's climate and ecosystems. The water cycle affects the global distribution of water, and its exchange of energy leads to temperature changes, making it a critical component of the planet's climate system. Additionally, the purification and transport of water across the globe via the water cycle help support the growth and maintenance of life on Earth. While the water cycle is a natural process, it is essential to understand how it connects to human-made systems, such as water processing facilities and plumbing systems, to ensure sustainable access to clean and safe water.","The water cycle is a natural phenomenon that describes the constant movement of water on Earth's surface, both above and below it. This complex biogeochemical cycle involves various physical processes such as evaporation, transpiration, condensation, and precipitation, and plays a crucial role in shaping the Earth's climate and ecosystems. The water cycle affects the global distribution of water, and its exchange of energy leads to temperature changes, making it a critical component of the planet's climate system. Additionally, the purification and transport of water across the globe via the water cycle help support the growth and maintenance of life on Earth. While the water cycle is a natural process, it is essential to understand how it connects to human-made systems, such as water processing facilities and plumbing systems, to ensure sustainable access to clean and safe water.",
7,Cell division,the factory's production line,life,-1,"['life', 'bacterial mutation', 'Biological Evolution', 'Evolution', 'Human Body', 'Plants', 'Diseases', 'respiration', 'natural selection', 'Healing', 'The Brain', 'Chemical Reactions', 'The Nervous System', 'Disease', 'How the Human Brain Works', 'code', 'Ecosystem', 'Molecular Symmetry', 'Burning Energy', 'sponge']","[0.44496854002165065, 0.4265080937191228, 0.4217042866800811, 0.4133195775491515, 0.4091225946790319, 0.39673316115830015, 0.38340787983704994, 0.37501195060178044, 0.36927673381851533, 0.36448877577524946, 0.34735510476972287, 0.3377077478167456, 0.33468779330410303, 0.3319744446014394, 0.3292598896564588, 0.32825481398418266, 0.3282215774725573, 0.3230595126035804, 0.3174875984695762, 0.3141223946768755]",name_properties_background,"Cell division. Cell division is a complex process that plays a critical role in maintaining the proper functioning of an organism. It involves the replication and separation of DNA, as well as the splitting of cell organelles and cytoplasm, and ultimately results in the creation of daughter cells. In eukaryotes, cell division occurs through two distinct mechanisms - mitosis, which produces genetically identical daughter cells, and meiosis, which results in haploid gametes for sexual reproduction. Prokaryotes undergo a simpler type of division called binary fission, in which their genetic material is equally divided into two daughter cells. Whether in unicellular microorganisms like amoeba or multicellular organisms like the human body, cell division is a fundamental process that allows for growth, repair, and reproduction. At its core, the primary concern of cell division is the maintenance of the original cell's genome, ensuring consistency of genetic information from one generation to the next.","Cell division is a complex process that plays a critical role in maintaining the proper functioning of an organism. It involves the replication and separation of DNA, as well as the splitting of cell organelles and cytoplasm, and ultimately results in the creation of daughter cells. In eukaryotes, cell division occurs through two distinct mechanisms - mitosis, which produces genetically identical daughter cells, and meiosis, which results in haploid gametes for sexual reproduction. Prokaryotes undergo a simpler type of division called binary fission, in which their genetic material is equally divided into two daughter cells. Whether in unicellular microorganisms like amoeba or multicellular organisms like the human body, cell division is a fundamental process that allows for growth, repair, and reproduction. At its core, the primary concern of cell division is the maintenance of the original cell's genome, ensuring consistency of genetic information from one generation to the next.",
8,Origin of Life,Chemical Reactions,life,9,"['life', 'Biological Evolution', 'Evolution', 'natural selection', 'bacterial mutation', 'Burning Energy', 'Plants', 'planet', 'Chemical Reactions', 'universe', 'Urban Evolution', 'ideas', 'Cooking', 'Archeology', 'respiration', 'Ancient Western Asia', 'engine', 'human', 'Human Body', 'atom']","[0.6136871993139932, 0.5455136865727268, 0.4357354935750325, 0.4184190429857088, 0.3891486905460684, 0.3802191585497281, 0.37076971911611484, 0.36272287645355955, 0.3389550992641578, 0.3333215656510492, 0.33246715736142324, 0.3273643914229286, 0.3179766230026529, 0.31624802719573375, 0.3157058523914086, 0.3116933923666183, 0.30658203528913325, 0.3055715385278651, 0.3008336113398718, 0.29713200055528455]",name_properties_background,"Origin of Life. The origin of life is a fascinating and complex topic in biology. Abiogenesis, or the process of life arising from non-living matter, is thought to involve various stages including the formation of a habitable planet, prebiotic synthesis of organic molecules, molecular self-replication, self-assembly, and the emergence of cell membranes. Many theories propose different stages in this process. Life is based on the chemistry of carbon and water, with four main key families of chemicals that include lipids, carbohydrates, amino acids, and nucleic acids. Researchers believe that current life descends from an RNA world, although other self-replicating molecules may have preceded RNA. Various external sources of energy such as lightning, radiation, and atmospheric entries of micro-meteorites may have triggered chemical reactions. In addition, a genomics approach has sought to characterise the last universal common ancestor (LUCA) of modern organisms to better understand the origins of life, identifying 355 genes that appear to be common to all life. Finally, fossil evidence from the Earth informs most studies of abiogenesis, with the earliest undisputed evidence of life on Earth dating back to at least 3.5 billion years ago. The study of abiogenesis remains essential to understanding the evolution of life on our planet and the natural selection that has occurred.","The origin of life is a fascinating and complex topic in biology. Abiogenesis, or the process of life arising from non-living matter, is thought to involve various stages including the formation of a habitable planet, prebiotic synthesis of organic molecules, molecular self-replication, self-assembly, and the emergence of cell membranes. Many theories propose different stages in this process. Life is based on the chemistry of carbon and water, with four main key families of chemicals that include lipids, carbohydrates, amino acids, and nucleic acids. Researchers believe that current life descends from an RNA world, although other self-replicating molecules may have preceded RNA. Various external sources of energy such as lightning, radiation, and atmospheric entries of micro-meteorites may have triggered chemical reactions. In addition, a genomics approach has sought to characterise the last universal common ancestor (LUCA) of modern organisms to better understand the origins of life, identifying 355 genes that appear to be common to all life. Finally, fossil evidence from the Earth informs most studies of abiogenesis, with the earliest undisputed evidence of life on Earth dating back to at least 3.5 billion years ago. The study of abiogenesis remains essential to understanding the evolution of life on our planet and the natural selection that has occurred.",
9,The Genetic Code,The Writing System,code,14,"['code', 'Deciphering the Code', 'Computer Code', 'bacterial mutation', 'life', 'The Nervous System', 'Evolution', 'The Brain', 'Human Body', 'CPU', 'Biological Evolution', 'natural selection', 'Translation', 'The Writing System', 'program', 'the skeletal system', 'signal', 'Information Flow', 'Chemical Reactions', 'How the Human Brain Works']","[0.5337142611111574, 0.4911171952815515, 0.4680827249190855, 0.38333272634275994, 0.3707627973043103, 0.337820886157951, 0.3334089620173769, 0.3284508905863833, 0.3243920364268048, 0.32319819856979437, 0.32214685491625605, 0.3172143195004673, 0.2886924613373253, 0.28789536781550784, 0.2842844371385812, 0.28178148127221947, 0.2774886673423323, 0.27537699106890545, 0.2750817660701137, 0.2741510920236547]",name_properties_background,"The Genetic Code. The genetic code is a fundamental aspect of living cells, dictating how information encoded in DNA or RNA is translated into proteins. Ribosomes play a key role in this process, linking amino acids together in a specific order as directed by messenger RNA (mRNA). The genetic code is universal among all organisms and is presented in a simple table with 64 entries, with each codon specifying which amino acid will be added during protein biosynthesis. While most genes follow a standard genetic code, some variants exist, such as in mitochondria. Understanding the genetic code is crucial in unraveling the secrets of life and finding potential treatments for various diseases.","The genetic code is a fundamental aspect of living cells, dictating how information encoded in DNA or RNA is translated into proteins. Ribosomes play a key role in this process, linking amino acids together in a specific order as directed by messenger RNA (mRNA). The genetic code is universal among all organisms and is presented in a simple table with 64 entries, with each codon specifying which amino acid will be added during protein biosynthesis. While most genes follow a standard genetic code, some variants exist, such as in mitochondria. Understanding the genetic code is crucial in unraveling the secrets of life and finding potential treatments for various diseases.",
10,Ecosystem,Machines,Ecosystem,-1,"['Ecosystem', 'ecosystem', 'Plants', 'forest', 'Circular Economy', 'life', 'Human Body', 'Skin System', 'respiration', 'society', 'Urban Evolution', 'River', 'Buildings', 'Biological Evolution', 'the cleaners', 'Supply Chain', 'City', 'Desert', 'The Nervous System', 'Spread of Fire']","[0.8829074986125458, 0.8503867369550142, 0.502929524855422, 0.47627335330183457, 0.4484080338494125, 0.43039541940470855, 0.4290112036794709, 0.42211594756218995, 0.414553134032852, 0.41067311758808134, 0.404626549509771, 0.39262196952997797, 0.39112407675653005, 0.3872526009966478, 0.3860983657477568, 0.37854663622019724, 0.37321459645064464, 0.37133277273118637, 0.37128671261377805, 0.3674151026540213]",name_properties_background,"Ecosystem. An ecosystem is a complex biological community made up of plants, animals, and microorganisms interacting with each other and their physical environment. It is a delicate balance that is maintained through the continuous cycling of nutrients and energy. The survival and reproduction of each species within an ecosystem are intertwined with one another. Each organism has its unique place in the food chain, and by consuming and being consumed, they play a crucial role in the movement of matter and energy through the system. However, ecosystems are not static, and they are continually changing through external and internal factors such as climate, decomposition, disturbance, and succession. Ecosystem services, such as clean water and air, pollination of crops, and aesthetic beauty, are essential to human survival and are heavily impacted by human activities such as pollution, habitat fragmentation, and deforestation. The collapse of an ecosystem can have devastating effects on all organisms within the system, including humans. Thus ecosystem restoration is crucial to maintaining the delicate balance of these biological communities, which in turn supports the sustainability of life on earth.","An ecosystem is a complex biological community made up of plants, animals, and microorganisms interacting with each other and their physical environment. It is a delicate balance that is maintained through the continuous cycling of nutrients and energy. The survival and reproduction of each species within an ecosystem are intertwined with one another. Each organism has its unique place in the food chain, and by consuming and being consumed, they play a crucial role in the movement of matter and energy through the system. However, ecosystems are not static, and they are continually changing through external and internal factors such as climate, decomposition, disturbance, and succession. Ecosystem services, such as clean water and air, pollination of crops, and aesthetic beauty, are essential to human survival and are heavily impacted by human activities such as pollution, habitat fragmentation, and deforestation. The collapse of an ecosystem can have devastating effects on all organisms within the system, including humans. Thus ecosystem restoration is crucial to maintaining the delicate balance of these biological communities, which in turn supports the sustainability of life on earth.",
