id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
1,biological clock,clock,clock,1,"['clock', 'Biological Evolution', 'day and night cycle', 'Evolution', 'pendulum motion', 'time', 'natural selection', 'Human Body', 'signal', 'CPU', 'The Brain', 'bacterial mutation', 'tidal phenomena', 'life', 'line', 'mind', 'code', 'memory', 'the replicator', 'Time Machine']","[0.4913868190011186, 0.4759510003251436, 0.39362838161547115, 0.32805528379509363, 0.32565235582495977, 0.3151437012581766, 0.30860250596079397, 0.3074215305746226, 0.3067033257663012, 0.3066537483279637, 0.29106546733921856, 0.29057548247509335, 0.2894814094222982, 0.2858967459358066, 0.2857425109439644, 0.2831144074996752, 0.2763099963640635, 0.27416652745087117, 0.27285993303490796, 0.2723480882491275]",name_properties,biological clock,"The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.",
2,Biosphere,Library,Ecosystem,-1,"['Ecosystem', 'ecosystem', 'planet', 'Skin System', 'Greenhouse', 'universe', 'Biological Evolution', 'Human Body', 'Circular Economy', 'Social Circle', 'society', 'forest', 'life', 'cocoon', 'Plants', 'Greenhouses', 'Reactor', 'Operating System', 'The Brain', 'Urban Evolution']","[0.6453434488280849, 0.60651844275124, 0.4655522183289953, 0.3999743164475148, 0.3862071615002267, 0.38015776382265665, 0.37568766351993577, 0.3636276494307573, 0.35190950588187814, 0.3515635817515105, 0.3402298838781943, 0.32931292246134175, 0.31936829426516944, 0.3155603220449623, 0.3148341511700911, 0.3134421262886089, 0.30311637000970626, 0.2970157921082632, 0.28727779691433836, 0.28020242023589076]",name_properties,Biosphere,"The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.",
3,Respiratory system,engine,respiration,-1,"['respiration', 'Air handling system', 'Skin System', 'The Nervous System', 'the skeletal system', 'Transportation Systems', 'air circulation ducts', 'Human Body', 'Water pipe system', 'lubrication system', 'Ecosystem', 'air filter', 'sound system', 'Plants', 'resonance cavity', 'Operating System', 'Reactor', 'ecosystem', 'electromagnetic emission system', 'Heart']","[0.554154793327069, 0.5168399641721831, 0.4630531718938652, 0.4240231629687802, 0.4174703161274058, 0.3935821993496775, 0.3803843468484026, 0.3782921765450882, 0.3723276217466377, 0.3664464987977948, 0.3420405757562138, 0.34107870199498846, 0.3367819982089535, 0.32039014805949045, 0.31986907662558434, 0.31637038448622906, 0.3035074741156917, 0.292031578445238, 0.2830962817246674, 0.2820721811357018]",name_properties,Respiratory system,"The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.",
4,Spread of Pathogens,Spread of Fire,Spread of Fire,1,"['Spread of Fire', 'Population Movement', 'Diseases', 'Disease', 'Information Flow', 'Wave Propagation', 'communication networks', 'Group Behavior', 'Immunity', 'Transportation Systems', 'Skin System', 'Biological Evolution', 'bacterial mutation', 'Molecular Symmetry', 'Maps', 'Plants', 'Planting', 'Bridge', 'Evolution', 'Urban Evolution']","[0.5955428766925186, 0.45249758696122866, 0.4337201836025898, 0.4118866998103328, 0.3409985875476296, 0.30262966845699235, 0.30243369231988415, 0.2865191474162185, 0.28377465061681045, 0.28007456493279576, 0.2794820561955642, 0.27756452256832553, 0.2757312083114417, 0.27253331431656697, 0.2722703347521778, 0.27073656489815145, 0.2597703847611964, 0.25626466358375977, 0.25379270020899625, 0.2530062505148827]",name_properties,Spread of Pathogens,"The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.",
5,Gene editing,kirigami,edit,-1,"['edit', 'bacterial mutation', 'Evolution', 'natural selection', 'Biological Evolution', 'Computer Code', 'Molecular Symmetry', 'Translation', 'engine', 'Cooking', 'Planting', 'Drug Treatment', 'Baking', 'innovation', 'atom', 'Program Error', 'Typo', 'Power Generation', 'Pedigree Trees', 'ideas']","[0.43237660272293776, 0.43146920715928, 0.35237109664125726, 0.33787413431420305, 0.31495443814318647, 0.29703558103970945, 0.2882856129855383, 0.2767826849037456, 0.27591358429478435, 0.27497084926718474, 0.2733543434948187, 0.26792685432277596, 0.2674467806255588, 0.2661752971450714, 0.26569291689791996, 0.26559224954528654, 0.2609896019858524, 0.25939173545344085, 0.258957231820384, 0.2586131807167753]",name_properties,Gene editing,"Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.",
6,Water Cycle,Circular Economy,Conservation of Water Flow,4,"['Conservation of Water Flow', 'Ecosystem', 'Water pipe system', 'Circular Economy', 'River', 'Water Wave Propagation', 'day and night cycle', 'tidal phenomena', 'ecosystem', 'Transportation Systems', 'Dust Storm', 'Skin System', 'Wind Power', 'Vortex', 'Information Flow', 'Urban Transportation', 'Supply Chain', 'Wave Propagation', 'Desert', 'Chemical Reactions']","[0.4992103700499719, 0.42485863458965956, 0.40906304165153284, 0.3952453019496315, 0.38020851027773145, 0.3732787262027573, 0.35409802787104894, 0.3461594194645995, 0.34371126573956196, 0.329393998094641, 0.32540117002361924, 0.32183132339519827, 0.32076606275007347, 0.31627900509805, 0.3126387080486103, 0.30901460079416443, 0.30635201005560064, 0.30378314220776864, 0.30260395281355, 0.2999450264736454]",name_properties,Water Cycle,"The water cycle is a natural phenomenon that describes the constant movement of water on Earth's surface, both above and below it. This complex biogeochemical cycle involves various physical processes such as evaporation, transpiration, condensation, and precipitation, and plays a crucial role in shaping the Earth's climate and ecosystems. The water cycle affects the global distribution of water, and its exchange of energy leads to temperature changes, making it a critical component of the planet's climate system. Additionally, the purification and transport of water across the globe via the water cycle help support the growth and maintenance of life on Earth. While the water cycle is a natural process, it is essential to understand how it connects to human-made systems, such as water processing facilities and plumbing systems, to ensure sustainable access to clean and safe water.",
7,Cell division,the factory's production line,Plants,14,"['Plants', 'Disassembly', 'Evolution', 'Healing', 'line', 'Molecular Symmetry', 'Biological Evolution', 'Planting', 'Skin System', 'Chemical Reactions', 'Disease', 'Building Structure', 'bacterial mutation', ""the factory's production line"", 'Origami', 'marriage', 'respiration', 'Baking', 'business', 'Computer Code']","[0.3335018488565, 0.3330304505518721, 0.32062978024864863, 0.3088923679256689, 0.306168228266979, 0.3060015796506895, 0.30069020808936975, 0.29521222723838725, 0.2859230296487633, 0.2836665382791063, 0.28357572249016605, 0.2821008631732647, 0.27793314156952403, 0.2756855982217295, 0.27327684814031217, 0.2716364443014101, 0.27094032943392043, 0.27079857725244805, 0.26587065699842116, 0.26541532839372184]",name_properties,Cell division,"Cell division is a complex process that plays a critical role in maintaining the proper functioning of an organism. It involves the replication and separation of DNA, as well as the splitting of cell organelles and cytoplasm, and ultimately results in the creation of daughter cells. In eukaryotes, cell division occurs through two distinct mechanisms - mitosis, which produces genetically identical daughter cells, and meiosis, which results in haploid gametes for sexual reproduction. Prokaryotes undergo a simpler type of division called binary fission, in which their genetic material is equally divided into two daughter cells. Whether in unicellular microorganisms like amoeba or multicellular organisms like the human body, cell division is a fundamental process that allows for growth, repair, and reproduction. At its core, the primary concern of cell division is the maintenance of the original cell's genome, ensuring consistency of genetic information from one generation to the next.",
8,Origin of Life,Chemical Reactions,Biological Evolution,-1,"['Biological Evolution', 'Evolution', 'life', 'Human Body', 'Ancient Greece', 'Foundation Series', 'planet', 'Skin System', 'The Long Journey', 'The Discovery of America', 'The Brain', 'Human Relationships', 'Ancient Rome', 'Urban Evolution', 'Ancient Western Asia', 'The Discovery of India', 'Families', 'Plants', 'Christianity', 'Population Movement']","[0.43909597262751165, 0.3965177641987684, 0.37019213105951354, 0.2985380203386949, 0.2975219041622493, 0.2675440962687126, 0.26306570694664366, 0.2629872296136028, 0.262965415061594, 0.26140059151765005, 0.2601520219906416, 0.25974018169169577, 0.25679300057587734, 0.25440196434165285, 0.25391869282052004, 0.250976782271595, 0.24231829454455037, 0.23758382089274577, 0.23621221285200433, 0.23450403290516916]",name_properties,Origin of Life,"The origin of life is a fascinating and complex topic in biology. Abiogenesis, or the process of life arising from non-living matter, is thought to involve various stages including the formation of a habitable planet, prebiotic synthesis of organic molecules, molecular self-replication, self-assembly, and the emergence of cell membranes. Many theories propose different stages in this process. Life is based on the chemistry of carbon and water, with four main key families of chemicals that include lipids, carbohydrates, amino acids, and nucleic acids. Researchers believe that current life descends from an RNA world, although other self-replicating molecules may have preceded RNA. Various external sources of energy such as lightning, radiation, and atmospheric entries of micro-meteorites may have triggered chemical reactions. In addition, a genomics approach has sought to characterise the last universal common ancestor (LUCA) of modern organisms to better understand the origins of life, identifying 355 genes that appear to be common to all life. Finally, fossil evidence from the Earth informs most studies of abiogenesis, with the earliest undisputed evidence of life on Earth dating back to at least 3.5 billion years ago. The study of abiogenesis remains essential to understanding the evolution of life on our planet and the natural selection that has occurred.",
9,The Genetic Code,The Writing System,Computer Code,5,"['Computer Code', 'Deciphering the Code', 'code', 'bacterial mutation', 'The Writing System', 'Molecular Symmetry', 'Biological Evolution', 'The Nervous System', 'The Brain', 'Evolution', 'The Neural Network of Computers', 'Program Error', 'Human Body', 'Alphabet', 'Translation', 'The Puzzle', 'Neural Networks', 'Pedigree Trees', 'Computer Processor', 'Factory System']","[0.5537913647999999, 0.5367226656949057, 0.4038463368362018, 0.3509973656555062, 0.33683073909851646, 0.3294258293551412, 0.32062637422626855, 0.3032714909538844, 0.30235935854255935, 0.29195327069998644, 0.2859211994359068, 0.2835221073413884, 0.28338957494047756, 0.28024573839097405, 0.26549359572293235, 0.26249462379820065, 0.26131011853542163, 0.2591701993643917, 0.2466600203836375, 0.24226527923451063]",name_properties,The Genetic Code,"The genetic code is a fundamental aspect of living cells, dictating how information encoded in DNA or RNA is translated into proteins. Ribosomes play a key role in this process, linking amino acids together in a specific order as directed by messenger RNA (mRNA). The genetic code is universal among all organisms and is presented in a simple table with 64 entries, with each codon specifying which amino acid will be added during protein biosynthesis. While most genes follow a standard genetic code, some variants exist, such as in mitochondria. Understanding the genetic code is crucial in unraveling the secrets of life and finding potential treatments for various diseases.",
10,Ecosystem,Machines,Ecosystem,-1,"['Ecosystem', 'ecosystem', 'Reactor', 'Circular Economy', 'Skin System', 'planet', 'Greenhouse', 'Operating System', 'Evolution', 'forest', 'society', 'Plants', 'Supply Chain', 'Social Circle', 'Families', 'Crowd', 'Desert', 'Tree', 'universe', 'Democracy']","[0.9999991228788453, 0.8636573830753753, 0.4123856865910855, 0.41181811787810074, 0.40037336280624763, 0.37428606187634733, 0.3739301819787949, 0.3705070790202416, 0.36650059762439846, 0.35185982508390995, 0.34279173793726625, 0.3400969926730403, 0.3259648023440201, 0.319980786907772, 0.3193081732874874, 0.3110968916898245, 0.30772010312901055, 0.3020682593597688, 0.29841359980188936, 0.2962082514954614]",name_properties,Ecosystem,"An ecosystem is a complex biological community made up of plants, animals, and microorganisms interacting with each other and their physical environment. It is a delicate balance that is maintained through the continuous cycling of nutrients and energy. The survival and reproduction of each species within an ecosystem are intertwined with one another. Each organism has its unique place in the food chain, and by consuming and being consumed, they play a crucial role in the movement of matter and energy through the system. However, ecosystems are not static, and they are continually changing through external and internal factors such as climate, decomposition, disturbance, and succession. Ecosystem services, such as clean water and air, pollination of crops, and aesthetic beauty, are essential to human survival and are heavily impacted by human activities such as pollution, habitat fragmentation, and deforestation. The collapse of an ecosystem can have devastating effects on all organisms within the system, including humans. Thus ecosystem restoration is crucial to maintaining the delicate balance of these biological communities, which in turn supports the sustainability of life on earth.",
