model,metric,n_pairs,mean_no_desc,mean_with_desc,delta_mean,wilcoxon_stat,p_value,significant_0.05
deepseek-r1,avg_semantic_score,400,0.5177280135129989,0.5740937168858251,0.056365703372826204,23944.0,3.70642302190028e-11,True
gemini-2.5-flash-lite,avg_semantic_score,400,0.5443325954732025,0.6151792210095699,0.07084662553636745,20700.0,8.268134969409301e-15,True
gpt-4.1-mini,avg_semantic_score,400,0.5467807150070881,0.5957393005902213,0.04895858558313315,23837.0,8.033199062577809e-09,True
gpt-4.1-nano,avg_semantic_score,400,0.5502936307613788,0.5561101896886265,0.005816558927247639,30069.0,0.18980705336153814,False
gpt-oss-120b,avg_semantic_score,400,0.5146305487907621,0.5296428114819796,0.01501226269121747,29865.0,0.001452264669230079,True
gpt-oss-20b,avg_semantic_score,400,0.5163030945187086,0.548291414768565,0.03198832024985643,29173.0,7.975725255433322e-05,True
grok-4-fast,avg_semantic_score,400,0.5025120043981371,0.5857318965773791,0.08321989217924197,16260.0,6.779837485937248e-25,True
llama-3.1-405b-instruct,avg_semantic_score,400,0.5368633027890911,0.6105958269833137,0.0737325241942226,20674.0,3.015985419530324e-15,True
meta-llama-3-1-70b-instruct,avg_semantic_score,400,0.5460055662252726,0.6176538901189064,0.07164832389363374,21051.0,2.9181421698931813e-15,True
meta-llama-3-1-8b-instruct,avg_semantic_score,400,0.5374875526215683,0.5860759092915471,0.04858835666997874,25896.0,1.2936662119094523e-08,True
qwen3-14b,avg_semantic_score,400,0.5126390909669292,0.5738313575507444,0.06119226658381527,23227.0,1.7448253905552773e-12,True
qwen3-32b,avg_semantic_score,400,0.5229635222946282,0.5767622988238927,0.05379877652926457,26089.0,4.554994489396484e-09,True
