id,target,gold_source,all_golden_sources,predicted_rank_1,gold_rank,num_golden_found,found_golden_sources,golden_ranks,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
1,biological clock,clock,['clock'],clock,1,1,['clock'],[1],"['clock', 'Biological Evolution', 'day and night cycle', 'Evolution', 'pendulum motion', 'time', 'natural selection', 'Human Body', 'CPU', 'signal', 'The Brain', 'bacterial mutation', 'tidal phenomena', 'life', 'line', 'mind', 'code', 'memory', 'the replicator', 'Time Machine']","[0.4913868190011186, 0.47589610767583446, 0.39354083728474415, 0.3281419060887988, 0.32568907990566376, 0.3150907967608494, 0.3085596209146481, 0.3075670159926004, 0.3066874163709188, 0.30654786290023234, 0.2910382589215284, 0.29051845585967095, 0.2894814094222982, 0.2858447493119868, 0.28573531545100783, 0.28320935068120534, 0.2762195764723925, 0.2741347538635106, 0.27285836863824575, 0.2722527049680166]",name_only,biological clock,"The biological clock is a fundamental aspect of human physiology that governs the body's internal rhythms and processes. It refers to a range of mechanisms that enable the body to adjust to different states and changes in the environment. These mechanisms include the ageing process, menstrual cycle, circadian rhythm, vernalisation, and molecular and epigenetic clocks. The biological clock is responsible for regulating several essential processes, such as sleep-wake cycles, hormone release, and metabolism. This delicate balance can be disrupted when the body is subjected to different circumstances, such as changes in light exposure, temperature, or hormonal imbalances. Understanding the mechanisms of the biological clock is critical for maintaining good health and quality of life. It provides invaluable information for developing effective strategies to mitigate the effects of ageing, improve reproductive health, and combat sleep disorders. By studying the mechanisms of the biological clock, researchers are continually uncovering new ways to treat and prevent a range of health conditions. In short, the biological clock is a remarkable biological mechanism that plays a vital role in our lives, allowing us to adjust to changing circumstances and maintain a healthy state of being.","changes, state, adjust"
2,Biosphere,Library,['Library'],Ecosystem,-1,0,[],[],"['Ecosystem', 'ecosystem', 'planet', 'Skin System', 'Greenhouse', 'universe', 'Biological Evolution', 'Human Body', 'Circular Economy', 'Social Circle', 'forest', 'society', 'life', 'cocoon', 'Plants', 'Greenhouses', 'Reactor', 'Operating System', 'The Brain', 'Urban Evolution']","[0.6453493432088042, 0.6065041176576189, 0.46562407367587716, 0.4001165400528681, 0.3860691800170672, 0.38027583412787297, 0.3756957494984546, 0.3630383378781357, 0.35186588680612324, 0.3514660678438376, 0.340960409554835, 0.340238695516505, 0.31932855161625573, 0.31556906091345005, 0.31489144845461514, 0.31329353725835113, 0.30298589291966965, 0.29697787226441297, 0.2873022178807954, 0.28019953296808536]",name_only,Biosphere,"The biosphere refers to the sum of all ecosystems on Earth, including the interactions between living organisms and their environment, such as the lithosphere, cryosphere, hydrosphere, and atmosphere. This spherical shell system is closed with regards to matter, with minimal inputs and outputs, yet open with regards to energy, as it captures solar energy through photosynthesis. The biosphere is postulated to have evolved through biopoiesis or biogenesis, and it encompasses all living beings and their relationships, including biodiversity. Biospheres can be both natural and artificial, including ones on other planets or moons. In essence, the biosphere is a global ecological system that integrates all living organisms and their various ecosystems.","biology, biodiversity, ecosystem"
3,Respiratory system,engine,"['engine', 'Air handling system', 'air circulation ducts']",respiration,2,2,"['Air handling system', 'air circulation ducts']","[2, 7]","['respiration', 'Air handling system', 'Skin System', 'The Nervous System', 'the skeletal system', 'Transportation Systems', 'air circulation ducts', 'Human Body', 'Water pipe system', 'lubrication system', 'Ecosystem', 'air filter', 'sound system', 'Plants', 'resonance cavity', 'Operating System', 'Reactor', 'ecosystem', 'electromagnetic emission system', 'Heart']","[0.5542148745582783, 0.5168122356540146, 0.46293640438630357, 0.4239813086381817, 0.4174197803601047, 0.39348936181109617, 0.3803576695904326, 0.3786260081226385, 0.3723408184288698, 0.3664439544672798, 0.34217668563860315, 0.34112567488637796, 0.33679256277873393, 0.3204009465458133, 0.3198981009408837, 0.316419814176221, 0.3035435452119988, 0.29213616829284855, 0.28303772244182007, 0.2821064894534081]",name_only,Respiratory system,"The respiratory system is a critical biological system used for gas exchange in both animals and plants. In land animals, the lungs play the central role in gas exchange, with millions of air sacs called alveoli serving as the respiratory surface. Oxygen from the environment is brought to the alveoli by breathing muscles, which pump air through a system of hollow tubes, such as the trachea and bronchi, and bronchioles. Birds have similar air sacs called atria, and their bronchioles are termed parabronchi. Fish have gills, while insects have simpler respiratory systems, and amphibians rely on their skin for gas exchange. Plants also have respiratory systems, with stomata serving as one such feature. Understanding how the respiratory system works is critical to comprehending the overall workings of both animals and plants.","oxygen, the lungs, breathing muscles"
4,Spread of Pathogens,Spread of Fire,['Spread of Fire'],Spread of Fire,1,1,['Spread of Fire'],[1],"['Spread of Fire', 'Population Movement', 'Diseases', 'Disease', 'Information Flow', 'Wave Propagation', 'communication networks', 'Group Behavior', 'Immunity', 'Transportation Systems', 'Skin System', 'Biological Evolution', 'bacterial mutation', 'Molecular Symmetry', 'Maps', 'Plants', 'Planting', 'Bridge', 'Evolution', 'Urban Evolution']","[0.5955428766925186, 0.4524437002873461, 0.4337271948303554, 0.4118866998103328, 0.3409985875476296, 0.30263191532973777, 0.30242197161068385, 0.28652275199600385, 0.2838470432862023, 0.2800633634864924, 0.27951781547192217, 0.27763886633293067, 0.2757099192095762, 0.27253331431656697, 0.27225958918282916, 0.2708179455315228, 0.2598197038830217, 0.256268717385203, 0.25375336513484337, 0.2530062505148827]",name_only,Spread of Pathogens,"The spread of pathogens is a serious concern, especially in crowded environments where individuals are in close proximity to each other. The incident aboard the Japan Air Lines Boeing 747 serves as a harsh reminder of the potential impacts of pathogen contamination. The incident involved the consumption of a contaminated in-flight meal that contained Staphylococci bacteria, resulting in the illness of 197 individuals. The incident highlights the need for effective prevention and control measures to minimize the spread of pathogens in crowded settings. These measures may include proper hygiene practices, regular sanitization, and the use of protective equipment to limit the transmission of pathogens. By taking proactive measures, the risk of contamination and illness can be reduced, ensuring the safety and health of individuals in crowded environments.","pathogen, crowd, Prevention and control measures"
5,Gene editing,kirigami,['kirigami'],edit,-1,0,[],[],"['edit', 'bacterial mutation', 'Evolution', 'natural selection', 'Biological Evolution', 'Computer Code', 'Molecular Symmetry', 'Translation', 'engine', 'Cooking', 'Planting', 'Drug Treatment', 'Baking', 'innovation', 'atom', 'Program Error', 'Typo', 'Power Generation', 'Pedigree Trees', 'ideas']","[0.4323626076461352, 0.4314655562714505, 0.35242258895554546, 0.3378141071602003, 0.31494962610098076, 0.2969849888992651, 0.2882856129855383, 0.2767215357432916, 0.27591358429478435, 0.2749267862110403, 0.273295638584512, 0.26798938876438627, 0.26750220444908607, 0.26609050809770773, 0.26569291689791996, 0.26566321733533815, 0.2609644988935328, 0.25939173545344085, 0.259033376061771, 0.25858070431035174]",name_only,Gene editing,"Gene editing is a revolutionary technique in molecular biology that allows for specific targeted changes to an organism's DNA. Using tools such as CRISPR-Cas9 technology, zinc finger nucleases, and transcription activator-like effector nucleases, scientists can insert, delete, or substitute genetic material to achieve desired results. This technique holds great promise in developing new treatments for diseases through gene therapy. With the ability to edit genes, there is potential to correct genetic mutations that cause diseases, hereditary conditions, and even cancer. The CRISPR-Cas9 system, in particular, has opened up a new era of gene editing due to its efficiency and specificity, allowing scientists to create targeted mutations at precise locations in the genome. As gene editing technology continues to evolve, it holds the promise of revolutionizing the fields of medicine, agriculture, and environmental science.","Gene, CRISPR-Cas9 Technology, edited gene"
6,Water Cycle,Circular Economy,"['Circular Economy', 'Transportation Systems']",Conservation of Water Flow,4,2,"['Circular Economy', 'Transportation Systems']","[4, 10]","['Conservation of Water Flow', 'Ecosystem', 'Water pipe system', 'Circular Economy', 'River', 'Water Wave Propagation', 'day and night cycle', 'tidal phenomena', 'ecosystem', 'Transportation Systems', 'Dust Storm', 'Skin System', 'Wind Power', 'Vortex', 'Information Flow', 'Urban Transportation', 'Supply Chain', 'Wave Propagation', 'Desert', 'Chemical Reactions']","[0.4992194497289624, 0.4248299124476873, 0.40912636614121645, 0.3952453019496315, 0.380213078789263, 0.3732448388346319, 0.3541134116366454, 0.3461594194645995, 0.34371126573956196, 0.3293034369950635, 0.32540117002361924, 0.32180732218499003, 0.3208325658749016, 0.3163267032321004, 0.3126387080486103, 0.3089391112645906, 0.30635201005560064, 0.3038032940245663, 0.3026387178078132, 0.2999450264736454]",name_only,Water Cycle,"The water cycle is a natural phenomenon that describes the constant movement of water on Earth's surface, both above and below it. This complex biogeochemical cycle involves various physical processes such as evaporation, transpiration, condensation, and precipitation, and plays a crucial role in shaping the Earth's climate and ecosystems. The water cycle affects the global distribution of water, and its exchange of energy leads to temperature changes, making it a critical component of the planet's climate system. Additionally, the purification and transport of water across the globe via the water cycle help support the growth and maintenance of life on Earth. While the water cycle is a natural process, it is essential to understand how it connects to human-made systems, such as water processing facilities and plumbing systems, to ensure sustainable access to clean and safe water.","water, processing facility, plumbing system"
7,Cell division,the factory's production line,"[""the factory's production line"", 'the replicator']",Plants,5,1,"[""the factory's production line""]",[5],"['Plants', 'Disassembly', 'Evolution', 'Healing', 'line', 'Molecular Symmetry', 'Biological Evolution', 'Planting', 'Skin System', 'Chemical Reactions', 'Disease', 'Building Structure', 'bacterial mutation', ""the factory's production line"", 'Origami', 'marriage', 'respiration', 'Baking', 'business', 'Computer Code']","[0.33358521776904904, 0.3330304505518721, 0.3206217346436051, 0.3088923679256689, 0.3061874297195445, 0.3060015796506895, 0.30076447757229985, 0.2952089493040838, 0.2859598976388275, 0.2836665382791063, 0.28357572249016605, 0.2821008631732647, 0.27792045767710694, 0.2756855982217295, 0.2732686473230761, 0.27163652110862646, 0.2709075760241967, 0.27081610455163796, 0.2659525887990317, 0.2654239763415621]",name_only,Cell division,"Cell division is a complex process that plays a critical role in maintaining the proper functioning of an organism. It involves the replication and separation of DNA, as well as the splitting of cell organelles and cytoplasm, and ultimately results in the creation of daughter cells. In eukaryotes, cell division occurs through two distinct mechanisms - mitosis, which produces genetically identical daughter cells, and meiosis, which results in haploid gametes for sexual reproduction. Prokaryotes undergo a simpler type of division called binary fission, in which their genetic material is equally divided into two daughter cells. Whether in unicellular microorganisms like amoeba or multicellular organisms like the human body, cell division is a fundamental process that allows for growth, repair, and reproduction. At its core, the primary concern of cell division is the maintenance of the original cell's genome, ensuring consistency of genetic information from one generation to the next.","cell, dna, cell organelle, cytoplasm"
8,Origin of Life,Chemical Reactions,['Chemical Reactions'],Biological Evolution,-1,0,[],[],"['Biological Evolution', 'Evolution', 'life', 'Human Body', 'Ancient Greece', 'Foundation Series', 'planet', 'Skin System', 'The Long Journey', 'The Discovery of America', 'The Brain', 'Human Relationships', 'Ancient Rome', 'Urban Evolution', 'Ancient Western Asia', 'The Discovery of India', 'Families', 'Plants', 'Christianity', 'Population Movement']","[0.4391340768414584, 0.39656972707933213, 0.37017183297022715, 0.2986863239921157, 0.2981673930905986, 0.26752824224824767, 0.263127844582311, 0.2630333975095135, 0.2629118766949521, 0.2613779012483979, 0.26014350329129055, 0.2599391103058264, 0.2567659382076417, 0.25440196434165285, 0.2538877758511392, 0.2510818698462081, 0.2422993873024263, 0.23769229044335183, 0.23613018201197172, 0.23445788748015423]",name_only,Origin of Life,"The origin of life is a fascinating and complex topic in biology. Abiogenesis, or the process of life arising from non-living matter, is thought to involve various stages including the formation of a habitable planet, prebiotic synthesis of organic molecules, molecular self-replication, self-assembly, and the emergence of cell membranes. Many theories propose different stages in this process. Life is based on the chemistry of carbon and water, with four main key families of chemicals that include lipids, carbohydrates, amino acids, and nucleic acids. Researchers believe that current life descends from an RNA world, although other self-replicating molecules may have preceded RNA. Various external sources of energy such as lightning, radiation, and atmospheric entries of micro-meteorites may have triggered chemical reactions. In addition, a genomics approach has sought to characterise the last universal common ancestor (LUCA) of modern organisms to better understand the origins of life, identifying 355 genes that appear to be common to all life. Finally, fossil evidence from the Earth informs most studies of abiogenesis, with the earliest undisputed evidence of life on Earth dating back to at least 3.5 billion years ago. The study of abiogenesis remains essential to understanding the evolution of life on our planet and the natural selection that has occurred.","cell, evolution, natural selection"
9,The Genetic Code,The Writing System,['The Writing System'],Computer Code,5,1,['The Writing System'],[5],"['Computer Code', 'Deciphering the Code', 'code', 'bacterial mutation', 'The Writing System', 'Molecular Symmetry', 'Biological Evolution', 'The Nervous System', 'The Brain', 'Evolution', 'The Neural Network of Computers', 'Program Error', 'Human Body', 'Alphabet', 'Translation', 'The Puzzle', 'Neural Networks', 'Pedigree Trees', 'Computer Processor', 'Factory System']","[0.5536865804342233, 0.5366268258921618, 0.40390183810673713, 0.3509883637444614, 0.3368003869262469, 0.3294500926871252, 0.32065645680205035, 0.30326411681405135, 0.3023932352613557, 0.29200144482008006, 0.2859046571254663, 0.2836115597063046, 0.28322313120142306, 0.2802276347073822, 0.2655112911879983, 0.26248591852413905, 0.2612824494180718, 0.25923320312169784, 0.24653268276447035, 0.24232918236135986]",name_only,The Genetic Code,"The genetic code is a fundamental aspect of living cells, dictating how information encoded in DNA or RNA is translated into proteins. Ribosomes play a key role in this process, linking amino acids together in a specific order as directed by messenger RNA (mRNA). The genetic code is universal among all organisms and is presented in a simple table with 64 entries, with each codon specifying which amino acid will be added during protein biosynthesis. While most genes follow a standard genetic code, some variants exist, such as in mitochondria. Understanding the genetic code is crucial in unraveling the secrets of life and finding potential treatments for various diseases.","dna sequence, RNA, Ribosome, protein"
10,Ecosystem,Machines,['Machines'],Ecosystem,-1,0,[],[],"['Ecosystem', 'ecosystem', 'Reactor', 'Circular Economy', 'Skin System', 'planet', 'Greenhouse', 'Operating System', 'Evolution', 'forest', 'society', 'Plants', 'Supply Chain', 'Social Circle', 'Families', 'Crowd', 'Desert', 'Tree', 'universe', 'Democracy']","[0.9999999999999998, 0.8636662602297192, 0.4123820617594239, 0.41184885231280355, 0.4004628094608745, 0.3742809217389187, 0.3739327246654994, 0.3705180078649835, 0.3665499177205424, 0.3569726085812783, 0.342947401107354, 0.34021276494458164, 0.32599500837464757, 0.3200576475662938, 0.3193448552012308, 0.311111975556775, 0.30775425284286095, 0.30200714762520037, 0.2984480425531696, 0.2961100372728359]",name_only,Ecosystem,"An ecosystem is a complex biological community made up of plants, animals, and microorganisms interacting with each other and their physical environment. It is a delicate balance that is maintained through the continuous cycling of nutrients and energy. The survival and reproduction of each species within an ecosystem are intertwined with one another. Each organism has its unique place in the food chain, and by consuming and being consumed, they play a crucial role in the movement of matter and energy through the system. However, ecosystems are not static, and they are continually changing through external and internal factors such as climate, decomposition, disturbance, and succession. Ecosystem services, such as clean water and air, pollination of crops, and aesthetic beauty, are essential to human survival and are heavily impacted by human activities such as pollution, habitat fragmentation, and deforestation. The collapse of an ecosystem can have devastating effects on all organisms within the system, including humans. Thus ecosystem restoration is crucial to maintaining the delicate balance of these biological communities, which in turn supports the sustainability of life on earth.","biology, ecosystem, Survive, reproduce"
