target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
The Theorem of Conservation of Charge Flow,,Water in pipes,qwen3-32b,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,3,3,3.0,2.8889
plot,,Storyline,meta-llama-3-1-70b-instruct,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3.0,3.0,3.0,3.0,3,3,2,2.6667,3,3,3,3.0,2.8889
forest,,Ecosystem,meta-llama-3-1-8b-instruct,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,all_agree,gpt_deepseek,3.0,3.0,3.0,3.0,3,3,2,2.6667,3,3,3,3.0,2.8889
DNA Double Helix Structure,,Twisted ladder,qwen3-32b,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,3,3,3.0,2.8889
Electromagnetic resonance cavity,,Laser cavity,meta-llama-3-1-70b-instruct,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,3,3,3.0,2.8889
Chiral Molecules,,Handedness,gpt-4.1-nano,withsub,baseline,stage2_withsub,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,3,3,3.0,2.8889
Sherlock Holmes,,Detective,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,3,3,3.0,2.8889
Chiral Molecules,,Hands (left/right),qwen3-32b,targetonly,baseline,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,3,3,3.0,2.8889
Enantiomers,,Left and right hands,qwen3-32b,targetonly,baseline,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,3,3,3.0,2.8889
Enantiomers,,Left and right hands,qwen3-32b,targetonly,embedding,stage2_targetonly,gpt_deepseek,all_agree,gpt_deepseek,all_agree,3.0,3.0,3.0,3.0,3,2,3,2.6667,3,3,3,3.0,2.8889
