model,metric,n_pairs,mean_no_desc,mean_with_desc,delta_mean,wilcoxon_stat,p_value,significant_0.05
deepseek-r1,avg_fuzzy_score,400,0.5044760611694117,0.5337369818162344,0.02926092064682273,30503.0,8.379285977111143e-05,True
gemini-2.5-flash-lite,avg_fuzzy_score,400,0.5256264760062405,0.5814322773936391,0.05580580138739866,23420.0,6.248851717043923e-11,True
gpt-4.1-mini,avg_fuzzy_score,400,0.5264583368858722,0.5657058906465763,0.0392475537607041,27071.0,3.949524453786036e-06,True
gpt-4.1-nano,avg_fuzzy_score,400,0.5405948607583972,0.546864055579833,0.006269194821435731,30450.5,0.06032953687294084,False
gpt-oss-120b,avg_fuzzy_score,400,0.5086024837705293,0.5199354982148691,0.011333014444339762,30697.5,0.006481533663612025,True
gpt-oss-20b,avg_fuzzy_score,400,0.5119112495192639,0.5236375706478279,0.011726321128563977,33591.5,0.12169775722478655,False
grok-4-fast,avg_fuzzy_score,400,0.481998112787864,0.5296605577048795,0.047662444917015545,22118.5,3.0030717290514206e-14,True
llama-3.1-405b-instruct,avg_fuzzy_score,400,0.523013329927405,0.5897097672062483,0.06669643727884333,22671.0,1.691679080076787e-12,True
meta-llama-3-1-70b-instruct,avg_fuzzy_score,400,0.5331487361003531,0.5880676013916541,0.05491886529130108,24245.0,9.034051712151676e-11,True
meta-llama-3-1-8b-instruct,avg_fuzzy_score,400,0.5191415225228208,0.567290518878384,0.048148996355563245,24785.0,1.4320094508598792e-09,True
qwen3-14b,avg_fuzzy_score,400,0.5026988911008684,0.541318640269487,0.038619749168618545,28044.0,1.1073571050291173e-06,True
qwen3-32b,avg_fuzzy_score,400,0.5116660779017981,0.5469945411686099,0.03532846326681183,30388.0,9.171030940479066e-05,True
