id,target,gold_source,top_10_sources,llm_selected_sources,reranker_reasoning,gold_rank,status,condition
1,biological clock,clock,"['Biological Evolution', 'clock', 'bacterial mutation', 'Evolution', 'Ecosystem', 'day and night cycle', 'Time Machine', 'Human Body', 'wrinkles', 'life']","['clock', 'day and night cycle', 'wrinkles']","To select the best analogous source concepts for the biological clock, we need to analyze the target concept and its properties, and then review each candidate source and its information. The biological clock refers to the internal rhythms and processes that govern the body's physiological changes, such as the ageing process and menstrual cycle. We are looking for source concepts that are familiar, have strong structural/functional correspondence with the target, and are from different domains (far-field analogies).

Based on these criteria, we can eliminate some candidates that are too similar or too unrelated to the biological clock. For example, ""Biological Evolution"" and ""Evolution"" are related to the biological clock, but they are more focused on the long-term changes in species over generations, rather than the internal rhythms and processes of an individual organism. ""Bacterial mutation"" is also not a good fit, as it refers to the genetic changes in bacteria, which is not directly related to the biological clock.

On the other hand, ""clock"" is a good candidate, as it is a familiar concept that measures time and has a strong structural correspondence with the biological clock, which also governs the body's internal rhythms and processes. ""Day and night cycle"" is another good candidate, as it is a natural phenomenon that occurs as a result of the Earth's rotation, and has a functional correspondence with the biological clock, which also responds to environmental changes. Finally, ""wrinkles"" is a good candidate, as it is a natural part of the ageing process, which is one of the key aspects of the biological clock.",1,success,name_description
2,Biosphere,Library,"['Ecosystem', 'ecosystem', 'Biological Evolution', 'Circular Economy', 'Desert', 'Greenhouse', 'life', 'Evolution', 'The Real World', 'Skin System']","['Circular Economy', 'Skin System', 'Ecosystem']","To find the best analogous source concepts for the target concept ""Biosphere"", we need to analyze the properties of the biosphere and review each candidate source. The biosphere is a complex system that encompasses all ecosystems on Earth, including the interactions between living organisms and their environment. We are looking for source concepts that are familiar, have strong structural/functional correspondence with the biosphere, and are from different domains (far-field analogies).

After reviewing the candidate sources, we can eliminate ""ecosystem"" and ""life"" as they are too similar to the target concept and do not provide a far-field analogy. ""Biological Evolution"" and ""Evolution"" are also not suitable as they are processes that occur within the biosphere, rather than analogous systems. ""Desert"" and ""Greenhouse"" are specific environments within the biosphere, but they do not capture the complexity and scope of the biosphere. ""The Real World"" is a television series and is not relevant to the concept of the biosphere.

The three selected candidates are: ""Circular Economy"", ""Skin System"", and ""Ecosystem"" (the first one, not the duplicate). The ""Circular Economy"" is a system that aims to tackle global challenges such as climate change and waste, which are also relevant to the biosphere. The ""Skin System"" is a complex system that protects, regulates, and senses external factors, similar to how the biosphere interacts with its environment. The ""Ecosystem"" (first one) is a complex network of biological species and their surrounding physical environment, which is similar to the biosphere but on a smaller scale.",-1,success,name_description
3,Respiratory system,engine,"['respiration', 'Air handling system', 'Human Body', 'air circulation ducts', 'air filter', 'Australian Parliamentary System', 'the skeletal system', 'lubrication system', 'sound system', 'sounds']","['Air handling system', 'air filter', 'the skeletal system']","To select the best analogous source concepts for the respiratory system, we need to analyze the target concept and its properties, and then review each candidate source and its information. The respiratory system is a critical biological system used for gas exchange in both animals and plants. Therefore, we should look for source concepts that have similar functions or structures, but are from different domains.

The air handling system is a good analogy because it also regulates and circulates air, although in a mechanical context. The air filter is another good candidate because it removes impurities from the air, similar to how the respiratory system removes carbon dioxide and other waste products. The human body is not a good candidate because it is too general and does not provide a specific analogy for the respiratory system.

The other candidates are not suitable because they are either unrelated to air or gas exchange (such as the Australian Parliamentary System, the skeletal system, the lubrication system, and the sound system), or they are too vague or general (such as respiration, air circulation ducts, and sounds).",-1,success,name_description
4,Spread of Pathogens,Spread of Fire,"['Spread of Fire', 'Disease', 'Population Movement', 'Crowd', 'bacterial mutation', 'illness', 'Information Flow', 'Diseases', 'air circulation ducts', 'Wave Propagation']","['Spread of Fire', 'Information Flow', 'Wave Propagation']","To select the best analogous source concepts for the target concept ""Spread of Pathogens,"" we need to analyze the properties of the target concept and review each candidate source. The target concept involves the spread of disease-causing agents in crowded environments, which can lead to significant harm. We are looking for source concepts that are familiar, have strong structural or functional correspondence with the target, and are from different domains (far-field analogies).

The top 3 selected candidates are:

1. Spread of Fire: This concept has a strong structural correspondence with the spread of pathogens, as both involve the rapid spread of a harmful agent. Fire can cause significant damage, just like the spread of pathogens can cause harm to individuals.
2. Information Flow: This concept has a functional correspondence with the spread of pathogens, as both involve the transmission of information or agents from one point to another. Understanding how information flows can help us understand how pathogens spread.
3. Wave Propagation: This concept has a structural correspondence with the spread of pathogens, as both involve the propagating dynamic disturbance of one or more quantities. Wave propagation can help us understand how pathogens spread through a population.",1,success,name_description
5,Gene editing,kirigami,"['bacterial mutation', 'edit', 'Evolution', 'program', 'Computer Code', 'Program Error', 'Printing', 'Gourmet', 'Chemical Reactions', 'natural selection']","['edit', 'program', 'Computer Code']","To select the best analogous source concepts for gene editing, we need to analyze the properties of gene editing and find familiar concepts that can help explain it. Gene editing involves making targeted changes to an organism's DNA, which is a complex and precise process. We should look for concepts that involve similar processes, such as editing or modifying existing information.

After reviewing the candidate sources, we can eliminate those that are not relevant to the process of modifying or editing information, such as bacterial mutation, evolution, natural selection, gourmet, and printing. These concepts do not have a strong structural or functional correspondence to gene editing.

The remaining candidates are edit, program, computer code, program error, and chemical reactions. Among these, edit, program, and computer code are the most promising because they involve modifying or editing existing information, which is similar to the process of gene editing.",-1,success,name_description
6,Water Cycle,Circular Economy,"['Wave Propagation', 'Water pipe system', 'Conservation of Water Flow', 'heat transfer', 'tidal phenomena', 'Water Wave Propagation', 'Circular Economy', 'River', 'Skin System', 'Vortex']","['Wave Propagation', 'tidal phenomena', 'heat transfer']","To select the best analogous source concepts for the Water Cycle, we need to analyze the target concept and its properties, and then review each candidate source and its information. The Water Cycle is a complex biogeochemical cycle that involves various physical processes such as evaporation, transpiration, condensation, and precipitation. Therefore, we are looking for source concepts that have similar structural and functional properties.

After reviewing the candidate sources, we can eliminate those that are too similar to the Water Cycle or do not have enough structural and functional correspondence. For example, the Water pipe system and River are too similar to the Water Cycle, while the Circular Economy and Skin System do not have enough structural and functional correspondence.

The top 3 selected candidates are:

1. Wave Propagation: This phenomenon has a similar structural and functional property to the Water Cycle, as it involves the propagating dynamic disturbance of one or more quantities. The wave propagation process can be compared to the movement of water in the Water Cycle.
2. Tidal Phenomena: Tidal phenomena have a strong structural and functional correspondence to the Water Cycle, as they involve the natural rise and fall of sea levels due to gravitational forces. This process can be compared to the movement of water in the Water Cycle.
3. Heat Transfer: Heat transfer has a similar structural and functional property to the Water Cycle, as it involves the generation, conversion, use, and exchange of thermal energy between physical systems. This process can be compared to the energy transfer in the Water Cycle.",-1,success,name_description
7,Cell division,the factory's production line,"['bacterial mutation', 'Evolution', 'program', 'A Distributed Computing System', 'wrinkles', 'Circular Economy', 'Factory', 'Healing', 'Disassembly', 'The Helix Bridge']","['A Distributed Computing System', 'Disassembly', 'Factory']","To find the best analogous source concepts for the target concept of ""cell division,"" we need to analyze the properties of cell division and review each candidate source. Cell division is a complex process that involves replication, separation, and splitting, ultimately resulting in the creation of new cells.

The best analogies will come from source concepts that have similar structural or functional properties. We prefer sources from different domains (far-field analogies) as they can provide unique insights into the target concept.

After reviewing the candidate sources, we can identify the top 3 candidates that make the best analogies for cell division.",3,success,name_description
8,Origin of Life,Chemical Reactions,"['Evolution', 'life', 'Biological Evolution', 'Desert', 'Ancient Rome', 'bacterial mutation', 'Foundation Series', 'Ecosystem', 'Plants', 'respiration']","['Desert', 'Ecosystem', 'bacterial mutation']","To find the best analogous source concepts for the origin of life, we need to analyze the properties of the target concept and review each candidate source. The origin of life involves the process of life arising from non-living matter, which includes stages such as prebiotic synthesis of organic molecules, molecular self-replication, and self-assembly. We should select sources that are familiar, help explain the unfamiliar target, and have strong structural or functional correspondence with the target.

Based on these criteria, we can eliminate sources that are too similar to the target concept, such as ""life"" and ""Biological Evolution"", as they may not provide a unique perspective. We can also eliminate sources that are not directly related to the target concept, such as ""Ancient Rome"" and ""Foundation Series"".

The selected sources should be from different domains and have a strong structural or functional correspondence with the target concept. ""Desert"" can be a good analogy as it is a harsh environment where life struggles to survive, similar to the conditions on early Earth. ""Ecosystem"" is another good analogy as it consists of both living and non-living components, similar to the origin of life. ""bacterial mutation"" is also a good analogy as it involves the process of genetic change, which is similar to the process of molecular self-replication in the origin of life.",-1,success,name_description
9,The Genetic Code,The Writing System,"['Computer Code', 'Deciphering the Code', 'bacterial mutation', 'Program Error', 'code', 'The Neural Network of Computers', 'program', 'Evolution', 'The Nervous System', 'Molecular Symmetry']","['Computer Code', 'The Neural Network of Computers', 'Deciphering the Code']","To find the best analogous source concepts for the genetic code, we need to analyze the properties of the genetic code and review each candidate source. The genetic code is a set of instructions that dictate how information encoded in DNA or RNA is translated into proteins. We are looking for sources that have a strong structural/functional correspondence with the genetic code and are from different domains.

The genetic code can be viewed as a set of instructions or a language that is used to translate genetic information into proteins. With this in mind, we can look for sources that involve codes, languages, or translation processes.",-1,success,name_description
10,Ecosystem,Machines,"['Ecosystem', 'ecosystem', 'forest', 'Circular Economy', 'Evolution', 'Skin System', 'Biological Evolution', 'Plants', 'Desert', 'Greenhouse']","['Circular Economy', 'Skin System', 'Greenhouse']","To select the best analogous source concepts for the target concept ""Ecosystem"", we need to analyze the properties of an ecosystem and find sources that have similar structural and functional correspondences. An ecosystem is a complex biological community with interacting components, delicate balance, and continuous cycling of nutrients and energy. Based on these properties, we can look for sources that have similar characteristics, such as complex networks, interacting components, and balance. We also prefer sources from different domains (far-field analogies) to help explain the unfamiliar target concept.",-1,success,name_description
