id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,"changes, state, adjust","[""Alarm clock"", ""Thermostat"", ""Traffic light"", ""Calendar"", ""Weather cycle"", ""Hourglass"", ""Sleep timer"", ""Circadian rhythm"", ""Menstrual cycle"", ""Migration pattern"", ""Hibernation cycle"", ""Tidal cycle"", ""Sunrise and sunset"", ""Automated sprinkler system"", ""Heating and cooling system"", ""Day and night cycle"", ""Seasonal change"", ""Plant growth cycle"", ""Animal migration cycle"", ""Harvest cycle""]","[""settings, mode, reset"", ""temperature fluctuations, set point, calibration"", ""phases, color, timing"", ""events, date, update"", ""storms, conditions, adaptation"", ""flow, level, tilt"", ""settings, mode, reset"", ""phases, period, entrainment"", ""phases, hormonal balance, regulation"", ""routes, season, adaptation"", ""torpor transitions, dormancy levels, environmental adaptation"", ""ebb and flow, tide level, adapt to coastlines"", ""phases, light, timing"", ""water pressure, on/off, timer"", ""temperature fluctuations, , "", ""phases, period, transition"", ""phases, weather, adaptation"", ""seasonal changes, growth stage, adaptation"", ""seasons, habitat, adaptation"", ""seasons, growth, yield""]","The biological clock refers to the internal mechanisms that regulate the physiological processes of living organisms over a 24-hour period. To generate analogies, we can consider systems or devices that also undergo changes, adjust to different states, or have cyclical patterns.",success
2,Biosphere,"[""Library""]",1,"biology, biodiversity, ecosystem","[""City"", ""Web"", ""Organism"", ""Economy"", ""Network"", ""Garden"", ""Community"", ""System"", ""Planet"", ""Society"", ""Food chain"", ""Circulatory system"", ""Weather pattern"", ""Population"", ""Nervous system"", ""Forest"", ""Corporation"", ""Supply chain"", ""Immune system"", ""Galaxy""]","[""demographics, cultural diversity, infrastructure"", ""content, variety of websites, network"", ""cells, organs, tissues"", ""industry, market diversity, market system"", ""nodes, diverse connections, sub-network"", ""botany, variety of plants, garden environment"", ""residents, variety of residents, neighborhood"", ""components, variety, subsystem"", ""geology, geodiversity, landscape"", ""demographics, cultural diversity, community"", ""organisms, , "", ""anatomy, cell types, organ structure"", ""atmospheric conditions, storm variations, climate zones"", ""demographics, diversity, community"", ""neurons, synapses, network"", ""trees, wildlife, habitat"", ""employees, , "", ""products, variety of suppliers, network of producers and consumers"", ""cells, antibodies, organs"", ""astrophysics, stellar diversity, star system""]","The biosphere is a complex system that encompasses all living organisms and their interactions with the environment. To create analogies for the biosphere, we can consider other systems or concepts that share similar characteristics, such as interconnectedness, diversity, and dynamic balance.",success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,"oxygen, the lungs, breathing muscles","[""Air conditioning system"", ""Water filtration system"", ""Car engine"", ""Bicycle pump"", ""Factory conveyor belt"", ""Tree roots"", ""River delta"", ""Electric circuit"", ""Sewer system"", ""Oil refinery"", ""Percolator"", ""Fish gills"", ""Swamp ecosystem"", ""Ventilation shaft"", ""Blood circulation"", ""Coffee maker"", ""Propane tank"", ""Scuba gear"", ""Furnace"", ""Irrigation system""]","[""cool air, evaporator coils, compressor"", ""clean water, filter unit, pump"", ""fuel, cylinders, pistons"", ""air, pump chamber, pump handle"", ""raw materials, assembly line, motors"", ""nutrients, root hairs, osmotic pressure"", ""fresh water, wetlands, river currents"", ""electricity, battery, switch"", ""water, treatment plant, pumps"", ""refined oil, fractionating column, pumps"", ""coffee, grounds container, heating element"", ""water, gills, gill rakers"", ""nutrients, water plants, water currents"", ""air, ventilation chamber, fans"", ""nutrients, the heart, cardiac muscles"", ""coffee, filter, pump"", ""propane, tank, regulator valve"", ""air supply, scuba tank, regulator valve"", ""fuel, combustion chamber, blower"", ""water, crops, pumps""]","The respiratory system is a complex network of organs and tissues that work together to bring oxygen into the body and remove carbon dioxide. To find analogies for this system, we can look for other systems or processes that involve the exchange or transportation of essential resources.",success
4,Spread of Pathogens,"[""Spread of Fire""]",1,"pathogen, crowd, Prevention and control measures","[""Ripple Effect"", ""Wildfire Spread"", ""Social Media Viral Post"", ""Crowd Wave"", ""Insect Infestation"", ""Weed Growth"", ""Oil Spill"", ""Nuclear Chain Reaction"", ""Gossip Spread"", ""Floodwaters"", ""Traffic Congestion"", ""Air Pollution"", ""Forest Fire"", ""Bacterial Growth in Food"", ""Viral Marketing"", ""Snowball Effect"", ""Avalanche"", ""Electricity Flow"", ""Water Contamination"", ""Computer Virus Spread""]","[""stone, water, barrier"", ""spark, dry underbrush, firebreaks"", ""Viral Post, Online Community, Content Moderation"", ""wave source, audience, barriers"", ""insect, colony, Pest control methods"", ""weed, garden, Weed control methods"", ""Oil, Marine Ecosystem, Containment and Cleanup Efforts"", ""neutron, critical mass, control rods"", ""rumor, social network, damage control"", ""water, surrounding area, Levees and floodwalls"", ""vehicle, traffic, traffic management"", ""pollutant, population, Emissions regulations"", ""spark, dry underbrush, firebreaks"", ""bacteria, food container, refrigeration and handling practices"", ""message, audience, targeting strategy"", ""Initial Spark, Rolling Snowball, Friction"", ""snow, mountain base, Avalanche control methods"", ""Electric Current, Conductive Material, Insulation and Circuit Breakers"", ""contaminant, water source, filtration systems"", ""Malware, Network, Firewall""]",The spread of pathogens can be understood through various analogies that illustrate how quickly and easily something can disseminate through a crowd or network. These analogies highlight the importance of prevention and control measures to mitigate the spread.,success
5,Gene editing,"[""kirigami""]",1,"Gene, CRISPR-Cas9 Technology, edited gene","[""Text editing"", ""Photo editing"", ""Surgery"", ""Gardening"", ""Computer programming"", ""Word processing"", ""Film editing"", ""Music editing"", ""Crafting"", ""Puzzle solving"", ""Blueprint modification"", ""Recipe alteration"", ""Tailoring"", ""Language translation"", ""Data correction"", ""Map editing"", ""Book revision"", ""Code debugging"", ""Art restoration"", ""Document revision""]","[""Text, Editing Tool, revised text"", ""Photo, Editing Software, edited photo"", ""Tissue, Scalpel, incision site"", ""Plant, Pruning Tool, Grafted Plant"", ""Variable, Compiler, Modified Code"", ""Document, Editing Tool, Revised Text"", ""Scene, Editing Software, Final Cut"", ""Song, Editing Software, remixed song"", ""Material, Tool, Finished Product"", ""Puzzle piece, Tool, Completed puzzle"", ""Blueprint, Editing Tool, Revised Blueprint"", ""Ingredient, Editing tool, altered recipe"", ""Fabric, Sewing Machine, altered garment"", ""Text, Translation Algorithm, Translated text"", ""Data, Correction Tool, corrected data"", ""Location, Editing Tool, Revised Map"", ""Book, Editing Tool, revised chapter"", ""Code, Debugger, patched code"", ""Painting, Restoration tools, restored artwork"", ""Document, Editing Tool, revised document""]","Gene editing involves making precise changes to the DNA sequence of an organism. This process can be likened to various everyday activities that involve editing, correcting, or modifying existing information or structures.",success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,"water, processing facility, plumbing system","[""Refrigeration System"", ""Air Conditioning Unit"", ""Blood Circulation"", ""Oil Refinery"", ""Wastewater Treatment Plant"", ""Carbon Cycle"", ""Food Chain"", ""Supply Chain"", ""Heating System"", ""Cooling System"", ""Weather Pattern"", ""Ecosystem"", ""Fuel Cycle"", ""Breathing Process"", ""Sewage System"", ""Irrigation System"", ""Water Filtration System"", ""Climate Regulation"", ""Photosynthesis"", ""Nitrogen Cycle""]","[""refrigerant, condenser coils, copper tubing"", ""coolant, compressor, ductwork"", ""blood, heart, blood vessels"", ""crude oil, refinery, pipeline"", ""wastewater, treatment plant, sewer system"", ""carbon, photosynthesis site, respiration pathway"", ""nutrient, farm, food distribution"", ""product, warehouse, distribution network"", ""heat, boiler, ductwork"", ""coolant, radiator, hoses"", ""air, forecasting station, wind pattern"", ""nutrient, habitat, food chain"", ""fuel, refinery, pipeline"", ""air, lungs, airways"", ""wastewater, treatment plant, sewer network"", ""water supply, pump station, pipeline"", ""input water, filter unit, pipework"", ""air, greenhouse, ventilation system"", ""carbon dioxide, chloroplast, vascular tissue"", ""nitrogen, soil, root system""]","The water cycle can be thought of as a complex system that involves the continuous movement of water on, above, and below the surface of the Earth. This process can be likened to various man-made and natural systems that involve the circulation, transformation, and recycling of materials or substances.",success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,"cell, dna, cell organelle, cytoplasm","[""Baking a cake"", ""Assembly line production"", ""Puzzle piece separation"", ""Book copying"", ""City planning"", ""Gardening"", ""Computer programming"", ""Building construction"", ""Musical composition"", ""Dance choreography"", ""Recipe scaling"", ""Map duplication"", ""Furniture assembly"", ""Game level design"", ""Video editing"", ""Theme park layout"", ""Network configuration"", ""Franchise expansion"", ""Lego structure building"", ""Symphony orchestra arrangement""]","[""cake, recipe, mixer, batter"", ""product, blueprint, component, raw material"", ""puzzle, pattern, piece shape, piece frame"", ""book, text, book section, binding"", ""district, blueprint, infrastructure, public space"", ""plot, seeds, gardening tools, soil"", ""program, source code, library, runtime environment"", ""building, blueprint, subcontractor, construction material"", ""melody, harmony, instrument, rhythm"", ""dancer, script, prop, stage"", ""dish, ingredients, kitchen tools, broth"", ""map, layout, map feature, map space"", ""furniture piece, instruction manual, component part, packaging material"", ""game level, game code, level components, game environment"", ""clip, footage, media asset, project file"", ""themed area, blueprint, attraction, park grounds"", ""device, firmware, hardware component, operating system"", ""franchise, business model, departments, resources"", ""Lego brick, blueprint, Lego component, cement"", ""musician, sheet music, instrument, stage""]","Cell division is a complex biological process that involves the replication and separation of cellular components. To generate analogies for this concept, we can consider other processes or systems that involve replication, separation, or reorganization of components.",success
8,Origin of Life,"[""Chemical Reactions""]",1,"cell, evolution, natural selection","[""Primordial Soup"", ""Building Blocks"", ""Chemical Reaction"", ""Evolutionary Tree"", ""Genetic Blueprint"", ""Self-Replicating Machine"", ""Environmental Adaptation"", ""Molecular Assembly"", ""Cellular Factory"", ""Natural Laboratory"", ""Emergent System"", ""Complex Network"", ""Energy Transformation"", ""Information Storage"", ""Random Mutation"", ""Selection Pressure"", ""Growth and Development"", ""Catalyst for Change"", ""Organic Compound"", ""Biological Algorithm""]","[""droplet, chemical change, concentration"", ""brick, construction, quality control"", ""reaction vessel, reaction progression, reaction optimization"", ""branch, growth, pruning"", ""DNA Sequence, Mutation Rate, Gene Expression"", ""sub-unit, iteration, optimization"", ""ecosystem, adaptation process, survival mechanism"", ""component, rearrangement, optimization"", ""production line, factory upgrade, quality control"", ""workstation, experimentation, trial and error"", ""component, adaptation, feedback loop"", ""node, growth, pruning"", ""Battery, Conversion, Efficiency"", ""hard drive, , "", ""organism, genetic drift, adaptation"", ""population, adaptation, selection pressure"", ""organ, maturation, adaptation"", ""Triggering Event, Transformation Process, Adaptive Response"", ""molecule, synthesis, chemical reaction"", ""data structure, optimization, selection function""]","The origin of life is a complex and multifaceted concept that can be understood through various analogies. These analogies can help explain the process of how life emerged on Earth, the role of cells, evolution, and natural selection in this process.",success
9,The Genetic Code,"[""The Writing System""]",1,"dna sequence, RNA, Ribosome, protein","[""Blueprints"", ""Recipe Book"", ""Computer Algorithm"", ""Telephone Switchboard"", ""Map Legend"", ""Musical Score"", ""Barcode Scanner"", ""Language Dictionary"", ""Traffic Light System"", ""Assembly Line Instructions"", ""Zip Code System"", ""Cryptography Key"", ""Piano Roll"", ""Film Script"", ""Game Code"", ""Railway Signaling System"", ""Braille Alphabet"", ""Morse Code"", ""Semaphore Flags"", ""Typewriter Keyboard Layout""]","[""architectural plans, instructions, construction site, building"", ""Ingredients List, Recipe Instructions, Kitchen Appliance, Finished Dish"", ""Input Data, Intermediate Code, Processor, Output"", ""Phone Number, Caller's Message, Switchboard Operator, Connected Call"", ""Geographic Coordinates, Map Symbols, Map Key, Location"", ""Sheet Music, Conductor's Notes, Orchestra, Harmony"", ""Barcode, Scanner Input, Decoder, Product"", ""Alphabet, Words, Translator, Sentence"", ""Traffic Signs, Traffic Signal, Intersection, Vehicle"", ""Blueprint, Work Order, Assembly Station, Finished Product"", ""Street Address, Mail Carrier, Post Office, Delivered Package"", ""Encrypted Text, Decryption Algorithm, Decryption Engine, Decrypted Message"", ""Sheet Music, Perforated Paper, Player Piano, Musical Composition"", ""Screenplay, Dialogue, Film Director, Final Movie"", ""Game Script, Game Instructions, Game Engine, Game Character"", ""Railway Tracks, Signal Wires, Signal Box, Train"", ""Braille Cells, Tactile Page, Braille Reader, Translated Text"", ""dot sequence, Transmission Method, Decoder, Message"", ""Flag Pattern, Signal Sequence, Flagpole, Message"", ""Keyboard Keys, Typed Text, Typewriter Machine, Printed Page""]","The Genetic Code is a set of rules used by living cells to translate information encoded within genetic material (DNA or RNA sequences) into proteins. To find analogies for this concept, we can look at other systems that involve translation, coding, or the transmission of information.",success
10,Ecosystem,"[""Machines""]",1,"biology, ecosystem, Survive, reproduce","[""City"", ""Family"", ""Computer Network"", ""Economy"", ""Garden"", ""School"", ""Community"", ""Human Body"", ""Farm"", ""Forest"", ""Corporation"", ""Social Media"", ""Transportation System"", ""Food Web"", ""University"", ""Government"", ""Water Cycle"", ""Weather System"", ""Population"", ""Bee Colony""]","[""infrastructure, community, thrive, grow"", ""relationships, household, thrive, grow"", ""infrastructure, network, function, replicate"", ""industry, market, thrive, grow"", ""botany, garden, thrive, grow"", ""curriculum, classroom, learn, graduate"", ""sociology, neighborhood, thrive, grow"", ""physiology, body, homeostasis, regeneration"", ""crops, fields, yield, harvest"", ""trees, habitat, grow, regenerate"", ""industry, organization, profit, expand"", ""network, platform, thrive, share"", ""infrastructure, transportation network, function, expand"", ""organisms, habitat, prey, predators"", ""departments, campus, graduate, recruit"", ""citizenship, society, thrive, grow"", ""evaporation, atmosphere, condensation, precipitation"", ""atmosphere, weather pattern, sustain, regenerate"", ""demographics, community, thrive, grow"", ""Colony Structure, Hive Environment, Forage, Brood""]","Ecosystems are complex networks of living organisms and their environment, where each component interacts and affects the others. To find analogies for ecosystems, we can look for systems or networks that exhibit similar characteristics, such as interconnectedness, interdependence, and dynamic balance.",success
