model,metric,n_pairs,mean_no_desc,mean_with_desc,delta_mean,wilcoxon_stat,p_value,significant_0.05
deepseek-r1,semantic_match_accuracy,400,0.22697546897546897,0.31028807303807304,0.08331260406260407,6983.0,5.650061145120144e-07,True
gemini-2.5-flash-lite,semantic_match_accuracy,400,0.24329374098124099,0.38188144494394494,0.13858770396270395,7137.0,4.929469637852258e-13,True
gpt-4.1-mini,semantic_match_accuracy,400,0.2501220238095238,0.3425198551448551,0.0923978313353313,5320.5,1.8530755082168383e-08,True
gpt-4.1-nano,semantic_match_accuracy,400,0.24045932539682538,0.2525964035964036,0.012137078199578238,5656.5,0.48583347910421015,False
gpt-oss-120b,semantic_match_accuracy,400,0.18033757215007212,0.22364846264846264,0.043310890498390514,4485.5,0.0008099618174954618,True
gpt-oss-20b,semantic_match_accuracy,400,0.20311867993117994,0.25195528776778775,0.048836607836607815,5474.0,5.679373224648204e-05,True
grok-4-fast,semantic_match_accuracy,400,0.1960368867243867,0.3318672854922855,0.1358303987678988,4963.0,3.8884244901443872e-16,True
llama-3.1-405b-instruct,semantic_match_accuracy,400,0.23070621739371738,0.3617029637029637,0.1309967463092463,5706.5,4.121056794239178e-13,True
meta-llama-3-1-70b-instruct,semantic_match_accuracy,400,0.250091810966811,0.394595911033411,0.14450410006660003,5578.5,1.0040326738678724e-15,True
meta-llama-3-1-8b-instruct,semantic_match_accuracy,400,0.23791089466089466,0.3217051282051282,0.08379423354423354,8747.0,1.9324637491253717e-06,True
qwen3-14b,semantic_match_accuracy,400,0.18926980658230658,0.30478900266400266,0.11551919608169608,5068.0,1.7456133488110066e-12,True
qwen3-32b,semantic_match_accuracy,400,0.209612339049839,0.3054419538794539,0.09582961482961488,5686.0,9.12983830756716e-09,True
