model,metric,n_pairs,mean_no_desc,mean_with_desc,delta_mean,wilcoxon_stat,p_value,significant_0.05
deepseek-r1,exact_match_accuracy,400,0.043554563492063485,0.06488079975579975,0.02132623626373626,1008.0,0.004787734715686075,True
gemini-2.5-flash-lite,exact_match_accuracy,400,0.06167460317460317,0.12138792457542458,0.05971332140082141,2203.5,3.387017392566181e-07,True
gpt-4.1-mini,exact_match_accuracy,400,0.061960317460317466,0.10927104145854144,0.047310723998223975,827.0,2.11762613280569e-06,True
gpt-4.1-nano,exact_match_accuracy,400,0.08633630952380951,0.09652281746031745,0.010186507936507938,1937.5,0.26217345106282,False
gpt-oss-120b,exact_match_accuracy,400,0.06326488095238095,0.06606829975579975,0.0028034188034188057,1458.5,0.9812650854732703,False
gpt-oss-20b,exact_match_accuracy,400,0.07123133116883117,0.07351094044844045,0.002279609279609282,2037.0,0.8236951993252408,False
grok-4-fast,exact_match_accuracy,400,0.022482142857142853,0.043125,0.020642857142857143,254.5,0.0004888834173498553,True
llama-3.1-405b-instruct,exact_match_accuracy,400,0.06489880952380953,0.12645340076590075,0.06155459124209123,2820.0,9.07649746206771e-07,True
meta-llama-3-1-70b-instruct,exact_match_accuracy,400,0.08256944444444443,0.13275002775002773,0.050180583305583296,3708.5,6.206180063772815e-05,True
meta-llama-3-1-8b-instruct,exact_match_accuracy,400,0.08362797619047618,0.09632326007326007,0.01269528388278389,3553.0,0.27291181941350584,False
qwen3-14b,exact_match_accuracy,400,0.05635218253968254,0.08145123626373625,0.02509905372405371,1985.0,0.007036927286602984,True
qwen3-32b,exact_match_accuracy,400,0.05308351370851369,0.08026292457542457,0.027179410866910877,1805.5,0.01285342165288851,True
