id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,,"[""Watch"", ""Calendar"", ""Alarm"", ""Timer"", ""Sunrise"", ""Seasons"", ""Heartbeat"", ""Pendulum"", ""Metronome"", ""Clockwork"", ""Schedule"", ""Routine"", ""Compass"", ""Thermostat"", ""Traffic light"", ""Oven timer"", ""Stopwatch"", ""Sun dial"", ""Egg timer"", ""Bell""]",[],,success
2,Biosphere,"[""Library""]",1,,"[""Garden"", ""Aquarium"", ""Terrarium"", ""City"", ""Forest"", ""Zoo"", ""Farm"", ""Park"", ""Coral reef"", ""Neighborhood"", ""Web"", ""Community"", ""Island"", ""Jungle"", ""Playground"", ""Village"", ""Ecosystem"", ""Greenhouse"", ""Orchard"", ""Meadow""]",[],,success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,,"[""Pump"", ""Bellows"", ""Filter"", ""Lungs"", ""Fan"", ""Air conditioner"", ""Tree"", ""Balloon"", ""Tunnel"", ""Pipe"", ""Breathing tube"", ""Sponge"", ""Windmill"", ""Vacuum"", ""Furnace"", ""Conveyor"", ""Bellows"", ""Filter system"", ""Airway"", ""Ventilation system""]",[],,success
4,Spread of Pathogens,"[""Spread of Fire""]",1,,"[""Fire"", ""Rumor"", ""Waterfall"", ""Traffic"", ""Seeds"", ""Ink"", ""Waves"", ""Mold"", ""Echo"", ""Spill"", ""Wind"", ""Chain"", ""Virus"", ""Flood"", ""Smoke"", ""Bubbles"", ""Roots"", ""Threads"", ""Bees"", ""Drops""]",[],,success
5,Gene editing,"[""kirigami""]",1,,"[""Text editing"", ""Recipe rewriting"", ""Puzzle solving"", ""Painting correction"", ""Code debugging"", ""Sculpting"", ""Blueprint revising"", ""Gardening"", ""Sewing patch"", ""Map updating"", ""Music remixing"", ""Recipe tweaking"", ""Photo retouching"", ""Building renovation"", ""Car tuning"", ""Letter rewriting"", ""Software updating"", ""Puzzle rearranging"", ""Clay molding"", ""Document editing""]",[],,success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,,"[""Cycle"", ""Circle"", ""Loop"", ""Journey"", ""Path"", ""Rotation"", ""Flow"", ""Spin"", ""Orbit"", ""Roundabout"", ""Revolution"", ""Circuit"", ""Carousel"", ""River"", ""Cloud"", ""Steam"", ""Rain"", ""Evaporation"", ""Condensation"", ""Drip""]",[],,success
7,Cell division,"[""the factory's production line"", ""the replicator""]",2,,"[""Baking"", ""Copying"", ""Cloning"", ""Printing"", ""Folding"", ""Splitting"", ""Growing"", ""Multiplying"", ""Cutting"", ""Planting"", ""Building"", ""Sewing"", ""Painting"", ""Brewing"", ""Budding"", ""Assembling"", ""Harvesting"", ""Duplicating"", ""Dividing"", ""Mirroring""]",[],,success
8,Origin of Life,"[""Chemical Reactions""]",1,,"[""Seed"", ""Spark"", ""Egg"", ""Fire"", ""Bubble"", ""Recipe"", ""Puzzle"", ""Dawn"", ""Nest"", ""Cradle"", ""Blueprint"", ""Garden"", ""Lightbulb"", ""Wave"", ""Seedling"", ""Clay"", ""Bridge"", ""Path"", ""Bubble"", ""Nestling""]",[],,success
9,The Genetic Code,"[""The Writing System""]",1,,"[""Recipe"", ""Blueprint"", ""Alphabet"", ""Code"", ""Map"", ""Instruction"", ""Language"", ""Puzzle"", ""Manual"", ""Formula"", ""Pattern"", ""Signal"", ""Key"", ""Script"", ""DNA strand"", ""Lock"", ""Sequence"", ""Message"", ""Codebook"", ""Computer code""]",[],,success
10,Ecosystem,"[""Machines""]",1,,"[""Garden"", ""City"", ""Community"", ""Machine"", ""Neighborhood"", ""Team"", ""Web"", ""Forest"", ""Market"", ""Family"", ""Network"", ""School"", ""Factory"", ""Ocean"", ""Village"", ""Organism"", ""Puzzle"", ""Ecosystem"", ""System"", ""Colony""]",[],,success
11,Nervous System,"[""Circuits""]",1,,"[""Telephone"", ""Internet"", ""Roads"", ""Wires"", ""Mail"", ""Messenger"", ""Switchboard"", ""Highway"", ""Network"", ""Pipeline"", ""Circuit"", ""Relay"", ""Signal"", ""Conductor"", ""Router"", ""Messenger"", ""Control"", ""Dispatcher"", ""Map"", ""System""]",[],,success
12,Immune System,"[""Army"", ""Reactor""]",2,,"[""Army"", ""Security"", ""Firewall"", ""Police"", ""Guard"", ""Shield"", ""Castle"", ""Watchdog"", ""Alarm"", ""Gatekeeper"", ""Patrol"", ""Barrier"", ""Sentry"", ""Checkpoint"", ""Filter"", ""Defender"", ""Custodian"", ""Protector"", ""Sentinel"", ""Vaccine""]",[],,success
13,Cell Membranes,"[""Walls""]",1,,"[""Fence"", ""Wall"", ""Screen"", ""Gate"", ""Filter"", ""Envelope"", ""Door"", ""Bubble"", ""Shield"", ""Border"", ""Curtain"", ""Membrane"", ""Net"", ""Barrier"", ""Window"", ""Coating"", ""Skin"", ""Covering"", ""Shell"", ""Partition""]",[],,success
14,Protein folding,"[""a three-dimensional puzzle""]",1,,"[""Origami"", ""Paperclip"", ""Knitwear"", ""Puzzle"", ""Ribbon"", ""Clay"", ""Towel"", ""Slinky"", ""Map"", ""Wire"", ""Scarf"", ""String"", ""Necklace"", ""Tangle"", ""Coil"", ""Web"", ""Chain"", ""Knot"", ""Ribbon"", ""Fabric""]",[],,success
15,Photosynthesis,"[""Power Generation"", ""Solar Panels""]",2,,"[""Solar panel"", ""Oven"", ""Factory"", ""Battery"", ""Cookbook"", ""Kitchen"", ""Pump"", ""Photos"", ""Engine"", ""Plant"", ""Light bulb"", ""Waterwheel"", ""Mixer"", ""Chef"", ""Reactor"", ""Greenhouse"", ""Solar oven"", ""Battery charger"", ""Power plant"", ""Seed""]",[],,success
16,Platelets,"[""Construction Workers""]",1,,"[""Bandages"", ""Sponges"", ""Glue"", ""Plugs"", ""Patches"", ""Scabs"", ""Clamps"", ""Velcro"", ""Bricks"", ""Locks"", ""Buttons"", ""Tape"", ""Nails"", ""Magnets"", ""Corks"", ""Seals"", ""Hooks"", ""Staples"", ""Tiles"", ""Beads""]",[],,success
17,Genome,"[""Operating System""]",1,,"[""Blueprint"", ""Recipe"", ""Instruction"", ""Manual"", ""Map"", ""Code"", ""Library"", ""Plan"", ""Formula"", ""Script"", ""Pattern"", ""Guidebook"", ""Toolkit"", ""Catalog"", ""Directory"", ""Framework"", ""Outline"", ""Schedule"", ""Chart"", ""Playbook""]",[],,success
