id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
1,biological clock,"[""clock""]",1,"changes, state, adjust","[""Alarm clock"", ""Thermostat system"", ""Metronome rhythm"", ""Tide cycles"", ""Seasons rotation"", ""Cooking timer"", ""Heartbeat pace"", ""Traffic light"", ""Music conductor"", ""Sprinkler system"", ""Pendulum swing"", ""Moon phases"", ""Jet lag"", ""Factory shift"", ""School bell"", ""Engine timing"", ""Sleep schedule"", ""Farm harvest"", ""Watch mechanism"", ""Feeding routine""]","[""settings, mode, reset"", ""temperature fluctuations, thermal state, heating/cooling adjustment"", ""tempo, beat, sync"", ""ebbs and flows, water level, adapt to moon's gravitational pull"", ""phases, period, transition"", ""alarms, display, settings"", ""rhythm, pulse, regulate"", ""phases, color, timing"", ""tempo, harmony, beat"", ""water pressure, on/off, timer"", ""oscillations, position, dampening"", ""phases, illumination, cycle"", ""time zones, sleep patterns, adaptation"", ""Shift change, Operational mode, Schedule adjustment"", ""class periods, session, scheduling"", ""gear shift, idle speed, tune-up"", ""variations, patterns, adaptation"", ""crop rotation, season, yield management"", ""gears, time, regulation"", ""food portions, hunger level, meal times""]","Biological clock refers to innate mechanisms regulating cyclical physiological processes like sleep-wake cycles. Key sub-concepts provided are ""changes"" (temporal shifts), ""state"" (current physiological condition), and ""adjust"" (adaptation to external cues). Analogies were selected based on: 1) Cyclical/repetitive systems, 2) Internal state regulation, 3) External adaptability, 4) Familiar time/rhythm concepts. Sources span household objects, natural phenomena, and daily experiences to cover diverse aspects - from precise timing devices to organic rhythms that can be reset.",success
2,Biosphere,"[""Library""]",1,"biology, biodiversity, ecosystem","[""Living Planet"", ""Global Internet"", ""Human Body"", ""City Infrastructure"", ""Library of Life"", ""Symphony Orchestra"", ""Supply Chain"", ""Coral Reef"", ""Ant Colony"", ""Clockwork Mechanism"", ""Neural Network"", ""Ecosystem Engine"", ""Planetary Skin"", ""Living Mosaic"", ""Breathing Organism"", ""Water Cycle"", ""Community Garden"", ""Balanced Scale"", ""Evolving Tapestry"", ""Life Battery""]","[""Organisms, Species, Habitat"", ""network infrastructure, online services, cyber community"", ""physiology, organs, organ systems"", ""Population, Neighborhoods, Public Services"", ""books, , "", ""instruments, sections, orchestra"", ""products, variety of suppliers, network of distributors"", ""Marine Life, Species Variety, Reef Habitat"", ""ant anatomy, caste system, colony structure"", ""gears, components, mechanism"", ""neurons, layers, network"", ""Engine Design, Component Variety, System Network"", ""anatomy, complexity, layers"", ""cells, pieces, pattern"", ""organs, cells, body"", ""evaporation, condensation, precipitation"", ""plants, varieties, plots"", ""weight, varied objects, scale pan"", ""Threads, Patterns, Weave"", ""Chemistry, Cell Variety, Circuitry""]","The biosphere encompasses Earth's interconnected web of life, including all ecosystems and biodiversity. To generate analogies, I focused on systems demonstrating complexity, interdependence, self-regulation, and life-sustaining functions. Key aspects mapped include: planetary-scale organization (Living Planet), networked connections (Internet), life support mechanisms (Human Body), diversity management (Library), resource cycling (Supply Chain), and emergent harmony (Symphony). Each analogy highlights different dimensions of the biosphere's structure and function using universally familiar concepts.",success
3,Respiratory system,"[""engine"", ""Air handling system"", ""air circulation ducts""]",3,"oxygen, the lungs, breathing muscles","[""Bellows"", ""Air pump"", ""Sponge"", ""Car engine"", ""Tree roots"", ""Coffee filter"", ""Balloon"", ""Vacuum cleaner"", ""Scuba gear"", ""Wind currents"", ""Fireplace chimney"", ""Bicycle pump"", ""Spider webs"", ""Leaf stomata"", ""Air mattress"", ""Water filter"", ""Bagpipes"", ""River delta"", ""Tea strainer"", ""Tidal waves""]","[""air, bellows bag, handles"", ""air, pump chamber, motor"", ""water, pores, osculum"", ""fuel, cylinders, pistons"", ""nutrients, root hairs, osmotic pressure"", ""coffee, filter paper, gravity"", ""air, balloon interior, pumping action"", ""air, dust bag, suction motor"", ""air supply, scuba tank, regulator valve"", ""air, weather vanes, wind turbines"", ""air, hearth, draft"", ""air, pump chamber, pump handle"", ""flies, center of web, spider legs"", ""carbon dioxide, leaf interior, guard cells"", ""air, mattress chamber, pump"", ""clean water, filter membrane, pump"", ""air, bag, player's arm"", ""fresh water, wetlands, river currents"", ""tea leaves, strainer basket, handle"", ""water, shore, wind""]","The respiratory system involves gas exchange (oxygen intake, CO2 expulsion), mechanical processes (breathing muscles expanding/contracting lungs), and structural components (branching airways). Analogies should capture: 1) Exchange systems (filters, engines), 2) Mechanical pumps/bellows, 3) Elastic structures, 4) Protective barriers, 5) Natural flow systems. Sources range from household objects to biological/natural phenomena for broad familiarity.",success
4,Spread of Pathogens,"[""Spread of Fire""]",1,"pathogen, crowd, Prevention and control measures","[""Forest fire"", ""Rumor spreading"", ""Domino effect"", ""Computer virus"", ""Chain reaction"", ""Ink in water"", ""Falling dominos"", ""Contagious laughter"", ""Mail delivery"", ""Traffic jam"", ""Dandelion seeds"", ""Broken dam"", ""Telephone game"", ""Ant colony"", ""Flash mob"", ""Popcorn popping"", ""Echo chamber"", ""Water contamination"", ""Wildfire embers"", ""School bell""]","[""spark, dry underbrush, firebreaks"", """", ""domino, domino line, stopping mechanism"", ""Malware, Network, Firewall"", ""catalyst, reactants, inhibitors"", """", """", ""joke, audience, resistance to laughter"", """", ""vehicle, highway, traffic management"", """", """", """", """", """", ""kernel, popcorn batch, heat control"", """", """", """", """"]","The spread of pathogens involves disease-causing agents transmitting through populations via contact or environmental vectors, amplified in crowded settings. Prevention relies on interrupting transmission chains. Analogies should reflect: 1) Contagious propagation mechanisms 2) Population density effects 3) Containment strategies. Sources are drawn from everyday phenomena involving rapid dissemination, chain reactions, or containment across domains like nature, technology, and social behavior.",success
5,Gene editing,"[""kirigami""]",1,"Gene, CRISPR-Cas9 Technology, edited gene","[""Text editing"", ""Surgical operation"", ""Spell checker"", ""Find-replace"", ""Blueprint revision"", ""Car repair"", ""Photo retouching"", ""Recipe adjustment"", ""Tailoring clothes"", ""Software debugging"", ""Plumbing fix"", ""Map redrawing"", ""Lego rebuilding"", ""Art restoration"", ""Keyboard shortcuts"", ""Tree pruning"", ""Watch repair"", ""Film splicing"", ""Circuit rewiring"", ""Book editing""]","[""Text, Editing Tool, revised text"", """", """", """", ""Blueprint, Pencil, Revised blueprint"", ""Car Part, Repair Tool, Repaired Part"", ""Photo, Editing Software, retouched photo"", """", """", """", ""Pipe, Wrench, repaired pipe"", ""Location, Eraser Tool, Revised Boundary"", """", ""Painting, Restoration tools, restored artwork"", """", ""Branch, Pruning Tool, Pruned Branch"", """", """", """", ""Book, Red pen, Revised chapter""]","Gene editing involves precisely modifying DNA sequences, akin to targeted alterations in familiar systems. Key aspects include: identifying specific genetic segments (like locating text in a document), cutting/replacing DNA (similar to surgical removal), and achieving functional changes (comparable to repairing machinery). Analogies draw from everyday editing tools, repair processes, and creative adjustments to illustrate precision, intentional modification, and outcome-focused transformations. Sub-concepts (Gene, CRISPR-Cas9, edited gene) highlight components analogous to raw materials, specialized tools, and revised products.",success
6,Water Cycle,"[""Circular Economy"", ""Transportation Systems""]",2,"water, processing facility, plumbing system","[""Recycling process"", ""Blood circulation"", ""Washing machine"", ""Conveyor belt"", ""Coffee percolator"", ""Ferris wheel"", ""Air conditioning"", ""Composting"", ""Car radiator"", ""Fountain pump"", ""Dishwasher cycle"", ""Seasons rotation"", ""Ecosystem food chain"", ""Solar water heater"", ""Breathing process"", ""Sprinkler system"", ""Steam engine"", ""Ocean tides"", ""Hydraulic circuit"", ""Life cycle""]","[""raw material, recycling plant, collection system"", ""blood, heart, blood vessels"", ""detergent, drum, hoses"", """", """", """", ""coolant, compressor unit, ductwork"", """", """", """", ""detergent, dishwasher, water supply hoses"", """", """", """", """", """", ""steam, boiler, pipes"", """", """", """"]","The water cycle describes Earth's continuous water movement through evaporation, condensation, precipitation, and collection. The sub-concepts (water as substance, processing facility as transformation system, plumbing system as distribution network) suggest analogies emphasizing cyclical flow, transformation stages, and closed-loop systems. I'll generate 20 familiar source concepts that mirror these aspects: natural cycles (like seasons), engineered systems (like appliances), and everyday loops (like recycling). Each analogy captures key water cycle elements—phase changes, transportation, or renewal—in universally recognizable 1-3 word terms.",success
9,The Genetic Code,"[""The Writing System""]",1,"dna sequence, RNA, Ribosome, protein","[""Blueprint"", ""Recipe book"", ""Computer program"", ""Assembly line"", ""Language translator"", ""Musical score"", ""Morse code"", ""Instruction manual"", ""Traffic signals"", ""Lego instructions"", ""Dictionary"", ""Factory machine"", ""Cooking recipe"", ""Encrypted message"", ""Railroad switchyard"", ""Conveyor belt"", ""Alphabet letters"", ""Puzzle solution"", ""City map"", ""IKEA guide""]","[""architectural plan, building instructions, construction site, finished building"", ""Ingredients List, Recipe Instructions, Kitchen Appliance, Finished Dish"", """", """", """", ""Sheet Music, Conductor's Notes, Orchestra, Symphony"", ""message, transmission signal, decoder, decoded message"", ""Blueprint, Instructions, Assembly Line, Final Product"", ""road signs, traffic updates, intersection, vehicle"", """", ""Entry Word, Definition, Translator, Translated Text"", """", """", """", """", """", """", """", """", """"]","The Genetic Code functions as nature's instruction set for building proteins, analogous to how blueprints guide construction or recipes create dishes. Key aspects include information storage (DNA sequence), transcription (RNA as messenger), translation (ribosome as factory), and protein synthesis (functional output). Analogies were selected from diverse domains—construction, computing, language, manufacturing, and daily life—to map these relationships: information encoding (blueprint, Morse code), decoding/translation (language translator, assembly line), and functional execution (recipe, traffic signals). Each source concept captures a distinct facet while remaining universally accessible.",success
10,Ecosystem,"[""Machines""]",1,"biology, ecosystem, Survive, reproduce","[""City"", ""Human Body"", ""Machine"", ""Web"", ""Market Economy"", ""Sports Team"", ""Supply Chain"", ""Computer Network"", ""Clockwork"", ""Library System"", ""Beehive"", ""Coral Reef"", ""Farm"", ""Car Engine"", ""Water Cycle"", ""Internet"", ""Ant Colony"", ""School"", ""Forest"", ""Society""]","[""infrastructure, community, thrive, grow"", ""physiology, body, homeostasis, regeneration"", ""mechanics, system, function, manufacture"", ""infrastructure, network, function, expand"", """", """", """", ""infrastructure, network, function, replicate"", """", """", ""colony, hive, thrive, swarm"", """", ""crops, fields, yield, harvest"", """", ""evaporation, atmosphere, condensation, precipitation"", ""network infrastructure, world wide web, stay online, generate content"", """", ""curriculum, classroom, learn, graduate"", ""trees, habitat, grow, regenerate"", ""demographics, community, thrive, grow""]","An ecosystem represents a complex network where living organisms interact with each other and their physical environment to survive and reproduce. Key aspects include interdependence, energy flow, adaptation, and cyclical processes. Analogies should highlight: 1) Interconnected communities (like cities or teams), 2) Resource exchange systems (like economies), 3) Support structures (like bodies), 4) Adaptive networks (like webs), and 5) Self-sustaining cycles (like engines). Sources are drawn from everyday systems demonstrating similar relational dynamics.",success
12,Immune System,"[""Army"", ""Reactor""]",2,"Immune Cells, Antibody, lymphoid tissue, regulatory organs","[""Military Defense"", ""Security System"", ""Antivirus Software"", ""Border Patrol"", ""Police Force"", ""Library Catalog"", ""Postal Service"", ""Fire Department"", ""Barcode Scanner"", ""Traffic Control"", ""Spy Network"", ""Quality Inspector"", ""Alarm System"", ""City Surveillance"", ""Waste Management"", ""Central Government"", ""Computer Firewall"", ""Vaccination Record"", ""Train Station"", ""Thermostat Regulation""]","["""", ""Security Guards, Alarm Trigger, Security Hub, Control Center"", ""Scanning Agents, Virus Definitions, Database, System Administrators"", ""Border Agents, Surveillance Technology, Border Checkpoints, Command Centers"", ""Police Officers, Crime Database, Police Stations, Headquarters"", """", """", """", """", """", """", """", ""Motion Detectors, Alarm Signal, Control Panel, Sensors"", """", ""Waste Collectors, Cleaning Agent, Recycling Facility, Waste Management Office"", """", ""Security Software, Threat Signature, Network Gateway, System Administrator"", """", """", """"]","The immune system functions as a dynamic defense network protecting the body from pathogens. Key analogies should reflect its protective nature (like security systems), recognition capabilities (like identification tools), memory functions (like record-keeping), communication pathways (like networks), and regulatory mechanisms (like control centers). Sub-concepts guide specific parallels: immune cells as frontline defenders, antibodies as targeted markers, lymphoid tissue as transportation hubs, and regulatory organs as command centers. Analogies draw from everyday systems (military, computing, urban infrastructure) to make abstract biological processes tangible.",success
14,Protein folding,"[""a three-dimensional puzzle""]",1,"sequence, structure, fold","[""Origami crane"", ""Puzzle assembly"", ""Knitting sweater"", ""Slinky descending"", ""Transformer toy"", ""Pop-up book"", ""Rubik's Cube"", ""DNA helix"", ""Paper airplane"", ""Magnet arrangement"", ""Crumpled paper"", ""Tent pitching"", ""Lego construction"", ""Folding map"", ""Crystal growth"", ""Key-lock fit"", ""Flower blooming"", ""Bridge collapse"", ""Cooking recipe"", ""Accordion compression""]","[""paper strip, crane shape, crease pattern"", ""pieces, completed puzzle, assembly"", ""pattern, fabric, stitch"", """", """", """", ""colors, configuration, solution"", """", ""design, shape, crease"", """", """", """", ""instructions, design, assembly"", ""route, layout, crease"", """", """", """", """", """", """"]","Protein folding involves a linear amino acid chain transforming into a specific 3D structure through thermodynamic processes. Key analogies should capture: 1) Transformation from disordered to ordered states, 2) Sequence-dependent outcomes, 3) Functional importance of final shape, and 4) Self-assembly principles. Sub-concepts guide analogies: ""sequence"" relates to instructions/blueprints, ""structure"" to spatial organization, and ""fold"" to compact configurations. Analogies draw from everyday objects/processes exhibiting similar transformation or structural principles.",success
