id,model,condition,system_accuracy,concept_mapping_accuracy,_pair_precision,_pair_recall,_pair_f1,_pair_jaccard,_pair_over_under,_pred_unmatched_count,_gt_unmatched_count,duration_seconds,success,error
1,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.627812385559082,True,
2,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.3607752323150635,True,
3,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.4164361953735351,True,
4,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.4361395835876465,True,
5,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.3640618324279785,True,
6,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,4.983861684799194,True,
7,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,5.766582727432251,True,
8,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,4.866835594177246,True,
9,gpt-oss-20b,no_desc,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0,0,0,8.596153974533081,True,
10,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,7.040542840957642,True,
11,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,8.135233402252197,True,
12,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,2.9938628673553467,True,
13,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,4.072559118270874,True,
14,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,3.3781285285949707,True,
15,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,3.05210280418396,True,
16,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,4.322921991348267,True,
17,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,3.236154794692993,True,
18,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,4.813371419906616,True,
19,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,3.4616143703460693,True,
20,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.5348410606384275,True,
21,gpt-oss-20b,no_desc,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0,0,0,6.665623426437378,True,
22,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,3.083075761795044,True,
23,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,7.984330654144287,True,
24,gpt-oss-20b,no_desc,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,0,0,0,1.0712401866912842,True,
25,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0616817474365234,True,
26,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.125995397567749,True,
27,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.9124021530151368,True,
28,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.1036221981048584,True,
29,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.8479807376861572,True,
30,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.5299971103668213,True,
31,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.2458553314208984,True,
32,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.9049310684204102,True,
33,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.901609182357788,True,
34,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.6700680255889893,True,
35,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.9156723022460938,True,
36,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.1096916198730469,True,
37,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.1284940242767334,True,
38,gpt-oss-20b,no_desc,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0,0,0,1.297997236251831,True,
39,gpt-oss-20b,no_desc,0.0,0.4,0.4,0.4,0.4000000000000001,0.25,0,0,0,1.6825554370880127,True,
40,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.4255964756011963,True,
41,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.9135243892669678,True,
42,gpt-oss-20b,no_desc,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0,0,0,1.532886266708374,True,
43,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0230543613433838,True,
44,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.9304976463317872,True,
45,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.5222828388214111,True,
46,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0459916591644287,True,
47,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0642595291137695,True,
48,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.8608620166778564,True,
49,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.2948839664459229,True,
50,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.8572876453399658,True,
51,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.833134174346924,True,
52,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.037358283996582,True,
53,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.8929526805877686,True,
54,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0373060703277588,True,
55,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.4345955848693848,True,
56,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.2596139907836914,True,
57,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0813724994659424,True,
58,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.8543546199798584,True,
59,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.2915143966674805,True,
60,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0212719440460205,True,
61,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.95965576171875,True,
62,gpt-oss-20b,no_desc,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5555555555555556,0,0,0,1.5192644596099854,True,
63,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.5300021171569824,True,
64,gpt-oss-20b,no_desc,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.2246103286743164,True,
